Index,C1a,C2a,C3a,C4a,C5a,C6a,C7a,C8a,C9a,C10a,C11a,C12a,C13a,C14a,C15a,C16a,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,Type,Condition
171,9,5,2,4,5,2,7,9,7,2,8,8,5,6,7,8,9,5,2,4,5,2,7,9,7,2,8,8,5,6,7,8,Pair,Coop
172,3,10,9,9,8,9,2,8,6,4,3,6,1,8,6,10,3,10,9,9,8,9,2,8,6,4,3,6,1,8,6,10,Pair,Coop
173,7,2,8,3,10,3,1,1,2,10,6,9,6,9,10,9,7,2,8,3,10,3,1,1,2,10,6,9,6,9,10,9,Pair,Coop
174,6,6,2,1,1,1,3,10,9,8,1,10,6,10,6,1,6,6,2,1,1,1,3,10,9,8,1,10,6,10,6,1,Pair,Coop
175,2,8,5,5,3,5,4,3,1,4,5,5,8,4,9,4,2,8,5,5,3,5,4,3,1,4,5,5,8,4,9,4,Pair,Coop
176,10,3,3,2,2,4,5,8,6,9,10,7,3,1,1,7,10,3,3,2,2,4,5,8,6,9,10,7,3,1,1,7,Pair,Coop
177,5,7,9,6,4,9,6,4,5,6,4,8,2,8,2,5,5,7,9,6,4,9,6,4,5,6,4,8,2,8,2,5,Pair,Coop
178,8,4,4,4,8,6,2,9,10,1,7,1,10,3,5,3,8,4,4,4,8,6,2,9,10,1,7,1,10,3,5,3,Pair,Coop
179,6,1,1,8,5,4,9,10,8,3,8,2,7,10,7,6,6,1,1,8,5,4,9,10,8,3,8,2,7,10,7,6,Pair,Coop
180,4,9,9,7,9,10,10,5,4,5,3,4,8,7,7,2,4,9,9,7,9,10,10,5,4,5,3,4,8,7,7,2,Pair,Coop
181,3,10,2,9,7,3,8,7,2,10,9,3,5,5,3,3,3,10,2,9,7,3,8,7,2,10,9,3,5,5,3,3,Pair,Coop
182,7,8,8,3,10,8,1,6,5,7,1,10,1,4,4,8,7,8,8,3,10,8,1,6,5,7,1,10,1,4,4,8,Pair,Coop
183,1,6,10,6,2,1,5,1,6,4,4,5,6,3,10,1,1,6,10,6,2,1,5,1,6,4,4,5,6,3,10,1,Pair,Coop
184,9,2,10,10,8,2,4,4,10,6,8,7,8,8,8,4,9,2,10,10,8,2,4,4,10,6,8,7,8,8,8,4,Pair,Coop
185,7,3,7,4,1,5,3,8,8,3,2,9,9,1,9,10,7,3,7,4,1,5,3,8,8,3,2,9,9,1,9,10,Pair,Coop
186,8,5,2,2,3,4,9,2,1,2,10,6,2,6,2,5,8,5,2,2,3,4,9,2,1,2,10,6,2,6,2,5,Pair,Coop
187,2,2,8,8,7,7,10,1,4,6,7,4,1,10,5,9,2,2,8,8,7,7,10,1,4,6,7,4,1,10,5,9,Pair,Coop
188,10,6,1,6,4,10,6,7,7,10,2,3,4,3,10,6,10,6,1,6,4,10,6,7,7,10,2,3,4,3,10,6,Pair,Coop
189,1,8,9,10,8,9,8,10,3,1,5,10,10,8,4,4,1,8,9,10,8,9,8,10,3,1,5,10,10,8,4,4,Pair,Coop
190,4,1,3,7,5,8,4,4,5,8,3,6,3,7,6,1,4,1,3,7,5,8,4,4,5,8,3,6,3,7,6,1,Pair,Coop
191,6,4,2,4,1,5,7,8,2,3,1,2,7,4,2,3,6,4,2,4,1,5,7,8,2,3,1,2,7,4,2,3,Pair,Coop
192,2,10,2,5,2,2,9,3,7,9,10,5,3,9,2,8,2,10,2,5,2,2,9,3,7,9,10,5,3,9,2,8,Pair,Coop
193,7,5,3,3,7,3,2,1,4,6,8,1,6,3,7,7,7,5,3,3,7,3,2,1,4,6,8,1,6,3,7,7,Pair,Coop
194,5,9,5,9,9,1,1,9,8,7,4,4,10,10,1,2,5,9,5,9,9,1,1,9,8,7,4,4,10,10,1,2,Pair,Coop
195,9,2,4,4,10,8,3,2,9,2,7,8,2,8,9,9,9,2,4,4,10,8,3,2,9,2,7,8,2,8,9,9,Pair,Coop
196,8,6,8,2,5,10,5,6,6,4,3,3,9,8,10,10,8,6,8,2,5,10,5,6,6,4,3,3,9,8,10,10,Pair,Coop
197,10,4,10,8,7,6,4,8,1,5,9,2,4,1,3,8,10,4,10,8,7,6,4,8,1,5,9,2,4,1,3,8,Pair,Coop
198,4,7,9,1,6,4,2,7,3,1,1,6,3,7,6,3,4,7,9,1,6,4,2,7,3,1,1,6,3,7,6,3,Pair,Coop
199,5,6,2,5,3,1,6,2,10,9,3,1,8,4,5,2,5,6,2,5,3,1,6,2,10,9,3,1,8,4,5,2,Pair,Coop
200,7,1,6,10,9,2,9,4,2,3,10,9,2,5,3,1,7,1,6,10,9,2,9,4,2,3,10,9,2,5,3,1,Pair,Coop
201,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,5,Pair,Coop
