pno,gender,pori,fors,Half,sdscore,f_r,f_rng,f_nsq,f_rng2,f_tpi,f_runs,f_coupon,f_asc,f_des,f_a,f_rf1,f_rf2,f_rf3,f_rf4,f_rf5,f_rf6,f_rf7,f_rf8,f_rf9,f_rf10,f_fodm9,f_fodm8,f_fodm7,f_fodm6,f_fodm5,f_fodm4,f_fodm3,f_fodm2,f_fodm1,f_fod0,f_fodp1,f_fodp2,f_fodp3,f_fodp4,f_fodp5,f_fodp6,f_fodp7,f_fodp8,f_fodp9,f_rd1,f_rd2,f_rd3,f_rd4,f_rd5,f_rd6,f_rd7,f_rd8,f_rd9,f_rd10,f_rd11,f_rd12,f_rd13,f_rd14,f_rd15,f_rd16,f_rd17,f_rd18,f_rd19,f_rd20,f_rd20pl,f_mnrg,f_medrg,f_morg,f_phi2,f_phi3,f_phi4,f_phi5,f_phi6,s_phi7,sr,srng,snsq,srng2,stpi,sruns,scoupon,sasc,sdes,sa,srf1,srf2,srf3,srf4,srf5,srf6,srf7,srf8,srf9,srf10,sfodm9,sfodm8,sfodm7,sfodm6,sfodm5,sfodm4,sfodm3,sfodm2,sfodm1,sfod0,sfodp1,sfodp2,sfodp3,sfodp4,sfodp5,sfodp6,sfodp7,sfodp8,sfodp9,srd1,srd2,srd3,srd4,srd5,srd6,srd7,srd8,srd9,srd10,srd11,srd12,srd13,srd14,srd15,srd16,srd17,srd18,srd19,srd20,srd20pl,smnrg,smedrg,smorg,sphi2,sphi3,sphi4,sphi5,sphi6,sphi7,in,ir,irng,insq,irng2,itpi,iruns,icoupon,iasc,ides,ia,irf1,irf2,irf3,irf4,irf5,irf6,irf7,irf8,irf9,irf10,ifodm9,ifodm8,ifodm7,ifodm6,ifodm5,ifodm4,ifodm3,ifodm2,ifodm1,ifod0,ifodp1,ifodp2,ifodp3,ifodp4,ifodp5,ifodp6,ifodp7,ifodp8,ifodp9,ird1,ird2,ird3,ird4,ird5,ird6,ird7,ird8,ird9,ird10,ird11,ird12,ird13,ird14,ird15,ird16,ird17,ird18,ird19,ird20,ird20pl,imnrg,imedrg,imorg,iphi2,iphi3,iphi4,iphi5,iphi6,iphi7,H1R,H1RNG,H1NSQ,H1RNG2,H1TPH1,H1RUNS,H1COUPON,H1ASC,H1DES,H1A,H1RF1,H1RF2,H1RF3,H1RF4,H1RF5,H1RF6,H1RF7,H1RF8,H1RF9,H1RF10,H1FODM9,H1FODM8,H1FODM7,H1FODM6,H1FODM5,H1FODM4,H1FODM3,H1FODM2,H1FODM1,H1FOD0,H1FODP1,H1FODP2,H1FODP3,H1FODP4,H1FODP5,H1FODP6,H1FODP7,H1FODP8,H1FODP9,H1RD1,H1RD2,H1RD3,H1RD4,H1RD5,H1RD6,H1RD7,H1RD8,H1RD9,H1RD10,H1RD11,H1RD12,H1RD13,H1RD14,H1RD15,H1RD16,H1RD17,H1RD18,H1RD19,H1RD20,H1RD20PL,H1MNRG,H1MEDRG,H1MORG,H1PHH12,H1PHH13,H1PHH14,H1PHH15,H1PHH16,H1PHH17,solorep
   17.00,1,1,2,1,15,1.4636,.3078,44.4444,.2567,91.8367,.9636,16.33,7,17,24,9,8,16,8,7,12,9,8,13,10,1,2,5,2,4,5,4,11,17,3,7,10,11,4,5,2,6,1,0,3,2,4,6,3,7,8,13,6,9,5,3,2,5,0,1,2,1,2,4,4,9.72,8,8,-2.786583,-3.497646,-2.975594,-2.730058,-3.702774,-3.163148,1.5696,.2765,40.404,.2305,104.0816,.7692,20.25,8,9,17,11,7,15,10,8,10,7,7,14,11,4,0,2,7,6,3,9,10,9,2,8,6,9,7,4,7,3,4,0,2,4,8,3,5,9,6,9,5,5,9,3,5,3,3,1,3,1,2,0,4,9.37,8,-6,-3.153458,-2.758669,-1.3595,-3.40044,-1.952036,-1.45754,100,4.2123,.2905,44.4444,.2752,79.5918,1.3276,43,5,15,20,10,6,18,7,6,13,12,3,11,14,3,1,2,1,4,5,11,12,15,3,5,11,9,5,2,1,5,3,2,3,3,6,11,9,15,9,2,2,6,3,2,3,2,2,2,0,1,1,0,8,8.94,6,6,-3.199929,-3.638275,-3.060726,-1.491493,-.849864,1.627484,.9144,.2391,36.3636,.2499,94.898,1.0962,15.83,7,9,16,10,7,11,9,9,10,11,7,14,12,2,1,2,3,9,8,5,8,9,4,7,16,7,1,7,5,2,4,0,4,2,2,2,7,1,13,11,7,6,3,14,2,4,0,1,4,1,1,2,3,9.74,9,12,-2.315209,-3.267969,-3.414747,-3.672828,-2.213884,-4.319268,5
   18.00,1,1,2,2,7,.7024,.3173,46.4646,.2146,96.4286,1.1837,20.5,12,11,23,7,12,11,11,8,11,9,13,9,9,2,3,4,4,0,4,6,12,11,2,12,14,5,10,2,6,2,1,0,2,1,4,6,7,7,7,11,7,8,4,7,3,2,4,0,0,2,1,1,6,9.78,8.5,8,-2.998966,-3.706661,-2.976806,-2.392272,-2.081486,-2.100046,.8535,.2276,34.3434,.2369,99.4898,.7407,16.2,5,11,16,8,7,11,10,13,10,12,11,7,11,1,0,5,2,6,6,10,11,11,2,5,11,10,4,7,3,3,1,2,2,7,4,3,8,8,6,4,5,8,6,4,4,3,4,5,1,4,0,1,3,9.52,9,-5,-3.021017,-1.504766,-2.500476,-3.401312,-1.154375,-1.613664,100,1.8336,.2975,42.4242,.2561,104.0816,.6667,21.5,5,13,18,10,7,6,14,12,6,10,14,12,9,2,0,3,7,4,5,5,9,13,3,5,12,14,9,3,1,2,2,1,3,4,6,6,6,11,9,8,6,5,2,4,2,2,2,1,2,1,3,1,6,9.31,7.5,6,-2.823407,-2.872459,-2.169322,-2.502285,-2.400761,-.055707,.7755,.2402,35.3535,.2334,102.551,.8333,17.6,12,9,21,10,6,13,12,9,9,11,10,9,11,0,1,2,7,4,7,10,10,9,3,12,11,3,6,3,4,2,3,3,3,3,5,3,7,8,6,3,9,7,8,5,5,1,3,3,3,1,2,2,3,9.76,9,9,-2.646791,-2.976358,-2.471228,-3.123956,-2.018664,-1.911092,4
   20.00,1,2,2,1,7,.9371,.2506,37.3737,.2081,101.0204,.9362,16,13,10,23,11,6,14,9,11,9,11,10,11,8,1,1,3,5,6,5,8,7,10,0,13,12,10,7,7,2,0,3,0,0,2,6,6,5,11,6,13,7,4,6,6,0,1,5,2,3,0,0,2,5,9.5,8,8,-3.750459,-3.478145,-2.403064,-2.462264,-2.721012,-.71778,1.3384,.2681,40.404,.2192,105.6122,.6,16.8,7,9,16,11,11,10,11,9,8,8,10,16,6,0,6,4,2,4,6,13,5,9,1,7,13,8,2,6,5,7,2,0,0,2,7,8,8,6,10,3,6,5,3,7,6,5,4,0,1,2,1,2,4,9.62,9,7,-3.831351,-3.595125,-2.10596,-1.723112,-1.698818,-2.431808,100,5.824,.296,46.4646,.3322,111.7347,.7447,40,9,6,15,13,1,13,16,4,15,11,12,8,7,2,2,4,3,8,3,11,8,6,0,9,13,9,6,8,0,4,3,1,0,5,5,11,10,8,13,11,5,4,5,1,2,2,1,1,2,1,0,0,3,8.58,7,7,-4.384922,-3.195571,-3.541512,-1.987076,-1.15955,-2.123317,.6314,.3246,47.4747,.2768,84.1837,1.2,17.4,14,14,28,11,8,11,12,12,10,7,10,8,11,2,2,1,5,2,9,9,5,14,0,14,9,6,5,9,5,1,2,0,0,1,4,7,6,6,11,9,9,5,6,3,2,8,2,3,1,1,1,1,4,9.77,9,7,-3.699018,-3.749337,-3.058713,-2.177959,-2.376584,-2.526522,0
   21.00,2,2,2,2,10,1.1101,.3004,43.4343,.2375,75,1.766,16.33,15,15,30,8,11,9,8,16,9,8,9,12,10,1,1,1,5,4,10,1,8,15,0,15,21,5,4,3,1,2,2,1,0,1,3,11,6,7,9,7,8,8,4,3,4,3,4,2,1,4,1,1,3,9.68,9,4,-3.801919,-3.942597,-3.605168,-1.016689,-1.864309,-2.09552,.6661,.2641,40.404,.2274,97.9592,1.2045,15,9,6,15,7,9,11,8,12,9,9,12,12,11,0,4,4,2,6,7,11,4,6,0,9,16,10,9,6,2,4,0,0,0,0,2,5,6,8,6,12,12,5,6,7,3,6,2,2,1,2,2,1,2,9.89,9,-8,-3.706356,-4.103497,-3.929937,-3.265124,-3.126262,-2.603276,100,4.199,.3066,44.4444,.3049,91.8367,.8,48,12,13,25,8,14,10,10,19,5,3,10,8,13,1,0,6,4,9,4,5,7,13,1,12,9,9,3,6,1,7,3,0,1,6,7,9,8,6,12,8,3,6,4,3,1,3,4,2,0,0,0,2,5,9.24,7,7,-3.932162,-2.650177,-1.957221,-1.718918,-1.286935,-1.129707,1.0457,.3057,44.4444,.2541,91.8367,1.0417,17.8,11,10,21,10,7,12,14,11,10,7,12,8,9,2,0,2,7,1,13,5,6,10,2,11,10,13,4,6,5,2,1,0,2,0,5,3,10,6,12,5,10,8,2,5,0,7,2,4,1,2,0,0,6,9.77,9,7,-3.057783,-4.169012,-2.853973,-3.886277,-1.607315,-3.243598,0
   22.00,1,1,1,1,16,.3538,.2404,36.3636,.2138,102.551,.7083,14.5,8,8,16,10,11,12,8,10,9,11,8,10,11,0,7,3,3,4,6,9,7,8,1,8,11,11,4,7,6,3,1,1,1,4,0,4,5,4,17,12,8,5,3,6,4,2,4,2,0,2,0,1,6,9.71,8,7,-3.298279,-2.58861,-4.154277,-3.541145,-3.270308,-4.038936,.3647,.2712,39.3939,.1875,113.2653,.7955,16.67,5,4,9,7,10,11,9,12,10,10,10,10,11,1,3,5,3,10,8,7,2,4,1,5,15,14,5,8,5,3,0,1,0,4,4,4,4,8,9,6,5,11,7,6,3,3,6,1,2,3,1,0,3,9.86,10,10,-3.654941,-2.628259,-2.78993,-3.140741,-3.254737,-2.343192,100,2.4207,.2918,41.4141,.2694,99.4898,.8163,20,8,12,20,8,15,13,11,9,15,10,8,5,6,1,4,1,3,3,9,7,9,12,0,8,10,14,8,3,5,3,0,0,0,3,6,15,8,6,11,2,7,3,4,4,4,2,2,1,1,0,2,1,8,9.4,7,4,-4.000739,-3.466789,-2.736905,.619526,-.591421,-1.561908,.257,.2155,34.3434,.2298,88.7755,1.28,13.71,7,9,16,11,9,10,9,12,9,9,11,9,11,0,2,4,1,9,7,7,10,9,0,7,15,8,9,4,2,5,0,1,0,0,7,2,8,5,8,11,6,8,6,4,6,5,3,5,1,1,2,0,2,9.83,9,8,-3.64026,-4.032291,-2.000938,-3.774096,-2.070097,-3.365129,1
   23.00,2,1,1,2,22,.9553,.3125,44.4444,.2867,85.7143,1.1915,19.8,2,3,5,11,6,10,8,12,10,8,12,13,10,2,4,2,5,4,6,9,12,3,0,2,17,9,12,2,7,3,1,0,0,0,5,5,6,2,12,15,7,9,10,3,4,1,1,4,1,0,0,0,5,9.79,8.5,8,-3.750455,-4.164266,-2.924529,-3.127847,-2.963341,-4.902792,.6588,.2618,39.3939,.2599,99.4898,.5714,13.14,2,5,7,9,7,13,9,11,11,8,10,12,10,0,1,3,5,4,10,14,13,5,1,2,10,5,4,10,6,3,4,0,1,0,1,5,8,9,7,11,6,11,3,9,3,4,2,2,1,1,0,1,5,9.79,9,-8,-3.349698,-4.072761,-4.243837,-3.335182,-2.489124,-2.218703,100,2.8889,.3281,47.4747,.2794,99.4898,.7843,19,10,14,24,12,3,8,9,13,7,8,13,12,15,0,5,3,7,4,3,9,6,14,0,10,10,4,8,6,2,4,1,4,0,2,7,8,16,4,9,9,4,5,3,4,4,1,2,3,0,1,2,0,6,8.98,7,5,-4.030231,-3.891369,-2.542622,-2.131308,.682441,-2.75556,.3812,.2506,38.3838,.3094,113.2653,.5385,16,5,6,11,9,9,11,11,10,13,9,10,8,10,0,3,5,2,6,8,14,7,6,0,5,8,7,12,5,5,6,1,0,0,0,1,3,12,8,9,9,9,11,4,4,1,6,4,2,2,0,1,1,3,9.74,9,5,-3.662281,-4.056761,-4.20507,-4.066118,-1.157895,-2.090125,1
   25.00,1,1,1,1,8,.3054,.2282,35.3535,.2597,82.6531,1.04,15.5,16,8,24,10,12,10,11,11,9,9,9,11,8,2,4,1,3,4,6,6,8,8,7,16,12,6,4,3,4,1,4,1,7,0,2,3,4,4,8,10,7,7,6,8,6,5,2,4,1,1,2,0,3,9.87,9.5,8,-1.120292,-3.459902,-3.310063,-3.291608,-3.05057,-3.588957,.9365,.2163,33.3333,.2439,93.3673,.8302,15.83,11,13,24,10,13,11,12,8,9,7,7,12,11,1,5,5,2,2,7,3,7,13,7,11,10,6,7,4,3,3,2,2,7,1,1,2,3,10,5,9,7,11,5,4,5,5,4,0,4,0,3,0,4,9.93,9.5,10,-1.223222,-3.577561,-3.551704,-3.664999,-4.050465,-1.75657,100,1.1751,.2592,38.3838,.2503,101.0204,.9362,17.2,7,8,15,9,12,7,15,8,12,8,10,11,8,1,2,4,7,2,6,6,10,8,1,7,17,10,7,4,3,3,1,1,1,2,5,11,9,11,5,7,8,4,5,1,5,5,1,1,2,0,0,0,7,9.24,8,-4,-3.445279,-3.51026,-2.731013,-.658148,-.920943,.292655,1.025,.1915,30.303,.24,102.551,.64,18.5,10,12,22,10,10,14,11,8,6,10,11,12,8,1,2,4,4,6,6,6,6,12,3,10,12,6,5,9,3,3,1,1,3,1,3,3,12,3,9,12,10,5,7,3,3,4,3,0,3,1,0,1,4,9.56,8,-5,-2.690913,-3.757401,-3.339811,-3.554127,-.48557,-3.968236,14
   26.00,2,1,1,2,28,2.1511,.3327,48.4848,.2553,67.3469,2,22,15,13,28,9,5,14,11,13,6,14,10,11,7,0,2,1,4,1,5,7,15,13,0,15,20,4,7,0,4,0,1,1,0,2,5,3,11,10,11,10,6,10,4,2,1,2,1,0,1,3,0,3,5,9.44,8,-5,-3.941788,-3.687668,-3.045288,-4.096756,-1.753432,-1.436298,2.4344,.2931,41.4141,.2811,78.0612,1.3019,21.25,13,9,22,9,5,16,7,13,6,9,10,13,12,1,1,6,2,1,6,11,15,9,1,13,7,7,4,4,5,1,3,3,0,0,4,4,17,10,8,6,9,8,1,2,6,3,1,4,0,0,0,0,7,9.63,8,5,-4.000737,-4.516989,-3.708173,-4.188829,.435087,-.969079,100,3.3444,.3132,44.4444,.2714,93.3673,1.0426,20.5,9,8,17,8,6,20,9,12,5,10,7,13,10,2,2,3,9,0,4,7,11,8,0,9,19,5,7,3,8,2,0,1,0,5,11,13,8,5,4,4,7,7,4,4,4,0,1,1,2,1,0,2,7,8.94,7,4,-4.214779,-3.032156,-.887196,.322451,.45328,-.837095,1.3522,.3086,44.4444,.2945,96.4286,1.1739,19.4,23,15,38,7,8,13,13,12,11,8,6,12,10,0,2,7,2,2,3,2,12,15,0,23,5,14,6,2,3,0,1,1,0,0,1,4,10,12,11,10,6,8,4,5,4,2,2,3,2,1,0,0,5,9.81,8,6,-3.816638,-4.24317,-4.484471,-4.033067,-2.291848,-1.288508,0
   27.00,1,1,1,1,25,.4517,.2949,43.4343,.2219,94.898,1.2128,16,23,17,40,11,12,11,11,10,11,9,9,9,7,2,3,1,1,2,4,8,8,17,1,23,9,7,5,3,2,3,1,0,1,9,7,4,4,2,7,7,6,7,2,3,8,7,1,2,1,7,2,0,3,9.77,9,2,-3.312963,-.749815,-1.166175,-2.518055,-2.244219,-3.946754,1.4703,.2982,42.4242,.2315,88.7755,1.0196,19.8,17,18,35,10,10,12,15,10,13,8,6,7,9,3,2,0,0,4,2,5,14,18,2,17,11,9,8,0,3,1,0,1,2,10,3,7,7,7,4,4,8,6,5,3,4,1,2,4,1,2,2,0,8,9.71,9,2,-3.131365,-.57209,-2.902393,-2.110779,-.99676,-.608329,100,.4247,.2639,40.404,.2511,88.7755,.9412,18.8,15,13,28,11,11,9,9,8,13,11,10,9,9,0,4,1,3,5,5,4,11,13,5,15,10,4,7,5,7,1,0,0,5,4,6,3,9,5,7,4,7,9,10,3,4,1,1,1,2,1,2,0,6,9.51,9,11,-1.871855,-2.760988,-1.714854,-3.192578,-.841731,-2.150599,1.1664,.2374,38.3838,.2158,96.4286,.9388,21,16,8,24,13,8,10,6,11,13,11,8,12,8,2,2,2,2,6,6,8,9,8,4,16,9,5,8,5,3,2,1,2,4,5,7,2,10,6,10,4,3,5,5,5,5,4,4,2,1,0,1,1,6,9.57,8,-5,-2.351992,-2.207621,-1.574622,-3.506555,-.752596,-2.389869,3
   28.00,1,1,1,2,12,1.8337,.2513,37.3737,.2583,94.898,.9362,20.75,5,5,10,11,10,12,9,14,11,13,8,4,8,0,1,6,3,7,8,6,9,5,2,5,16,13,8,5,2,2,1,1,1,0,4,6,8,14,11,9,6,5,2,3,4,5,1,0,0,1,3,0,7,9.62,8,6,-3.518881,-4.242564,-3.422635,-3.034235,-2.412213,-.085336,1.3558,.2674,41.4141,.2897,110.2041,.6087,21.75,9,6,15,11,9,13,12,10,13,8,8,11,5,0,1,6,6,4,9,11,2,6,1,9,14,6,11,7,2,2,2,1,0,1,8,7,9,5,14,6,5,4,8,5,3,2,2,3,1,1,0,3,3,9.56,8,7,-3.809281,-3.924145,-1.868704,-2.013633,-1.235815,-2.822101,100,1.2779,.2394,36.3636,.2609,99.4898,1.0417,18.4,6,8,14,11,7,10,7,15,10,12,8,12,8,1,3,4,3,4,7,9,7,8,1,6,14,14,8,5,2,2,1,1,1,1,6,9,11,9,6,9,6,5,4,3,2,3,2,0,1,1,3,0,8,9.67,8,5,-3.459996,-3.863728,-2.486463,-1.350447,-.645921,-1.031536,.2531,.2441,36.3636,.2658,104.0816,.7451,15.17,9,16,25,9,10,9,10,12,10,12,10,9,9,1,2,3,3,7,8,6,5,16,0,9,7,13,3,6,7,3,1,0,0,1,13,3,11,3,6,4,4,10,4,5,8,3,5,2,2,1,0,0,5,9.51,9.5,3,-3.640253,-3.682505,.333706,-2.688392,.156891,-3.089465,1
   29.00,2,1,1,1,20,.7681,.2787,42.4242,.2656,114.7959,.5417,18.8,7,12,19,9,9,10,11,14,12,10,10,7,8,1,3,8,1,5,3,7,8,12,0,7,8,14,9,8,3,2,1,0,0,0,4,7,5,9,7,8,7,7,12,5,4,2,3,2,0,1,1,0,6,9.79,9,11,-3.728403,-4.122655,-3.240424,-2.354237,-3.05441,-1.881166,.2224,.281,43.4343,.2239,114.7959,.56,16.33,0,5,5,10,9,11,11,11,10,9,11,8,10,3,2,3,6,6,7,7,11,5,0,0,9,15,11,4,2,5,4,0,0,1,2,4,10,4,10,11,6,10,5,4,4,7,1,3,2,0,2,0,4,9.89,9,8,-3.632919,-3.657117,-3.732707,-3.447499,-1.494956,-3.443979,100,2.1036,.2714,41.4141,.2245,102.551,.625,18.2,7,13,20,5,12,6,12,13,11,13,7,13,8,0,2,2,3,5,11,10,10,13,0,7,5,6,6,8,5,5,2,0,0,5,12,5,9,7,7,5,5,3,4,6,2,4,1,3,1,1,1,3,6,9.36,7.5,3,-3.927052,-2.592406,-.024127,-2.081569,-.32856,-1.053548,.3933,.28,42.4242,.1972,97.9592,.9038,13.86,9,11,20,12,10,10,12,11,9,8,8,10,10,1,2,6,3,5,4,6,12,11,1,9,6,11,9,4,4,4,1,1,1,0,4,2,6,8,12,4,8,6,9,6,9,5,1,2,2,1,2,1,1,9.82,9.5,7,-3.305619,-4.025499,-3.081934,-4.079555,-3.145042,-2.788186,0
   30.00,2,1,1,2,16,.9702,.2546,36.3636,.2386,97.9592,.7692,15.6,10,14,24,12,11,13,7,10,10,6,11,11,9,5,1,3,3,6,4,5,9,14,2,10,8,5,6,7,3,6,2,1,1,0,3,10,8,9,11,7,6,4,4,10,1,1,2,1,3,2,0,0,7,9.54,8,7,-3.393802,-4.170654,-3.641855,-1.376328,-1.775926,-1.09636,1.0262,.2995,42.4242,.2485,102.551,.2,16.4,4,15,19,13,12,11,9,8,9,6,10,13,9,2,3,4,5,3,8,8,11,15,0,4,3,5,7,3,3,9,4,3,0,1,2,4,7,12,12,5,12,4,4,9,3,4,4,1,1,1,0,2,2,9.46,9,-6,-3.765154,-3.842857,-3.8995,-3.685439,-2.964058,-1.161011,100,2.3393,.371,50.5051,.2897,88.7755,1.3333,20.5,20,1,21,16,10,15,9,8,5,6,11,10,10,2,6,6,1,4,11,6,2,1,0,20,12,3,11,5,2,2,1,5,0,2,6,8,9,6,16,3,6,8,3,1,1,3,3,3,1,0,4,1,6,9.51,7,7,-3.993366,-3.831428,-2.874237,-2.189512,-1.602979,-2.397956,.4477,.2504,38.3838,.2684,90.3061,1,15.33,11,12,23,9,12,10,10,10,7,11,10,12,9,1,3,1,4,5,6,7,10,12,1,11,13,9,3,4,4,2,4,0,0,0,2,6,7,8,15,6,10,8,4,4,2,6,0,2,1,1,0,4,4,9.72,9,7,-3.669629,-4.101998,-3.887304,-2.865642,-2.536953,-2.22731,1
   31.00,2,2,1,1,18,.8948,.3135,45.4545,.2712,65.8163,2.3721,17.8,21,15,36,9,9,10,11,6,9,13,11,13,9,2,1,4,4,4,3,2,7,15,0,21,13,11,7,3,1,1,0,1,0,0,1,8,9,7,6,5,10,13,8,6,2,3,1,3,0,1,2,1,4,9.88,9,10,-3.743101,-4.197523,-4.395771,-2.460659,-1.928212,-2.380431,.5758,.2553,38.3838,.2365,102.551,.7358,17.2,6,7,13,11,11,10,9,10,13,8,11,7,10,0,2,6,2,7,8,8,13,7,0,6,9,2,9,10,4,4,1,2,0,0,1,4,5,9,7,19,11,8,4,4,4,3,1,2,0,1,2,0,5,9.82,8.5,8,-3.691666,-4.118022,-4.306124,-3.899586,-4.089513,-3.001731,100,2.5594,.3258,47.4747,.2613,102.551,.7451,26.67,8,15,23,10,7,13,14,6,12,4,11,9,14,2,1,6,5,3,4,3,12,15,0,8,11,8,4,9,5,2,0,2,0,3,5,9,11,7,8,7,5,7,8,5,2,2,1,1,1,1,0,2,5,9.02,8,5,-3.993366,-3.43239,-2.952512,-1.84665,-.432466,-1.579643,.8164,.2901,41.4141,.2729,82.6531,1.5102,18.6,17,15,32,11,10,14,12,8,7,10,8,10,10,1,4,1,5,4,4,8,7,15,0,17,7,5,6,8,3,2,2,1,0,1,1,6,11,8,12,11,4,5,5,3,7,2,6,1,3,0,0,0,4,9.54,8,7,-3.735747,-3.811416,-4.323023,-3.139748,-1.400251,-1.934318,0
   32.00,2,2,1,2,14,1.1354,.2872,40.404,.2583,79.5918,.5932,31.67,13,24,37,10,9,6,9,10,12,13,9,14,8,0,2,0,3,2,4,11,11,24,1,13,10,4,3,3,3,1,3,2,1,5,1,7,7,14,6,4,9,9,6,3,3,6,4,0,1,1,0,0,3,9.39,8.5,6,-3.430569,-2.39901,-3.864777,-2.693244,-2.129075,.704395,.8674,.2814,43.4343,.2858,97.9592,1.0851,21.25,11,5,16,11,9,13,9,11,8,11,6,12,10,2,4,1,3,3,11,7,10,5,1,11,13,11,6,2,1,5,1,3,1,2,2,4,3,14,12,9,12,5,4,4,4,3,4,0,1,0,2,1,3,9.63,8,6,-3.379098,-3.387617,-3.782249,-3.556139,-4.066103,-.615808,100,1.2969,.2775,40.404,.2074,104.0816,.566,30,8,7,15,11,14,11,8,9,8,14,10,9,6,4,0,4,2,3,11,6,13,7,3,8,8,4,6,7,9,3,2,0,3,8,5,10,6,10,5,4,3,6,6,2,5,2,4,3,1,2,0,2,3,8.7,7,-4,-2.742413,-1.226526,-2.394792,-.840376,-1.574884,.609891,.6153,.2506,37.3737,.2495,108.6735,.5769,15.67,7,11,18,10,11,10,10,7,13,8,12,9,10,1,4,4,3,4,7,5,12,11,1,7,9,12,3,3,6,5,1,2,1,2,3,5,5,3,13,7,13,6,5,5,3,4,2,2,6,1,2,1,1,9.76,9,-7,-3.34235,-3.337793,-3.261643,-2.875509,-3.036173,-4.23498,2
   34.00,2,2,1,1,14,1.4981,.3185,46.4646,.2859,91.8367,1.0588,29.67,6,4,10,10,8,13,12,5,10,13,7,10,12,0,4,5,2,7,5,6,18,4,0,6,12,13,3,1,4,2,4,4,0,1,5,13,7,8,6,7,8,8,5,4,2,2,2,0,4,1,0,0,7,9.66,8,4,-3.831351,-3.932492,-2.990352,-.182263,-1.593846,-1.24003,1.1319,.3394,48.4848,.2542,108.6735,.6071,23.75,0,0,0,11,8,14,11,8,7,9,9,9,14,2,4,3,4,5,12,6,19,0,1,0,4,7,4,10,8,9,0,2,0,1,4,9,8,11,14,3,5,4,11,1,2,3,1,4,3,1,0,1,4,9.43,7,7,-3.794572,-3.853787,-3.225895,-1.670005,-1.709197,-.82591,100,2.5693,.2936,42.4242,.2671,104.0816,.6939,18.75,7,5,12,7,7,14,8,12,6,13,8,8,17,0,5,3,4,9,5,8,9,5,1,7,16,3,6,5,4,7,0,3,1,6,7,14,6,9,7,8,5,0,5,1,1,2,1,0,1,2,1,3,10,9.6,7,4,-3.695761,-2.422807,-2.149216,.338921,-1.400961,.308459,.567,.2568,39.3939,.2792,107.1429,.5769,19.8,4,6,10,10,10,12,7,11,9,13,9,10,9,0,1,4,6,8,11,3,13,6,0,4,12,9,4,7,3,2,4,3,0,1,2,5,10,9,8,10,4,6,6,7,2,1,6,3,5,1,0,1,3,9.93,8.5,-5,-3.691662,-3.761582,-3.964587,-3.537389,-1.727908,-1.7148,0
   35.00,2,2,1,2,6,1.0953,.3031,42.4242,.338,85.7143,1.2174,13.67,11,9,20,10,8,12,12,7,13,9,9,13,7,2,2,3,3,6,2,7,12,9,0,11,16,12,5,4,1,2,1,2,0,1,3,5,3,8,10,12,4,10,12,3,5,3,1,3,2,1,2,1,1,9.63,9,-8,-3.77986,-3.843541,-3.597133,-3.242379,-4.282689,-3.144446,.866,.319,44.4444,.2426,104.0816,1.0909,14,6,2,8,10,9,13,13,8,10,10,12,8,7,1,3,6,2,5,9,11,4,2,1,6,16,11,12,5,1,1,2,2,1,1,2,3,8,3,9,13,7,9,7,6,4,3,6,3,2,1,1,1,0,9.68,9,8,-3.386449,-3.795564,-3.813428,-3.928947,-2.598543,-4.328732,100,.8177,.2584,39.3939,.1927,90.3061,1.2885,23.75,14,9,23,12,9,10,13,13,9,7,9,8,10,0,2,0,6,7,2,16,10,9,0,14,8,3,5,8,3,2,4,1,0,2,7,10,8,11,8,4,7,6,3,2,2,2,2,2,3,3,1,2,5,9.39,7,6,-3.735747,-3.444467,-2.012101,-.807324,-.876268,-.377081,.6153,.289,41.4141,.2412,94.898,.9388,19.2,7,8,15,10,10,10,7,13,9,11,10,8,12,2,4,2,4,3,9,5,11,8,1,7,10,14,7,2,5,3,1,2,0,0,0,5,12,10,9,8,8,13,7,4,1,2,1,1,2,2,1,0,4,9.54,9,10,-3.699012,-4.130137,-4.67037,-3.614768,-1.320913,-1.3497,1
