Index,N1a,N2a,N3a,N4a,N5a,N6a,N7a,N8a,N9a,N10a,N11a,N12a,N13a,N14a,N15a,N16a,N17a,N1b,N2b,N3b,N4b,N5b,N6b,N7b,N8b,N9b,N10b,N11b,N12b,N13b,N14b,N15b,N16b,N17b,Type,Condition
64,8,10,4,9,9,5,2,5,8,7,8,6,2,6,10,5,6,4,10,4,5,8,10,1,4,6,1,8,2,5,8,3,9,9,Fast,Neglect
65,7,8,1,3,8,6,4,8,7,6,1,3,5,3,6,3,4,8,8,1,4,7,3,7,6,10,4,7,6,1,5,2,4,7,Fast,Neglect
66,6,9,2,10,1,2,3,6,2,10,4,4,4,8,1,4,7,3,6,5,2,10,4,9,5,9,3,1,1,4,9,6,2,2,Fast,Neglect
67,5,3,7,5,3,3,8,4,1,9,9,7,7,9,3,1,9,7,7,2,1,5,6,10,10,5,9,3,9,7,10,4,10,5,Fast,Neglect
68,1,6,10,1,7,8,5,3,8,10,6,1,10,2,7,10,1,10,5,7,7,6,8,3,3,8,2,7,4,10,4,2,3,4,Fast,Neglect
69,3,4,9,4,4,3,7,2,2,3,2,2,6,4,5,9,3,6,2,8,5,2,7,6,1,4,5,9,2,6,5,10,8,1,Fast,Neglect
70,10,8,6,7,10,4,9,8,5,9,7,10,4,8,6,6,5,5,4,6,9,3,10,5,9,3,8,5,1,1,2,9,7,10,Fast,Neglect
71,7,1,2,6,2,1,1,7,7,7,8,7,1,6,9,7,7,1,10,6,8,1,1,10,7,1,8,6,10,9,3,7,10,1,Fast,Neglect
72,2,5,4,3,8,10,7,9,4,8,3,9,3,5,6,2,2,4,1,8,10,4,2,7,2,6,1,7,6,5,8,6,5,2,Fast,Neglect
73,6,3,8,5,6,9,3,10,3,4,10,4,7,3,8,4,9,9,9,7,7,9,8,6,1,7,5,10,3,2,7,3,1,8,Fast,Neglect
74,8,2,6,2,4,2,4,4,7,7,4,6,5,2,2,5,10,8,4,2,5,8,7,8,8,5,4,3,5,7,9,9,4,7,Fast,Neglect
75,4,10,5,9,1,4,1,7,9,5,7,2,10,10,3,3,3,3,3,1,6,2,6,1,4,9,3,2,8,4,1,2,7,10,Fast,Neglect
76,3,8,9,8,7,7,8,5,10,1,6,3,2,9,5,7,8,7,6,10,1,4,3,3,9,10,10,1,9,6,10,8,2,9,Fast,Neglect
77,9,9,7,9,6,6,10,4,10,8,2,7,4,1,10,8,1,10,5,3,3,10,5,7,1,2,2,4,6,10,5,10,6,6,Fast,Neglect
78,7,6,2,1,2,7,2,6,1,2,1,8,7,7,9,5,4,6,7,5,2,3,10,5,5,8,9,8,2,3,3,1,5,4,Fast,Neglect
79,5,5,3,10,9,4,4,2,3,1,5,9,8,8,2,1,6,3,8,8,4,5,9,8,10,1,6,5,4,4,7,9,1,2,Fast,Neglect
80,3,3,10,2,3,1,5,1,2,3,8,3,1,4,1,3,1,1,3,4,9,1,7,9,3,4,7,6,5,7,2,6,3,4,Fast,Neglect
81,8,4,5,5,10,9,3,9,5,9,10,6,5,2,3,2,5,4,2,9,8,6,1,6,10,7,1,9,1,1,6,5,10,5,Fast,Neglect
82,2,10,1,8,5,3,7,3,8,10,3,10,6,6,4,7,9,8,1,10,10,4,4,2,4,5,5,10,3,9,4,7,8,7,Fast,Neglect
83,10,9,6,7,8,4,7,8,9,6,9,5,10,3,6,9,10,6,9,8,3,7,2,10,2,5,4,8,8,5,5,10,2,3,Fast,Neglect
84,1,2,3,9,1,10,6,4,4,2,5,1,2,8,7,10,8,2,6,2,2,10,9,3,7,6,10,2,10,6,8,2,7,4,Fast,Neglect
85,6,4,2,4,7,7,1,6,1,3,2,3,9,5,8,8,4,7,5,1,5,6,8,1,6,2,9,6,9,3,3,4,5,1,Fast,Neglect
86,4,8,8,6,2,6,4,7,2,1,4,7,3,1,10,6,2,5,10,3,1,9,6,6,3,9,3,1,2,4,5,1,10,10,Fast,Neglect
87,7,6,5,1,9,6,2,5,6,8,7,2,1,10,3,4,1,1,7,5,6,8,5,7,9,1,8,5,7,9,2,6,4,9,Fast,Neglect
88,5,5,9,3,6,1,8,10,7,7,8,6,8,4,6,3,3,10,2,7,7,1,10,5,1,6,6,10,3,2,1,8,8,7,Fast,Neglect
89,6,3,6,7,4,6,3,8,5,10,4,5,5,8,9,1,5,2,3,6,4,3,7,8,5,7,2,8,9,8,7,3,2,6,Fast,Neglect
90,9,1,3,5,10,9,9,9,4,9,5,9,2,6,8,2,9,7,1,4,10,2,1,2,8,10,7,3,1,10,4,5,7,4,Fast,Neglect
91,3,2,10,4,3,8,5,2,3,1,3,8,4,5,2,8,8,3,9,5,9,5,5,10,6,4,10,5,4,6,8,2,2,3,Fast,Neglect
92,1,4,4,2,10,4,4,8,10,3,9,7,10,3,7,7,6,6,8,9,3,1,6,1,4,3,10,2,6,3,3,2,4,2,Fast,Neglect
93,2,10,2,9,6,3,10,6,4,8,10,10,7,9,3,6,10,8,7,8,4,10,3,3,2,9,8,1,2,1,9,7,3,1,Fast,Neglect
94,8,7,9,8,3,5,7,1,9,2,4,1,6,6,6,9,5,4,5,1,2,8,4,7,8,8,5,3,9,4,5,7,10,9,Fast,Neglect
95,10,6,7,10,1,10,6,3,7,10,1,3,9,1,5,10,2,1,10,2,3,2,9,2,3,1,7,1,7,7,2,1,3,7,Fast,Neglect
96,6,3,5,4,8,1,3,5,2,7,7,5,5,2,1,3,4,3,2,3,5,6,8,10,7,5,4,4,5,9,10,2,8,8,Fast,Neglect
97,4,7,1,1,4,9,1,4,3,4,6,9,1,4,8,1,8,2,3,10,1,4,2,5,5,10,3,2,3,2,1,9,9,4,Fast,Neglect
98,7,2,8,5,2,8,5,9,6,5,2,8,3,9,7,4,10,7,1,4,6,7,1,6,1,8,9,9,1,6,5,10,4,3,Fast,Neglect
99,5,5,6,9,7,8,3,7,1,1,5,2,6,6,9,5,7,10,5,7,8,3,10,8,10,6,6,10,10,3,8,4,1,5,Fast,Neglect
100,9,1,1,7,9,10,8,6,4,4,8,9,2,5,10,2,3,6,10,6,9,5,8,1,9,9,1,8,8,5,3,3,10,10,Fast,Neglect
1,5,3,7,1,3,2,4,3,6,5,8,3,8,9,2,6,3,5,3,7,1,3,2,4,3,6,5,8,3,8,9,2,6,3,Pair,Neglect
2,9,2,3,3,2,5,2,5,1,1,2,4,2,3,3,3,5,9,2,3,3,2,5,2,5,1,1,2,4,2,3,3,3,5,Pair,Neglect
3,1,5,2,4,7,7,1,9,3,2,4,7,6,3,6,4,7,1,5,2,4,7,7,1,9,3,2,4,7,6,3,6,4,7,Pair,Neglect
4,4,6,4,2,5,9,9,3,9,9,3,5,6,1,3,9,9,4,6,4,2,5,9,9,3,9,9,3,5,6,1,3,9,9,Pair,Neglect
5,2,1,5,9,1,3,7,2,10,7,3,1,5,7,9,7,10,2,1,5,9,1,3,7,2,10,7,3,1,5,7,9,7,10,Pair,Neglect
6,1,10,1,7,9,4,1,1,5,10,4,2,9,5,5,1,2,1,10,1,7,9,4,1,1,5,10,4,2,9,5,5,1,2,Pair,Neglect
7,6,8,3,8,6,1,3,6,2,6,9,9,10,10,4,8,1,6,8,3,8,6,1,3,6,2,6,9,9,10,10,4,8,1,Pair,Neglect
8,8,7,7,9,1,10,8,4,4,3,1,6,1,9,7,3,4,8,7,7,9,1,10,8,4,4,3,1,6,1,9,7,3,4,Pair,Neglect
9,7,4,9,6,10,4,5,8,1,1,2,8,3,2,1,4,2,7,4,9,6,10,4,5,8,1,1,2,8,3,2,1,4,2,Pair,Neglect
10,5,5,8,10,10,1,7,10,6,7,2,10,10,5,9,8,6,5,5,8,10,10,1,7,10,6,7,2,10,10,5,9,8,6,Pair,Neglect
11,10,6,8,7,8,10,8,1,8,9,8,2,2,8,10,1,4,10,6,8,7,8,10,8,1,8,9,8,2,2,8,10,1,4,Pair,Neglect
12,7,1,9,6,5,3,6,2,7,8,5,1,3,1,7,10,5,7,1,9,6,5,3,6,2,7,8,5,1,3,1,7,10,5,Pair,Neglect
13,1,10,10,5,4,9,4,4,4,10,10,4,7,6,6,2,8,1,10,10,5,4,9,4,4,4,10,10,4,7,6,6,2,8,Pair,Neglect
14,3,8,2,1,7,7,9,7,10,5,1,9,5,3,4,5,7,3,8,2,1,7,7,9,7,10,5,1,9,5,3,4,5,7,Pair,Neglect
15,3,7,1,2,10,1,2,10,7,7,3,7,8,5,2,10,6,3,7,1,2,10,1,2,10,7,7,3,7,8,5,2,10,6,Pair,Neglect
16,2,6,5,2,3,6,1,3,1,4,9,5,8,2,9,2,10,2,6,5,2,3,6,1,3,1,4,9,5,8,2,9,2,10,Pair,Neglect
17,4,2,3,3,2,6,1,5,4,3,5,9,1,1,8,9,9,4,2,3,3,2,6,1,5,4,3,5,9,1,1,8,9,9,Pair,Neglect
18,10,3,10,4,2,4,3,9,2,2,7,2,7,10,6,4,1,10,3,10,4,2,4,3,9,2,2,7,2,7,10,6,4,1,Pair,Neglect
19,9,1,8,1,8,3,9,7,5,9,4,1,4,9,1,3,3,9,1,8,1,8,3,9,7,5,9,4,1,4,9,1,3,3,Pair,Neglect
20,8,10,5,8,7,2,8,8,7,10,6,3,2,7,1,7,4,8,10,5,8,7,2,8,8,7,10,6,3,2,7,1,7,4,Pair,Neglect
21,6,8,7,9,10,8,6,2,9,10,8,3,7,7,9,5,5,6,8,7,9,10,8,6,2,9,10,8,3,7,7,9,5,5,Pair,Neglect
22,5,5,1,7,10,7,5,3,3,9,10,6,9,1,2,10,1,5,5,1,7,10,7,5,3,3,9,10,6,9,1,2,10,1,Pair,Neglect
23,2,7,4,7,4,7,4,4,10,1,7,7,10,2,7,7,2,2,7,4,7,4,7,4,4,10,1,7,7,10,2,7,7,2,Pair,Neglect
24,9,9,7,10,2,8,7,6,5,5,2,1,4,5,10,5,3,9,9,7,10,2,8,7,6,5,5,2,1,4,5,10,5,3,Pair,Neglect
25,8,1,2,5,5,10,9,6,1,7,1,4,5,6,8,1,4,8,1,2,5,5,10,9,6,1,7,1,4,5,6,8,1,4,Pair,Neglect
26,3,3,8,3,1,1,1,2,9,8,4,10,6,4,6,6,2,3,3,8,3,1,1,1,2,9,8,4,10,6,4,6,6,2,Pair,Neglect
27,4,9,9,6,3,4,2,8,6,6,9,5,3,3,3,3,8,4,9,9,6,3,4,2,8,6,6,9,5,3,3,3,3,8,Pair,Neglect
28,1,2,6,1,5,9,5,1,8,1,5,8,1,10,2,4,9,1,2,6,1,5,9,5,1,8,1,5,8,1,10,2,4,9,Pair,Neglect
29,8,10,5,8,8,5,3,10,4,3,4,7,2,1,4,6,10,8,10,5,8,8,5,3,10,4,3,4,7,2,1,4,6,10,Pair,Neglect
30,7,5,4,2,9,3,9,5,1,3,8,4,8,8,5,2,6,7,5,4,2,9,3,9,5,1,3,8,4,8,8,5,2,6,Pair,Neglect
31,10,4,3,3,10,1,8,1,3,7,2,10,9,4,10,9,3,10,4,3,3,10,1,8,1,3,7,2,10,9,4,10,9,3,Pair,Neglect
32,10,6,5,3,8,9,6,9,2,6,10,6,2,3,7,1,7,10,6,5,3,8,9,6,9,2,6,10,6,2,3,7,1,7,Pair,Neglect
33,2,1,1,2,1,3,1,3,9,9,6,9,5,9,8,5,1,2,1,1,2,1,3,1,3,9,9,6,9,5,9,8,5,1,Pair,Neglect
34,3,8,3,9,5,4,3,10,5,4,1,1,1,7,8,6,10,3,8,3,9,5,4,3,10,5,4,1,1,1,7,8,6,10,Pair,Neglect
35,6,3,10,4,6,2,7,2,10,6,3,2,6,10,6,10,8,6,3,10,4,6,2,7,2,10,6,3,2,6,10,6,10,8,Pair,Neglect
36,2,9,10,6,2,7,1,7,7,6,8,2,10,6,5,10,9,2,9,10,6,2,7,1,7,7,6,8,2,10,6,5,10,9,Pair,Neglect
37,5,7,8,1,10,5,4,10,8,2,8,10,2,3,2,3,9,5,7,8,1,10,5,4,10,8,2,8,10,2,3,2,3,9,Pair,Neglect
38,4,4,2,7,7,2,7,8,9,4,9,5,5,2,3,9,1,4,4,2,7,7,2,7,8,9,4,9,5,5,2,3,9,1,Pair,Neglect
39,7,5,5,5,3,4,2,7,2,5,2,8,3,5,5,2,7,7,5,5,5,3,4,2,7,2,5,2,8,3,5,5,2,7,Pair,Neglect
40,7,7,8,9,5,5,3,4,4,9,3,3,4,4,4,5,4,7,7,8,9,5,5,3,4,4,9,3,3,4,4,4,5,4,Pair,Neglect
41,9,2,4,7,4,9,8,5,6,10,1,1,5,7,7,6,3,9,2,4,7,4,9,8,5,6,10,1,1,5,7,7,6,3,Pair,Neglect
42,3,1,1,8,10,7,9,5,3,7,4,9,7,10,10,9,5,3,1,1,8,10,7,9,5,3,7,4,9,7,10,10,9,5,Pair,Neglect
43,4,10,7,8,2,9,1,4,1,1,5,4,10,6,3,1,5,4,10,7,8,2,9,1,4,1,1,5,4,10,6,3,1,5,Pair,Neglect
44,10,3,5,10,3,6,6,8,3,4,9,7,2,4,8,4,3,10,3,5,10,3,6,6,8,3,4,9,7,2,4,8,4,3,Pair,Neglect
45,5,8,9,3,8,10,5,7,8,2,10,2,9,9,5,7,8,5,8,9,3,8,10,5,7,8,2,10,2,9,9,5,7,8,Pair,Neglect
46,8,6,8,5,7,9,4,1,5,5,7,8,3,8,1,8,6,8,6,8,5,7,9,4,1,5,5,7,8,3,8,1,8,6,Pair,Neglect
47,8,1,3,2,9,5,6,2,7,9,9,5,1,2,8,8,9,8,1,3,2,9,5,6,2,7,9,9,5,1,2,8,8,9,Pair,Neglect
48,2,4,7,3,10,8,9,6,2,8,5,6,10,2,3,9,10,2,4,7,3,10,8,9,6,2,8,5,6,10,2,3,9,10,Pair,Neglect
49,1,3,2,6,7,6,9,1,6,6,3,7,8,3,10,10,2,1,3,2,6,7,6,9,1,6,6,3,7,8,3,10,10,2,Pair,Neglect
50,5,10,9,1,1,3,1,4,8,1,9,4,7,1,6,2,9,5,10,9,1,1,3,1,4,8,1,9,4,7,1,6,2,9,Pair,Neglect
51,2,7,10,7,5,1,4,3,10,8,7,9,5,1,1,6,7,2,7,10,7,5,1,4,3,10,8,7,9,5,1,1,6,7,Pair,Neglect
52,10,9,10,2,3,2,8,10,3,2,2,2,1,5,4,4,8,10,9,10,2,3,2,8,10,3,2,2,2,1,5,4,4,8,Pair,Neglect
53,6,8,7,1,1,3,3,6,1,7,1,6,2,8,4,4,6,6,8,7,1,1,3,3,6,1,7,1,6,2,8,4,4,6,Pair,Neglect
54,3,5,2,8,7,1,6,2,6,10,4,5,6,7,7,1,7,3,5,2,8,7,1,6,2,6,10,4,5,6,7,7,1,7,Pair,Neglect
55,8,2,4,3,10,7,9,9,3,5,6,2,7,5,3,3,1,8,2,4,3,10,7,9,9,3,5,6,2,7,5,3,3,1,Pair,Neglect
56,7,4,3,6,6,6,4,7,7,9,5,3,9,8,5,6,2,7,4,3,6,6,6,4,7,7,9,5,3,9,8,5,6,2,Pair,Neglect
57,4,3,1,4,5,4,5,8,5,4,3,6,1,6,9,7,10,4,3,1,4,5,4,5,8,5,4,3,6,1,6,9,7,10,Pair,Neglect
58,9,10,4,5,9,9,1,3,5,4,9,8,7,3,2,8,1,9,10,4,5,9,9,1,3,5,4,9,8,7,3,2,8,1,Pair,Neglect
59,5,5,5,2,3,5,3,10,4,10,8,3,6,10,7,9,7,5,5,5,2,3,5,3,10,4,10,8,3,6,10,7,9,7,Pair,Neglect
60,6,8,6,4,10,10,7,9,10,3,8,7,4,4,3,2,3,6,8,6,4,10,10,7,9,10,3,8,7,4,4,3,2,3,Pair,Neglect
61,8,9,6,6,7,1,8,5,10,9,5,9,2,2,5,3,6,8,9,6,6,7,1,8,5,10,9,5,9,2,2,5,3,6,Pair,Neglect
62,1,3,5,8,2,8,2,4,1,5,4,1,10,5,4,7,5,1,3,5,8,2,8,2,4,1,5,4,1,10,5,4,7,5,Pair,Neglect
63,10,10,8,5,4,10,7,6,6,3,1,7,8,6,10,2,5,10,10,8,5,4,10,7,6,6,3,1,7,8,6,10,2,5,Pair,Neglect
64,4,1,4,10,1,5,5,1,8,10,4,10,3,10,9,10,6,4,1,4,10,1,5,5,1,8,10,4,10,3,10,9,10,6,Pair,Neglect
65,9,6,10,8,2,10,5,3,7,2,3,2,10,4,3,7,9,9,6,10,8,2,10,5,3,7,2,3,2,10,4,3,7,9,Pair,Neglect
66,2,7,6,5,5,4,9,9,3,5,7,9,8,9,6,5,10,2,7,6,5,5,4,9,9,3,5,7,9,8,9,6,5,10,Pair,Neglect
67,3,5,3,9,6,7,1,1,10,4,9,10,1,8,8,5,3,3,5,3,9,6,7,1,1,10,4,9,10,1,8,8,5,3,Pair,Neglect
68,7,9,9,4,9,7,1,2,4,9,2,8,6,2,1,9,10,7,9,9,4,9,7,1,2,4,9,2,8,6,2,1,9,10,Pair,Neglect
69,4,1,2,10,8,4,8,7,1,3,10,7,9,1,4,10,1,4,1,2,10,8,4,8,7,1,3,10,7,9,1,4,10,1,Pair,Neglect
70,10,3,7,6,7,9,2,6,10,1,1,3,5,6,10,2,2,10,3,7,6,7,9,2,6,10,1,1,3,5,6,10,2,2,Pair,Neglect
71,6,8,6,1,1,2,5,6,3,9,4,4,7,7,9,1,4,6,8,6,1,1,2,5,6,3,9,4,4,7,7,9,1,4,Pair,Neglect
72,6,2,10,2,10,3,7,3,8,2,3,6,1,1,7,3,1,6,2,10,2,10,3,7,3,8,2,3,6,1,1,7,3,1,Pair,Neglect
73,5,5,7,10,9,1,4,4,7,7,7,6,5,10,2,4,6,5,5,7,10,9,1,4,4,7,7,7,6,5,10,2,4,6,Pair,Neglect
74,9,5,8,9,2,2,7,5,5,8,9,5,9,3,3,1,3,9,5,8,9,2,2,7,5,5,8,9,5,9,3,3,1,3,Pair,Neglect
75,1,3,2,7,3,4,6,1,2,6,5,7,2,3,1,7,2,1,3,2,7,3,4,6,1,2,6,5,7,2,3,1,7,2,Pair,Neglect
76,2,6,1,1,1,8,2,10,1,4,10,2,6,8,6,9,5,2,6,1,1,1,8,2,10,1,4,10,2,6,8,6,9,5,Pair,Neglect
77,8,10,3,10,6,6,3,9,9,10,1,1,10,8,8,8,8,8,10,3,10,6,6,3,9,9,10,1,1,10,8,8,8,8,Pair,Neglect
78,8,8,3,6,5,6,5,7,4,7,5,1,10,2,4,6,7,8,8,3,6,5,6,5,7,4,7,5,1,10,2,4,6,7,Pair,Neglect
79,4,7,9,9,10,5,4,2,3,1,8,3,7,5,3,5,10,4,7,9,9,10,5,4,2,3,1,8,3,7,5,3,5,10,Pair,Neglect
80,5,4,2,8,8,1,9,8,6,3,4,9,5,5,8,4,9,5,4,2,8,8,1,9,8,6,3,4,9,5,5,8,4,9,Pair,Neglect
81,7,2,10,7,4,8,2,4,5,7,5,4,3,6,8,1,8,7,2,10,7,4,8,2,4,5,7,5,4,3,6,8,1,8,Pair,Neglect
82,6,1,2,5,5,3,3,9,2,6,8,8,8,1,7,1,8,6,1,2,5,5,3,3,9,2,6,8,8,8,1,7,1,8,Pair,Neglect
83,3,6,8,8,7,8,2,10,4,8,7,6,1,3,9,3,1,3,6,8,8,7,8,2,10,4,8,7,6,1,3,9,3,1,Pair,Neglect
84,2,8,8,3,1,2,10,6,8,4,2,7,2,9,7,9,6,2,8,8,3,1,2,10,6,8,4,2,7,2,9,7,9,6,Pair,Neglect
85,5,5,7,5,2,1,7,3,9,5,9,2,9,10,2,8,3,5,5,7,5,2,1,7,3,9,5,9,2,9,10,2,8,3,Pair,Neglect
86,9,10,5,2,3,10,2,2,1,5,1,4,4,3,3,7,5,9,10,5,2,3,10,2,2,1,5,1,4,4,3,3,7,5,Pair,Neglect
87,7,7,2,2,5,2,8,7,10,3,3,8,3,1,10,10,2,7,7,2,2,5,2,8,7,10,3,3,8,3,1,10,10,2,Pair,Neglect
88,7,6,4,6,9,8,6,5,3,8,7,6,10,5,1,9,3,7,6,4,6,9,8,6,5,3,8,7,6,10,5,1,9,3,Pair,Neglect
89,10,10,1,4,1,4,10,8,5,2,1,9,2,7,10,2,4,10,10,1,4,1,4,10,8,5,2,1,9,2,7,10,2,4,Pair,Neglect
90,1,3,10,9,8,6,5,1,9,1,3,10,7,2,2,5,1,1,3,10,9,8,6,5,1,9,1,3,10,7,2,2,5,1,Pair,Neglect
91,9,8,6,3,9,2,1,5,3,5,6,5,5,3,8,6,9,9,8,6,3,9,2,1,5,3,5,6,5,5,3,8,6,9,Pair,Neglect
92,3,1,9,10,10,4,7,10,4,9,6,1,3,8,6,2,5,3,1,9,10,10,4,7,10,4,9,6,1,3,8,6,2,5,Pair,Neglect
93,7,4,4,1,8,9,3,6,2,1,2,7,9,4,3,8,7,7,4,4,1,8,9,3,6,2,1,2,7,9,4,3,8,7,Pair,Neglect
94,10,2,6,5,2,1,2,4,6,8,5,3,7,6,4,4,6,10,2,6,5,2,1,2,4,6,8,5,3,7,6,4,4,6,Pair,Neglect
95,2,5,5,6,5,1,8,10,7,10,8,10,7,1,2,4,10,2,5,5,6,5,1,8,10,7,10,8,10,7,1,2,4,10,Pair,Neglect
96,4,8,7,4,5,2,7,7,7,10,2,6,9,5,5,3,7,4,8,7,4,5,2,7,7,7,10,2,6,9,5,5,3,7,Pair,Neglect
97,3,3,9,5,9,10,5,2,8,9,10,2,5,1,1,5,5,3,3,9,5,9,10,5,2,8,9,10,2,5,1,1,5,5,Pair,Neglect
98,8,10,1,7,1,5,9,3,1,3,9,4,2,10,9,8,7,8,10,1,7,1,5,9,3,1,3,9,4,2,10,9,8,7,Pair,Neglect
99,4,1,10,2,2,3,4,8,5,6,6,5,4,6,4,6,4,4,1,10,2,2,3,4,8,5,6,6,5,4,6,4,6,4,Pair,Neglect
100,6,6,3,1,3,7,8,8,3,7,2,9,8,3,10,10,6,6,6,3,1,3,7,8,8,3,7,2,9,8,3,10,10,6,Pair,Neglect
101,5,4,2,8,7,2,10,1,4,10,4,8,1,4,6,1,1,5,4,2,8,7,2,10,1,4,10,4,8,1,4,6,1,1,Pair,Neglect
102,9,3,1,3,8,9,1,9,9,2,10,8,9,9,3,7,4,9,3,1,3,8,9,1,9,9,2,10,8,9,9,3,7,4,Pair,Neglect
103,7,2,4,9,4,3,9,4,2,9,1,1,3,8,6,3,9,7,2,4,9,4,3,9,4,2,9,1,1,3,8,6,3,9,Pair,Neglect
104,3,5,3,8,7,3,4,3,10,5,4,3,6,7,8,2,3,3,5,3,8,7,3,4,3,10,5,4,3,6,7,8,2,3,Pair,Neglect
105,9,8,8,2,10,7,3,3,9,1,7,7,10,9,9,4,2,9,8,8,2,10,7,3,3,9,1,7,7,10,9,9,4,2,Pair,Neglect
106,7,4,7,10,10,10,5,6,8,6,1,1,4,5,2,1,4,7,4,7,10,10,10,5,6,8,6,1,1,4,5,2,1,4,Pair,Neglect
107,10,6,7,3,8,5,5,8,1,3,9,9,8,3,4,2,6,10,6,7,3,8,5,5,8,1,3,9,9,8,3,4,2,6,Pair,Neglect
108,4,7,10,4,1,4,10,10,10,1,7,5,9,1,3,9,9,4,7,10,4,1,4,10,10,10,1,7,5,9,1,3,9,9,Pair,Neglect
109,6,10,5,10,1,6,6,7,3,4,3,6,2,4,7,5,7,6,10,5,10,1,6,6,7,3,4,3,6,2,4,7,5,7,Pair,Neglect
110,9,8,9,5,7,7,2,7,4,4,8,4,5,4,9,6,5,9,8,9,5,7,7,2,7,4,4,8,4,5,4,9,6,5,Pair,Neglect
111,1,2,10,1,3,10,4,5,6,8,6,5,5,2,10,7,10,1,2,10,1,3,10,4,5,6,8,6,5,5,2,10,7,10,Pair,Neglect
112,5,1,6,2,2,5,7,4,1,9,6,6,10,1,1,3,6,5,1,6,2,2,5,7,4,1,9,6,6,10,1,1,3,6,Pair,Neglect
113,10,5,1,5,6,2,7,4,2,2,2,7,8,10,2,8,5,10,5,1,5,6,2,7,4,2,2,2,7,8,10,2,8,5,Pair,Neglect
114,1,10,2,8,5,6,9,1,5,10,1,9,2,1,4,8,2,1,10,2,8,5,6,9,1,5,10,1,9,2,1,4,8,2,Pair,Neglect
115,3,7,4,6,9,8,3,7,7,6,8,2,3,5,3,10,3,3,7,4,6,9,8,3,7,7,6,8,2,3,5,3,10,3,Pair,Neglect
116,2,8,5,7,7,2,1,8,9,5,9,10,1,10,8,7,1,2,8,5,7,7,2,1,8,9,5,9,10,1,10,8,7,1,Pair,Neglect
117,4,3,2,8,2,4,2,1,8,2,3,4,4,7,6,9,4,4,3,2,8,2,4,2,1,8,2,3,4,4,7,6,9,4,Pair,Neglect
118,4,2,6,10,9,10,4,2,3,8,5,1,7,7,2,2,5,4,2,6,10,9,10,4,2,3,8,5,1,7,7,2,2,5,Pair,Neglect
119,5,10,3,9,6,2,5,5,4,9,5,9,10,8,5,3,1,5,10,3,9,6,2,5,5,4,9,5,9,10,8,5,3,1,Pair,Neglect
120,8,9,8,6,1,1,2,5,5,2,3,8,6,4,4,6,5,8,9,8,6,1,1,2,5,5,2,3,8,6,4,4,6,5,Pair,Neglect
121,6,6,8,2,5,3,8,4,2,9,10,4,9,5,7,4,3,6,6,8,2,5,3,8,4,2,9,10,4,9,5,7,4,3,Pair,Neglect
122,5,5,10,1,5,3,10,8,1,3,6,7,10,2,6,10,2,5,5,10,1,5,3,10,8,1,3,6,7,10,2,6,10,2,Pair,Neglect
123,8,3,6,3,4,1,9,9,3,10,1,2,3,2,2,7,5,8,3,6,3,4,1,9,9,3,10,1,2,3,2,2,7,5,Pair,Neglect
124,10,7,3,10,2,7,6,2,7,7,7,9,5,9,7,7,9,10,7,3,10,2,7,6,2,7,7,7,9,5,9,7,7,9,Pair,Neglect
125,3,4,7,9,7,9,7,10,9,4,4,10,1,9,10,8,9,3,4,7,9,7,9,7,10,9,4,4,10,1,9,10,8,9,Pair,Neglect
126,7,2,2,9,7,8,8,7,4,6,3,2,8,10,10,5,4,7,2,2,9,7,8,8,7,4,6,3,2,8,10,10,5,4,Pair,Neglect
127,9,1,3,4,8,10,2,3,5,1,8,9,3,5,1,1,10,9,1,3,4,8,10,2,3,5,1,8,9,3,5,1,1,10,Pair,Neglect
128,9,5,5,5,1,5,1,5,6,1,4,5,2,6,3,4,3,9,5,5,5,1,5,1,5,6,1,4,5,2,6,3,4,3,Pair,Neglect
129,1,8,4,1,10,6,10,4,6,5,2,6,7,3,2,2,8,1,8,4,1,10,6,10,4,6,5,2,6,7,3,2,2,8,Pair,Neglect
130,5,10,4,7,2,9,7,10,1,8,10,10,9,2,8,10,5,5,10,4,7,2,9,7,10,1,8,10,10,9,2,8,10,5,Pair,Neglect
131,2,9,9,10,1,6,1,8,7,3,6,3,6,6,9,6,3,2,9,9,10,1,6,1,8,7,3,6,3,6,6,9,6,3,Pair,Neglect
132,1,6,1,6,8,10,3,4,10,10,2,4,3,5,9,9,10,1,6,1,6,8,10,3,4,10,10,2,4,3,5,9,9,10,Pair,Neglect
133,4,3,10,5,3,5,2,1,2,2,7,10,2,3,10,9,8,4,3,10,5,3,5,2,1,2,2,7,10,2,3,10,9,8,Pair,Neglect
134,8,7,8,3,2,6,10,9,4,9,1,7,10,8,3,7,2,8,7,8,3,2,6,10,9,4,9,1,7,10,8,3,7,2,Pair,Neglect
135,7,5,2,2,3,2,7,7,4,7,9,3,9,5,4,10,7,7,5,2,2,3,2,7,7,4,7,9,3,9,5,4,10,7,Pair,Neglect
136,6,2,6,5,1,1,2,1,7,2,3,8,4,7,7,1,8,6,2,6,5,1,1,2,1,7,2,3,8,4,7,7,1,8,Pair,Neglect
137,9,6,1,6,7,3,10,2,8,8,2,2,5,7,6,4,10,9,6,1,6,7,3,10,2,8,8,2,2,5,7,6,4,10,Pair,Neglect
138,10,1,9,4,5,4,8,3,5,5,7,6,9,9,7,3,2,10,1,9,4,5,4,8,3,5,5,7,6,9,9,7,3,2,Pair,Neglect
