 'frameRate': 120.02351312955166, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,alternating,6.5158104479,stimulus,
0,alternating,6.5966839338,tap,e
0,alternating,7.1856962046,tap,b
1,alternating,7.2660012962,stimulus,
1,alternating,7.9607122708,tap,e
2,alternating,8.0161118508,stimulus,
2,alternating,8.5616122235,tap,b
3,alternating,8.7662320649,stimulus,
3,alternating,9.3856083042,tap,e
4,alternating,9.516358316,stimulus,
4,alternating,10.1306120638,tap,b
5,alternating,10.2664712855,stimulus,
5,alternating,10.9035586073,tap,e
6,alternating,11.0166011589,stimulus,
6,alternating,11.6025613665,tap,b
7,alternating,11.7667769144,stimulus,
7,alternating,12.3505776462,tap,e
8,alternating,12.516868754,stimulus,
8,alternating,13.105600299,tap,b
9,alternating,13.2669802143,stimulus,
9,alternating,13.8165948803,tap,e
10,alternating,14.0174711071,stimulus,
10,alternating,14.4354926783,tap,b
11,alternating,14.7675846803,stimulus,
11,alternating,15.2584609403,tap,e
12,alternating,15.5176861793,stimulus,
12,alternating,16.0864720039,tap,b
13,alternating,16.267792508,stimulus,
13,alternating,16.9444211177,tap,e
14,alternating,17.0178864606,stimulus,
14,alternating,17.6714318617,tap,b
15,alternating,17.7680172396,stimulus,
15,alternating,18.4454219203,tap,e
16,alternating,18.518157678,stimulus,
16,alternating,19.1073884922,tap,b
17,alternating,19.2682594788,stimulus,
17,alternating,19.869352921,tap,e
18,alternating,20.0183727502,stimulus,
18,alternating,20.6473869407,tap,b
19,alternating,20.7684848141,stimulus,
19,alternating,21.3393437838,tap,e
20,alternating,21.5185944632,stimulus,
20,alternating,22.0383827657,tap,b
21,alternating,22.2686902269,stimulus,
21,alternating,22.8773819812,tap,e
22,alternating,23.018799876,stimulus,
22,alternating,23.6463159566,tap,b
23,alternating,23.768899262,stimulus,
23,alternating,24.418256415,tap,e
24,alternating,24.5190152501,stimulus,
24,alternating,25.1672664037,tap,b
25,alternating,25.2691215787,stimulus,
25,alternating,25.9082920068,tap,e
26,alternating,26.0192082868,stimulus,
26,alternating,26.7202337812,tap,b
27,alternating,26.7692955986,stimulus,
27,alternating,27.4822296029,tap,e
28,alternating,27.5193964938,stimulus,
28,alternating,28.2662744756,tap,b
29,alternating,28.2694998039,stimulus,
30,alternating,29.0196034159,stimulus,
30,alternating,29.0265023284,tap,e
31,alternating,29.7697680028,stimulus,
31,alternating,29.7801853454,tap,b
31,alternating,30.4261339436,tap,e
32,alternating,30.5198833871,stimulus,
33,alternating,31.2699854898,stimulus,
33,alternating,31.3521089603,tap,b
33,alternating,32.0080812813,tap,e
34,alternating,32.0200788387,stimulus,
35,alternating,32.7706675328,stimulus,
35,alternating,32.7750824745,tap,b
35,alternating,33.4820460747,tap,e
36,alternating,33.5207943877,stimulus,
36,alternating,34.2430152851,tap,b
37,alternating,34.2708979996,stimulus,
38,alternating,35.0210631902,stimulus,
38,alternating,35.0534133694,tap,e
39,alternating,35.771190045,stimulus,
39,alternating,35.8030174101,tap,b
40,alternating,36.5213341057,stimulus,
40,alternating,36.5710059734,tap,e
40,alternating,37.2399550718,tap,b
41,alternating,37.2716490167,stimulus,
42,alternating,38.0217828142,stimulus,
42,alternating,38.0850055889,tap,e
42,alternating,38.7259107817,tap,b
43,alternating,38.7719078579,stimulus,
43,alternating,39.5119186221,tap,e
44,alternating,39.5220833116,stimulus,
44,alternating,40.2558725275,tap,b
45,alternating,40.2723532461,stimulus,
45,alternating,40.9388853857,tap,e
46,alternating,41.022521757,stimulus,
46,alternating,41.7478747094,tap,b
47,alternating,41.7726268783,stimulus,
47,alternating,42.4168364857,tap,e
48,alternating,42.5227244531,stimulus,
48,alternating,43.201859069,tap,b
49,alternating,43.272826254,stimulus,
49,alternating,43.9758787095,tap,e
50,alternating,44.0229186973,stimulus,
50,alternating,44.6338007167,tap,b
51,alternating,44.7730364965,stimulus,
51,alternating,45.4307583733,tap,e
52,alternating,45.5231422214,stimulus,
52,alternating,46.1567838601,tap,b
53,alternating,46.2732397963,stimulus,
53,alternating,46.9337194269,tap,e
54,alternating,47.023337673,stimulus,
54,alternating,47.7257411388,tap,b
55,alternating,47.7734406813,stimulus,
56,alternating,48.5235660269,stimulus,
56,alternating,48.5277391822,tap,e
56,alternating,49.245689123,tap,b
57,alternating,49.273675676,stimulus,
58,alternating,50.023789551,stimulus,
58,alternating,50.0417071028,tap,e
58,alternating,50.716650452,tap,b
59,alternating,50.7739118781,stimulus,
59,alternating,51.4976381299,tap,e
60,alternating,51.5240236401,stimulus,
60,alternating,52.2515967413,tap,b
61,alternating,52.2741266484,stimulus,
61,alternating,52.9926706413,tap,e
62,alternating,53.0242335808,stimulus,
62,alternating,53.6925988902,tap,b
63,alternating,53.7743710006,stimulus,
63,alternating,54.405590549,tap,e
64,alternating,54.5244872905,stimulus,
64,alternating,55.2165727241,tap,b
65,alternating,55.2745818468,stimulus,
65,alternating,55.8535118347,tap,e
66,alternating,56.0246936089,stimulus,
66,alternating,56.5465659233,tap,b
67,alternating,56.7748156341,stimulus,
67,alternating,57.3579571129,tap,e
68,alternating,57.5249349425,stimulus,
68,alternating,58.0525675696,tap,b
69,alternating,58.2750624011,stimulus,
69,alternating,58.8574899912,tap,e
70,alternating,59.025187143,stimulus,
70,alternating,59.6574100598,tap,b
71,alternating,59.7753100737,stimulus,
71,alternating,60.2454340549,tap,e
72,alternating,60.5254133839,stimulus,
72,alternating,60.9614424598,tap,b
73,alternating,61.2755127699,stimulus,
73,alternating,61.8274094652,tap,e
74,alternating,62.0256154763,stimulus,
74,alternating,62.5183958421,tap,b
75,alternating,62.775707014,stimulus,
75,alternating,63.2994248743,tap,e
76,alternating,63.525816965,stimulus,
76,alternating,63.9734415265,tap,b
77,alternating,64.2759362734,stimulus,
77,alternating,64.9213125532,tap,e
78,alternating,65.026040791,stimulus,
78,alternating,65.7152721788,tap,b
79,alternating,65.776129612,stimulus,
79,alternating,66.2592928547,tap,e
80,alternating,66.5262471094,stimulus,
80,alternating,67.1602672751,tap,b
81,alternating,67.2763585696,stimulus,
81,alternating,67.8572605809,tap,e
82,alternating,68.0264766706,stimulus,
82,alternating,68.5972327075,tap,b
83,alternating,68.7766243535,stimulus,
83,alternating,69.4282221815,tap,e
84,alternating,69.5267192117,stimulus,
84,alternating,70.2301852096,tap,b
85,alternating,70.276820107,stimulus,
86,alternating,71.0269406229,stimulus,
86,alternating,71.0282250189,tap,e
86,alternating,78.4153217737,probe,1
0,random,82.9330746631,stimulus,
1,random,83.6832105736,stimulus,
1,random,83.8230905136,tap,b
1,random,84.337941664,tap,e
2,random,84.4333504083,stimulus,
2,random,84.988850959,tap,e
3,random,85.1834694149,stimulus,
3,random,85.8268794065,tap,e
4,random,85.9335633675,stimulus,
4,random,86.6078281451,tap,e
5,random,86.6836615461,stimulus,
5,random,87.2567783965,tap,b
6,random,87.4337702896,stimulus,
6,random,88.0277912523,tap,e
7,random,88.1839028797,stimulus,
7,random,88.8887791476,tap,b
8,random,88.9340402995,stimulus,
8,random,89.6647152701,tap,b
9,random,89.6841448171,stimulus,
9,random,90.3687049877,tap,b
10,random,90.4342559755,stimulus,
10,random,91.103677478,tap,b
11,random,91.1843592856,stimulus,
11,random,91.8356908768,tap,b
12,random,91.9344647087,stimulus,
12,random,92.5136648574,tap,e
13,random,92.6845598687,stimulus,
13,random,93.2747354914,tap,b
14,random,93.4346776679,stimulus,
15,random,94.1848132766,stimulus,
15,random,94.1967260125,tap,b
16,random,94.9349712226,stimulus,
16,random,94.9626571272,tap,b
16,random,95.6335966622,tap,b
17,random,95.6850890218,stimulus,
17,random,96.3935929916,tap,b
18,random,96.4351757298,stimulus,
18,random,97.0256157781,tap,e
19,random,97.1852666639,stimulus,
19,random,97.6735677927,tap,e
20,random,97.9355344854,stimulus,
20,random,98.5866004435,tap,e
21,random,98.6856426252,stimulus,
21,random,99.269545686,tap,b
22,random,99.4357383889,stimulus,
22,random,100.0385189027,tap,e
23,random,100.1860846929,stimulus,
23,random,100.8575189694,tap,e
24,random,100.9361910215,stimulus,
24,random,101.6094820126,tap,e
25,random,101.6862967465,stimulus,
