 'frameRate': 119.99373385903144, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.5169772684,stimulus,
0,random,7.0826316509,tap,e
1,random,7.2671317416,stimulus,
1,random,7.6855371066,tap,e
2,random,8.0172342962,stimulus,
2,random,8.4475432336,tap,b
3,random,8.7673585841,stimulus,
3,random,9.2144976366,tap,b
4,random,9.5174898147,stimulus,
4,random,9.9245020407,tap,b
5,random,10.2676159138,stimulus,
5,random,10.629495987,tap,b
6,random,11.017735674,stimulus,
6,random,11.4464469036,tap,e
7,random,11.7678388322,stimulus,
7,random,12.1774171104,tap,e
8,random,12.5179474239,stimulus,
8,random,12.9843769951,tap,e
9,random,13.268056921,stimulus,
9,random,13.6904268231,tap,e
10,random,14.0181637015,stimulus,
10,random,14.4263160262,tap,e
11,random,14.7683000636,stimulus,
11,random,15.1773467787,tap,e
12,random,15.5184412553,stimulus,
12,random,15.9873257969,tap,e
13,random,16.2685679581,stimulus,
13,random,16.699259947,tap,e
14,random,17.018675946,stimulus,
14,random,17.4282726372,tap,e
15,random,17.7687860469,stimulus,
15,random,18.2552405451,tap,b
16,random,18.5189169756,stimulus,
16,random,19.0222504891,tap,b
17,random,19.2690249635,stimulus,
17,random,19.8151938304,tap,b
18,random,20.019133857,stimulus,
18,random,20.6592010374,tap,b
19,random,20.7692225263,stimulus,
20,random,21.5193410791,stimulus,
20,random,21.5951236858,tap,b
21,random,22.2694720078,stimulus,
21,random,22.3011004654,tap,b
22,random,23.0195911643,stimulus,
22,random,23.0390543429,tap,e
23,random,23.7697308467,stimulus,
23,random,23.7770981726,tap,e
24,random,24.5198681144,stimulus,
24,random,24.5700152526,tap,b
25,random,25.2699839505,stimulus,
25,random,25.3889701712,tap,e
26,random,26.0201031069,stimulus,
26,random,26.0390205354,tap,e
26,random,26.7289489992,tap,e
27,random,26.7702207541,stimulus,
27,random,27.4959504913,tap,e
28,random,27.5203233087,stimulus,
29,random,28.2704213355,stimulus,
29,random,28.2939103273,tap,b
30,random,29.0205178529,stimulus,
30,random,29.0953831284,tap,b
31,random,29.7706321798,stimulus,
31,random,29.8058406138,tap,b
31,random,30.4828431291,tap,e
32,random,30.5207289991,stimulus,
32,random,31.2538393436,tap,e
33,random,31.2708212907,stimulus,
33,random,31.9987983233,tap,e
34,random,32.0209135822,stimulus,
34,random,32.6757570699,tap,b
35,random,32.7710097978,stimulus,
36,random,33.5213520237,stimulus,
36,random,33.6228180934,tap,b
37,random,34.2716637623,stimulus,
37,random,34.5187014526,tap,e
38,random,35.0217898614,stimulus,
38,random,35.0767074842,tap,e
39,random,35.7721692152,stimulus,
39,random,35.8187025695,tap,e
39,random,36.4776391837,tap,b
40,random,36.5222817309,stimulus,
41,random,37.2723894169,stimulus,
41,random,37.2946163615,tap,e
41,random,38.0175642215,tap,e
42,random,38.0226281072,stimulus,
42,random,38.7146094732,tap,e
43,random,38.7728797771,stimulus,
43,random,39.4845452781,tap,e
44,random,39.522969352,stimulus,
44,random,40.1904967021,tap,b
45,random,40.2730619454,stimulus,
45,random,40.9515275421,tap,b
46,random,41.0231527276,stimulus,
46,random,41.7164420226,tap,b
47,random,41.7732558859,stimulus,
47,random,42.5054404473,tap,e
48,random,42.5233638738,stimulus,
48,random,43.2573990958,tap,b
49,random,43.2734489209,stimulus,
49,random,44.007434639,tap,b
50,random,44.0235363828,stimulus,
50,random,44.7553587206,tap,b
51,random,44.7736226373,stimulus,
51,random,45.4193426185,tap,e
52,random,45.5237251918,stimulus,
52,random,46.2203599235,tap,b
53,random,46.273826539,stimulus,
53,random,46.9502766634,tap,b
54,random,47.0239293954,stimulus,
54,random,47.7243179707,tap,b
55,random,47.7740322518,stimulus,
55,random,48.5182809714,tap,b
56,random,48.5241643879,stimulus,
56,random,49.2292540217,tap,e
57,random,49.274259698,stimulus,
58,random,50.0243580266,stimulus,
58,random,50.0541958923,tap,e
58,random,50.6731701898,tap,b
59,random,50.7744720516,stimulus,
59,random,51.3821941754,tap,e
60,random,51.5245685691,stimulus,
60,random,52.2411002421,tap,e
61,random,52.2746671995,stimulus,
61,random,52.9560659018,tap,b
62,random,53.0247649244,stimulus,
62,random,53.7291298092,tap,e
63,random,53.7748717049,stimulus,
63,random,54.4150403079,tap,e
64,random,54.5249718447,stimulus,
64,random,55.1720712941,tap,b
65,random,55.2750677584,stimulus,
66,random,56.0251757464,stimulus,
66,random,56.1140750726,tap,e
66,random,56.6889809473,tap,e
67,random,56.7754189644,stimulus,
67,random,57.501989664,tap,b
68,random,57.5255239338,stimulus,
69,random,58.2756153198,stimulus,
69,random,58.4039106865,tap,e
70,random,59.0257559078,stimulus,
70,random,59.0759437962,tap,e
70,random,59.6888897877,tap,b
71,random,59.7758648013,stimulus,
71,random,60.5029006563,tap,b
72,random,60.5259700725,stimulus,
73,random,61.2760626659,stimulus,
73,random,61.3218425951,tap,e
73,random,61.9888039709,tap,e
74,random,62.0261628056,stimulus,
74,random,62.6777692219,tap,b
75,random,62.7762514749,stimulus,
75,random,63.4827604214,tap,b
76,random,63.5263482943,stimulus,
77,random,64.2764653378,stimulus,
77,random,64.2987958179,tap,e
