 'frameRate': 120.01242555542143, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,alternating,6.5143574863,stimulus,
0,alternating,6.9946421095,tap,b
1,alternating,7.2645119596,stimulus,
1,alternating,7.6475576622,tap,e
2,alternating,8.0146265882,stimulus,
2,alternating,8.1615381341,tap,b
3,alternating,8.76477593,stimulus,
3,alternating,8.7655577292,tap,e
4,alternating,9.5149153106,stimulus,
4,alternating,9.5174720054,tap,b
5,alternating,10.265042919,stimulus,
5,alternating,10.2734866525,tap,e
5,alternating,10.9544177845,tap,b
6,alternating,11.0151545291,stimulus,
6,alternating,11.700411818,tap,e
7,alternating,11.7653029653,stimulus,
7,alternating,12.4104032424,tap,b
8,alternating,12.5154055199,stimulus,
8,alternating,13.2194175384,tap,e
9,alternating,13.2654990188,stimulus,
9,alternating,13.94139313,tap,b
10,alternating,14.015598253,stimulus,
10,alternating,14.6702983605,tap,e
11,alternating,14.7656950723,stimulus,
11,alternating,15.4032846434,tap,b
12,alternating,15.5157819305,stimulus,
12,alternating,16.1892956291,tap,e
13,alternating,16.2658793536,stimulus,
13,alternating,16.9272709381,tap,b
14,alternating,17.015984323,stimulus,
14,alternating,17.6962257208,tap,e
15,alternating,17.7660832553,stimulus,
15,alternating,18.4142029678,tap,b
16,alternating,18.5161900358,stimulus,
17,alternating,19.2663197571,stimulus,
17,alternating,19.2712176236,tap,e
17,alternating,20.0101235454,tap,b
18,alternating,20.0164374043,stimulus,
19,alternating,20.7665342236,stimulus,
19,alternating,20.7731143169,tap,e
19,alternating,21.4850868024,tap,b
20,alternating,21.5166355708,stimulus,
20,alternating,22.219116591,tap,e
21,alternating,22.2667351068,stimulus,
21,alternating,22.9780646454,tap,b
22,alternating,23.0168367558,stimulus,
22,alternating,23.7470870432,tap,e
23,alternating,23.7669278399,stimulus,
23,alternating,24.4300209697,tap,b
24,alternating,24.5170264704,stimulus,
24,alternating,25.2080053826,tap,e
25,alternating,25.2671169508,stimulus,
25,alternating,25.8919831168,tap,b
26,alternating,26.0172110535,stimulus,
26,alternating,26.6979523199,tap,e
27,alternating,26.7673120988,stimulus,
27,alternating,27.4109257499,tap,b
28,alternating,27.5174013718,stimulus,
28,alternating,28.2168858975,tap,e
29,alternating,28.2674975874,stimulus,
29,alternating,28.9018392204,tap,b
30,alternating,29.0176052735,stimulus,
30,alternating,29.7418018993,tap,e
31,alternating,29.7677033002,stimulus,
31,alternating,30.4718276081,tap,b
32,alternating,30.5177904603,stimulus,
32,alternating,31.2578005603,tap,e
33,alternating,31.26788245,stimulus,
33,alternating,31.9738344777,tap,b
34,alternating,32.0179684026,stimulus,
34,alternating,32.7657463873,tap,e
35,alternating,32.7680600905,stimulus,
35,alternating,33.5047760689,tap,b
36,alternating,33.518156608,stimulus,
36,alternating,34.2446705592,tap,e
37,alternating,34.2682492014,stimulus,
37,alternating,34.9146528796,tap,b
38,alternating,35.0183493411,stimulus,
38,alternating,35.7146309047,tap,e
39,alternating,35.7684392178,stimulus,
39,alternating,36.4306002256,tap,b
40,alternating,36.51868636,stimulus,
40,alternating,37.2096073164,tap,e
41,alternating,37.2687834812,stimulus,
41,alternating,37.9575446795,tap,b
42,alternating,38.0188920728,stimulus,
42,alternating,38.7345873111,tap,e
43,alternating,38.7689840625,stimulus,
43,alternating,39.4405299814,tap,b
44,alternating,39.5190890318,stimulus,
44,alternating,40.2284945596,tap,e
45,alternating,40.2691912845,stimulus,
45,alternating,40.963450735,tap,b
46,alternating,41.0192893113,stimulus,
46,alternating,41.7254336194,tap,e
47,alternating,41.7693864325,stimulus,
47,alternating,42.4254424637,tap,b
48,alternating,42.5194859685,stimulus,
48,alternating,43.1564021056,tap,e
49,alternating,43.2696033139,stimulus,
49,alternating,43.8554154388,tap,b
50,alternating,44.0197155277,stimulus,
50,alternating,44.7163333556,tap,e
51,alternating,44.7698238175,stimulus,
51,alternating,45.4743381194,tap,b
52,alternating,45.5199278813,stimulus,
52,alternating,46.2673315683,tap,e
53,alternating,46.2700228895,stimulus,
53,alternating,46.996310451,tap,b
54,alternating,47.0201272552,stimulus,
54,alternating,47.7342975323,tap,e
55,alternating,47.7702135097,stimulus,
55,alternating,48.4592439609,tap,b
56,alternating,48.520318479,stimulus,
56,alternating,49.233283759,tap,e
57,alternating,49.2704128836,stimulus,
57,alternating,49.9692052603,tap,b
58,alternating,50.0205130233,stimulus,
58,alternating,50.7631335479,tap,e
59,alternating,50.7706095408,stimulus,
59,alternating,51.5011124792,tap,b
60,alternating,51.5207051527,stimulus,
60,alternating,52.262082043,tap,e
61,alternating,52.2707998591,stimulus,
