 'frameRate': 120.01554145246449, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.520953641,stimulus,
1,random,7.2712311202,stimulus,
1,random,7.8756277429,tap,b
2,random,8.0213480131,stimulus,
2,random,8.662585602,tap,b
3,random,8.771454643,stimulus,
4,random,9.5218899918,stimulus,
4,random,9.5395408983,tap,b
4,random,10.1455225559,tap,e
5,random,10.2719993383,stimulus,
5,random,10.7885733811,tap,e
6,random,11.0221120053,stimulus,
6,random,11.1684713002,tap,b
7,random,11.7722279927,stimulus,
7,random,11.8584908935,tap,e
7,random,12.4794964232,tap,e
8,random,12.5227185807,stimulus,
9,random,13.2728315495,stimulus,
9,random,13.2987783067,tap,e
9,random,14.0073987408,tap,e
10,random,14.0229502536,stimulus,
10,random,14.7485040876,tap,b
11,random,14.7730502427,stimulus,
11,random,15.3984211834,tap,e
12,random,15.5231429873,stimulus,
12,random,16.1603426766,tap,e
13,random,16.2732475042,stimulus,
13,random,16.4893081841,tap,b
14,random,17.0233493044,stimulus,
14,random,17.1623207252,tap,b
15,random,17.7734713289,stimulus,
15,random,17.8043192878,tap,e
16,random,18.5236214257,stimulus,
16,random,18.6383087005,tap,e
17,random,19.2737594484,stimulus,
17,random,19.4432775779,tap,e
18,random,20.0238669839,stimulus,
18,random,20.06721592,tap,b
19,random,20.773987499,stimulus,
19,random,20.8192728279,tap,b
20,random,21.524116768,stimulus,
20,random,21.5391750514,tap,b
21,random,22.2742502628,stimulus,
21,random,22.317198337,tap,e
22,random,23.0243900967,stimulus,
22,random,23.0821830436,tap,b
22,random,23.7251031661,tap,b
23,random,23.7745112155,stimulus,
24,random,24.5246181473,stimulus,
24,random,24.7801266036,tap,e
25,random,25.2747256827,stimulus,
25,random,25.4411250578,tap,b
26,random,26.0248419719,stimulus,
26,random,26.0280615456,tap,e
26,random,26.7090158627,tap,e
27,random,26.7749522241,stimulus,
28,random,27.5250685133,stimulus,
28,random,27.5640188345,tap,e
29,random,28.2752116675,stimulus,
29,random,28.3840456934,tap,e
30,random,29.0253228252,stimulus,
30,random,29.1059172117,tap,e
31,random,29.7754551127,stimulus,
31,random,29.7769317819,tap,b
32,random,30.5256088318,stimulus,
32,random,30.6169380484,tap,b
33,random,31.2757429304,stimulus,
33,random,31.3068888191,tap,e
34,random,32.0258640492,stimulus,
34,random,32.3139039036,tap,b
35,random,32.7760017701,stimulus,
35,random,32.9048462945,tap,e
35,random,33.3628250627,tap,e
36,random,33.5261090037,stimulus,
37,random,34.2762038613,stimulus,
37,random,34.3367844289,tap,e
38,random,35.0263255838,stimulus,
38,random,35.1397969912,tap,e
39,random,35.7764690399,stimulus,
39,random,35.8118067737,tap,b
40,random,36.52660012,stimulus,
40,random,36.6627241529,tap,b
40,random,37.2277279367,tap,e
41,random,37.2766949775,stimulus,
42,random,38.0268173038,stimulus,
42,random,38.4517451834,tap,e
43,random,38.7769372153,stimulus,
43,random,38.9546748264,tap,e
44,random,39.5270486748,stimulus,
44,random,39.6716074112,tap,e
45,random,40.2771601344,stimulus,
45,random,40.3886272319,tap,e
46,random,41.0273029868,stimulus,
46,random,41.14962958,tap,e
47,random,41.7774361798,stimulus,
47,random,41.9585826269,tap,e
48,random,42.5275491486,stimulus,
48,random,42.6555554248,tap,e
48,random,43.2735659601,tap,b
49,random,43.2776624193,stimulus,
50,random,44.0277814252,stimulus,
50,random,44.0975621978,tap,b
51,random,44.7778992237,stimulus,
51,random,44.8845282069,tap,b
52,random,45.5280300019,stimulus,
52,random,45.6625575296,tap,b
53,random,46.2781631949,stimulus,
53,random,46.3934707795,tap,b
54,random,47.0282725415,stimulus,
54,random,47.111432988,tap,b
55,random,47.7783797751,stimulus,
55,random,47.8584247875,tap,e
56,random,48.5285377201,stimulus,
56,random,48.7124908048,tap,e
57,random,49.2786781576,stimulus,
57,random,49.295381243,tap,b
58,random,50.0288032006,stimulus,
58,random,50.2593567916,tap,b
59,random,50.7789466567,stimulus,
59,random,50.8693878192,tap,e
59,random,51.5032879436,tap,e
60,random,51.5290644552,stimulus,
60,random,52.2542479144,tap,e
61,random,52.2791593128,stimulus,
61,random,52.9612905582,tap,b
62,random,53.0292577926,stimulus,
62,random,53.6682707183,tap,e
63,random,53.7793632151,stimulus,
63,random,54.4561978302,tap,b
64,random,54.5294671283,stimulus,
65,random,55.2795707396,stimulus,
65,random,55.311194463,tap,b
66,random,56.0296897455,stimulus,
66,random,56.1031612857,tap,b
66,random,56.775154768,tap,b
67,random,56.7797867161,stimulus,
67,random,57.4991256802,tap,b
68,random,57.5298773477,stimulus,
68,random,58.2580980609,tap,b
69,random,58.2799616404,stimulus,
69,random,58.7941247761,tap,e
70,random,59.0300567998,stimulus,
71,random,59.7801543741,stimulus,
71,random,59.8220504875,tap,e
71,random,60.4290237351,tap,b
72,random,60.5302875672,stimulus,
72,random,61.2070455114,tap,b
73,random,61.2803923859,stimulus,
73,random,61.9009988647,tap,b
74,random,62.0304935824,stimulus,
74,random,62.7789632586,tap,b
75,random,62.780592666,stimulus,
76,random,63.5306992959,stimulus,
76,random,63.5359482333,tap,b
76,random,64.2279573456,tap,b
77,random,64.2808007942,stimulus,
77,random,64.7729014287,tap,e
78,random,65.0310963847,stimulus,
78,random,65.662947223,tap,e
79,random,65.7811993923,stimulus,
79,random,66.5288739854,tap,e
80,random,66.5313045129,stimulus,
80,random,67.2730588455,tap,e
81,random,67.2814048039,stimulus,
82,random,68.0315162634,stimulus,
82,random,68.0428246159,tap,e
82,random,68.6248411871,tap,b
82,random,75.3794566087,probe,0
0,alternating,79.8941950779,stimulus,
0,alternating,80.2285200013,tap,b
1,alternating,80.6443451748,stimulus,
1,alternating,80.7305211417,tap,e
2,alternating,81.3944825937,stimulus,
2,alternating,81.421484934,tap,b
2,alternating,82.1103931013,tap,e
3,alternating,82.1445883181,stimulus,
3,alternating,82.8463295019,tap,b
4,alternating,82.8946831757,stimulus,
4,alternating,83.6423547502,tap,e
5,alternating,83.6447671665,stimulus,
6,alternating,84.3948970391,stimulus,
6,alternating,84.4093854225,tap,b
7,alternating,85.1450266099,stimulus,
7,alternating,85.160337847,tap,e
7,alternating,85.8783531817,tap,b
8,alternating,85.8951344472,stimulus,
9,alternating,86.6452311159,stimulus,
9,alternating,86.6712611848,tap,e
9,alternating,87.3912624164,tap,b
10,alternating,87.3953193327,stimulus,
11,alternating,88.1454319997,stimulus,
11,alternating,88.1562109005,tap,e
11,alternating,88.8592603191,tap,b
12,alternating,88.8955301777,stimulus,
13,alternating,89.6456564281,stimulus,
13,alternating,89.650203857,tap,e
14,alternating,90.3957817729,stimulus,
14,alternating,90.4031636099,tap,b
15,alternating,91.1460435557,stimulus,
15,alternating,91.2361967496,tap,e
16,alternating,91.896170108,stimulus,
16,alternating,91.9880776767,tap,b
17,alternating,92.6462740212,stimulus,
17,alternating,92.7100949904,tap,e
17,alternating,93.3820640226,tap,b
18,alternating,93.3965726301,stimulus,
19,alternating,94.1466898249,stimulus,
19,alternating,94.2070624152,tap,e
19,alternating,94.8840790483,tap,b
20,alternating,94.8967904177,stimulus,
21,alternating,95.6468795401,stimulus,
21,alternating,95.6679851645,tap,e
21,alternating,96.3889879473,tap,b
22,alternating,96.3969774162,stimulus,
22,alternating,97.1249681167,tap,e
23,alternating,97.1470632182,stimulus,
23,alternating,97.8579303508,tap,b
24,alternating,97.897157472,stimulus,
25,alternating,98.6473102856,stimulus,
25,alternating,98.6489813487,tap,e
25,alternating,99.3088837715,tap,b
26,alternating,99.3974477046,stimulus,
26,alternating,100.1098935331,tap,e
27,alternating,100.1475627864,stimulus,
27,alternating,100.809861929,tap,b
28,alternating,100.8976666996,stimulus,
28,alternating,101.594824232,tap,e
29,alternating,101.6477570293,stimulus,
29,alternating,102.3448255149,tap,b
30,alternating,102.3978546036,stimulus,
30,alternating,103.1187719618,tap,e
31,alternating,103.1479579131,stimulus,
31,alternating,103.7787803352,tap,b
32,alternating,103.8980639393,stimulus,
32,alternating,104.5010071355,tap,e
33,alternating,104.648158495,stimulus,
33,alternating,105.3177139035,tap,b
34,alternating,105.3982524471,stimulus,
34,alternating,106.147743295,tap,e
35,alternating,106.1483406639,stimulus,
35,alternating,106.8366568957,tap,b
36,alternating,106.8984334085,stimulus,
36,alternating,107.579645207,tap,e
37,alternating,107.6485249457,stimulus,
37,alternating,108.3016779153,tap,b
38,alternating,108.3986155773,stimulus,
38,alternating,109.0806511351,tap,e
39,alternating,109.1487240183,stimulus,
39,alternating,109.874565519,tap,b
40,alternating,109.8988294408,stimulus,
41,alternating,110.6489357688,stimulus,
41,alternating,110.6675571357,tap,e
42,alternating,111.3990605099,stimulus,
42,alternating,111.4575821322,tap,b
43,alternating,112.1491876659,stimulus,
43,alternating,112.1625513416,tap,e
44,alternating,112.899316633,stimulus,
44,alternating,112.9075397368,tap,b
45,alternating,113.6494314129,stimulus,
45,alternating,113.7264645272,tap,e
46,alternating,114.3995380428,stimulus,
46,alternating,114.4724490403,tap,b
47,alternating,115.1496612747,stimulus,
47,alternating,115.2084708655,tap,e
48,alternating,115.8998068437,stimulus,
48,alternating,115.9064971334,tap,b
48,alternating,116.6323905531,tap,e
49,alternating,116.6499107569,stimulus,
50,alternating,117.400012859,stimulus,
50,alternating,117.4123725686,tap,b
50,alternating,118.1183336699,tap,e
51,alternating,118.1501043962,stimulus,
51,alternating,118.8343102835,tap,b
52,alternating,118.9001956315,stimulus,
52,alternating,119.6013089592,tap,e
53,alternating,119.6502926021,stimulus,
53,alternating,120.3602810381,tap,b
54,alternating,120.4003796115,stimulus,
55,alternating,121.1505004285,stimulus,
55,alternating,121.1763134644,tap,e
55,alternating,121.8742552132,tap,b
56,alternating,121.9006146047,stimulus,
56,alternating,122.6441993793,tap,e
57,alternating,122.6507088586,stimulus,
57,alternating,123.3751883946,tap,b
58,alternating,123.4008028106,stimulus,
58,alternating,124.1141777455,tap,e
59,alternating,124.1509109498,stimulus,
59,alternating,124.8561518277,tap,b
