 'frameRate': 120.0254697226204, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.5152515748,stimulus,
0,random,7.0055646598,tap,e
1,random,7.2654108778,stimulus,
1,random,7.6715350522,tap,b
2,random,8.0155197712,stimulus,
2,random,8.4014994849,tap,e
3,random,8.765664887,stimulus,
3,random,9.0654362938,tap,e
4,random,9.5158009473,stimulus,
4,random,9.8624232577,tap,e
5,random,10.2659336871,stimulus,
5,random,10.5873790437,tap,e
6,random,11.0160477121,stimulus,
6,random,11.2873350638,tap,b
7,random,11.7661569074,stimulus,
7,random,12.076358844,tap,e
8,random,12.516288138,stimulus,
8,random,12.8043183692,tap,b
9,random,13.2664121241,stimulus,
9,random,13.5753148855,tap,b
10,random,14.0165342991,stimulus,
10,random,14.3063025998,tap,e
11,random,14.766656776,stimulus,
11,random,15.0742392324,tap,b
12,random,15.5167668768,stimulus,
12,random,15.8602266735,tap,b
13,random,16.2670743896,stimulus,
13,random,16.6122559556,tap,b
14,random,17.0171968664,stimulus,
14,random,17.4182007087,tap,e
15,random,17.7673250785,stimulus,
15,random,18.0641277611,tap,b
16,random,18.5174644591,stimulus,
16,random,19.0501528734,tap,e
17,random,19.2675996137,stimulus,
17,random,19.851168971,tap,e
18,random,20.017702772,stimulus,
18,random,20.5151181558,tap,e
19,random,20.7678098544,stimulus,
19,random,21.0992673726,tap,b
20,random,21.5179247849,stimulus,
20,random,21.8750011697,tap,e
21,random,22.2680270376,stimulus,
21,random,22.7030406557,tap,b
22,random,23.0181495144,stimulus,
22,random,23.4389609496,tap,e
23,random,23.7682620301,stimulus,
23,random,24.1829805628,tap,e
24,random,24.5183878274,stimulus,
24,random,24.9659389092,tap,e
25,random,25.2684976264,stimulus,
25,random,25.5698920966,tap,b
26,random,26.0185944457,stimulus,
26,random,26.3669041143,tap,e
27,random,26.76871813,stimulus,
27,random,27.154840922,tap,b
28,random,27.5188620384,stimulus,
28,random,27.8958736999,tap,e
29,random,28.2689799874,stimulus,
29,random,28.6908141005,tap,b
30,random,29.0190813346,stimulus,
30,random,29.5409434898,tap,e
31,random,29.7691835873,stimulus,
31,random,30.4007892248,tap,b
32,random,30.5192795011,stimulus,
32,random,31.2627388751,tap,e
33,random,31.2693754149,stimulus,
33,random,31.949698313,tap,b
34,random,32.0194580471,stimulus,
34,random,32.741720399,tap,b
35,random,32.7695527535,stimulus,
36,random,33.5196679859,stimulus,
36,random,33.6036781994,tap,b
37,random,34.269777483,stimulus,
37,random,34.3586215702,tap,b
38,random,35.0198884895,stimulus,
38,random,35.0776045913,tap,b
38,random,35.7515864638,tap,e
39,random,35.7699922514,stimulus,
40,random,36.5200875615,stimulus,
40,random,36.6115616938,tap,e
41,random,37.270223018,stimulus,
41,random,37.278555066,tap,b
41,random,37.9224775127,tap,e
42,random,38.0203427782,stimulus,
42,random,38.7165102414,tap,e
43,random,38.7704411068,stimulus,
44,random,39.5205611688,stimulus,
44,random,39.6074836599,tap,e
44,random,40.2434063989,tap,b
45,random,40.2706842494,stimulus,
46,random,41.020805217,stimulus,
46,random,41.0474413281,tap,e
47,random,41.7709322216,stimulus,
47,random,41.8523769866,tap,e
48,random,42.5210498688,stimulus,
48,random,42.6994135902,tap,e
49,random,43.2711660068,stimulus,
49,random,43.4383107583,tap,b
50,random,44.021271278,stimulus,
50,random,44.0323290584,tap,e
51,random,44.7713916419,stimulus,
51,random,44.8403369766,tap,b
52,random,45.5215144206,stimulus,
52,random,45.5642640477,tap,b
53,random,46.2716242196,stimulus,
53,random,46.380230018,tap,b
54,random,47.0217313019,stimulus,
54,random,47.1022210041,tap,b
54,random,47.7442393622,tap,e
55,random,47.771838988,stimulus,
55,random,48.521174836,tap,b
56,random,48.5219496926,stimulus,
57,random,49.2720477193,stimulus,
57,random,49.3001505341,tap,b
58,random,50.0221825722,stimulus,
58,random,50.0671622891,tap,b
59,random,50.7723002194,stimulus,
59,random,50.7810768967,tap,e
60,random,51.5224220925,stimulus,
60,random,51.597079995,tap,e
61,random,52.2725303823,stimulus,
61,random,52.3090304452,tap,e
62,random,53.0226658388,stimulus,
62,random,53.0670530184,tap,b
63,random,53.7727919379,stimulus,
63,random,53.7889999339,tap,e
63,random,54.4890271912,tap,b
64,random,54.5229373555,stimulus,
64,random,55.2229800074,tap,e
65,random,55.2730676806,stimulus,
66,random,56.0231735555,stimulus,
66,random,56.1099019551,tap,e
67,random,56.7732827508,stimulus,
67,random,56.7979504786,tap,b
68,random,57.5234124721,stimulus,
68,random,57.6018972668,tap,b
68,random,58.2118733268,tap,e
69,random,58.2736345605,stimulus,
70,random,59.0237440576,stimulus,
70,random,59.1058417306,tap,e
71,random,59.7738858531,stimulus,
71,random,59.7758403512,tap,b
72,random,60.5242990144,stimulus,
72,random,60.5787867985,tap,e
73,random,61.2744172653,stimulus,
73,random,61.3087382515,tap,e
73,random,62.011717631,tap,b
74,random,62.0245095568,stimulus,
74,random,62.7567689777,tap,b
75,random,62.7746009428,stimulus,
75,random,63.4736882299,tap,b
76,random,63.5246935362,stimulus,
76,random,64.2246471414,tap,e
77,random,64.2747864315,stimulus,
78,random,65.024893212,stimulus,
78,random,65.0336197818,tap,b
78,random,65.7136372047,tap,e
79,random,65.775005124,stimulus,
79,random,73.0395176872,probe,2
0,alternating,77.5566156968,stimulus,
0,alternating,77.8363123708,tap,e
1,alternating,78.306741494,stimulus,
1,alternating,78.5812031317,tap,b
2,alternating,79.0568666875,stimulus,
2,alternating,79.174159513,tap,e
3,alternating,79.8069921829,stimulus,
3,alternating,80.0271673723,tap,b
