 'frameRate': 120.02300574723164, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.5185907848,stimulus,
0,random,7.1697383915,tap,e
1,random,7.2687528054,stimulus,
2,random,8.0188680384,stimulus,
2,random,8.2317405763,tap,b
3,random,8.7690264367,stimulus,
3,random,8.8567034859,tap,b
4,random,9.5191661201,stimulus,
4,random,9.5676548689,tap,b
5,random,10.2692967477,stimulus,
5,random,10.3546359314,tap,b
6,random,11.0194140938,stimulus,
6,random,11.0626194779,tap,e
7,random,11.7695371751,stimulus,
7,random,11.9156029052,tap,e
8,random,12.5196596527,stimulus,
8,random,12.6095894443,tap,e
8,random,13.2526099121,tap,b
9,random,13.2698189565,stimulus,
10,random,14.019918795,stimulus,
10,random,14.0325236481,tap,e
11,random,14.7700527431,stimulus,
11,random,14.8205113964,tap,e
12,random,15.5201803522,stimulus,
12,random,15.7004924157,tap,e
13,random,16.2702986038,stimulus,
13,random,16.4034395148,tap,e
14,random,17.0204059887,stimulus,
14,random,17.0684661037,tap,b
15,random,17.7705314848,stimulus,
15,random,17.7964176475,tap,b
16,random,18.5206720737,stimulus,
16,random,18.5694608662,tap,e
17,random,19.2708002865,stimulus,
17,random,19.3104178244,tap,b
18,random,20.0209155196,stimulus,
18,random,20.0246548969,tap,b
19,random,20.7710262248,stimulus,
19,random,20.8493503028,tap,b
20,random,21.5211456839,stimulus,
20,random,21.5823222958,tap,b
21,random,22.2712675578,stimulus,
21,random,22.2907124407,tap,b
22,random,23.0216233691,stimulus,
22,random,23.0512956967,tap,b
23,random,23.771745243,stimulus,
23,random,23.777258621,tap,e
23,random,24.4962465864,tap,e
24,random,24.5218517223,stimulus,
24,random,25.1562403501,tap,e
25,random,25.27217765,stimulus,
25,random,26.0212185818,tap,b
26,random,26.0222747718,stimulus,
26,random,26.7432003431,tap,e
27,random,26.7723664602,stimulus,
28,random,27.5224753543,stimulus,
28,random,27.6321727117,tap,e
29,random,28.272599643,stimulus,
29,random,28.3392446566,tap,e
30,random,29.0227230262,stimulus,
30,random,29.0551479677,tap,b
31,random,29.7728530501,stimulus,
31,random,29.8001201986,tap,b
32,random,30.5229836778,stimulus,
32,random,30.5231095513,tap,e
32,random,31.2600919872,tap,b
33,random,31.273100722,stimulus,
34,random,32.0232156532,stimulus,
34,random,32.0580617722,tap,e
35,random,32.7733496013,stimulus,
35,random,32.8020291284,tap,e
36,random,33.5234835494,stimulus,
36,random,33.5340505806,tap,e
37,random,34.2735951602,stimulus,
37,random,34.289988291,tap,e
38,random,35.0237082803,stimulus,
38,random,35.0940271687,tap,e
38,random,35.7589245638,tap,e
39,random,35.7738295504,stimulus,
39,random,36.4819284055,tap,b
40,random,36.5239236537,stimulus,
40,random,37.2299182788,tap,b
41,random,37.2740231903,stimulus,
41,random,37.9738883518,tap,e
42,random,38.0241278585,stimulus,
42,random,38.7719263559,tap,b
43,random,38.7742210561,stimulus,
44,random,39.5243320632,stimulus,
44,random,39.5268447026,tap,b
