 'frameRate': 120.01546894074461, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.5173941273,stimulus,
1,random,7.2675787859,stimulus,
2,random,8.0177190721,stimulus,
2,random,8.5134938849,tap,b
3,random,8.7678620749,stimulus,
3,random,9.3684852202,tap,b
4,random,9.5180044741,stimulus,
4,random,10.1394032548,tap,e
5,random,10.2681215176,stimulus,
5,random,10.8943728868,tap,e
6,random,11.0182364481,stimulus,
6,random,11.7004184588,tap,b
7,random,11.7683571138,stimulus,
7,random,12.5066895149,tap,b
8,random,12.5184651017,stimulus,
8,random,13.1083060584,tap,e
9,random,13.2686228954,stimulus,
9,random,13.9363579204,tap,e
10,random,14.0187188092,stimulus,
11,random,14.7688307211,stimulus,
11,random,14.7962649315,tap,b
12,random,15.5189592351,stimulus,
12,random,15.7262806188,tap,b
13,random,16.269075373,stimulus,
13,random,16.3341850618,tap,b
13,random,16.9232010543,tap,e
14,random,17.0191824553,stimulus,
14,random,17.7571607829,tap,e
15,random,17.769278671,stimulus,
15,random,18.5071531611,tap,e
16,random,18.5193824329,stimulus,
16,random,19.2611779933,tap,b
17,random,19.2697632959,stimulus,
18,random,20.0198785283,stimulus,
18,random,20.0600777996,tap,b
18,random,20.7390912595,tap,b
19,random,20.7699865162,stimulus,
19,random,21.4410709019,tap,e
20,random,21.5201126153,stimulus,
21,random,22.2702378088,stimulus,
21,random,22.380086336,tap,e
21,random,23.0200210029,tap,b
22,random,23.0203569653,stimulus,
23,random,23.7704580106,stimulus,
23,random,23.7909704302,tap,e
24,random,24.5206076542,stimulus,
24,random,24.5429816012,tap,b
25,random,25.2707325459,stimulus,
25,random,25.3219029657,tap,b
26,random,26.0208387227,stimulus,
26,random,26.0757454788,tap,b
27,random,26.7709829329,stimulus,
27,random,26.8459224642,tap,b
28,random,27.5211226154,stimulus,
29,random,28.2712453941,stimulus,
29,random,28.2988465292,tap,b
29,random,29.0207840873,tap,b
30,random,29.0213594191,stimulus,
31,random,29.7714728403,stimulus,
31,random,29.8108456381,tap,e
31,random,30.4777581137,tap,e
32,random,30.5215944116,stimulus,
33,random,31.2717020977,stimulus,
33,random,31.4027545896,tap,e
34,random,32.0218351394,stimulus,
34,random,32.0647375041,tap,b
34,random,32.7137174976,tap,b
35,random,32.7719579181,stimulus,
35,random,33.4716597779,tap,b
36,random,33.5220511152,stimulus,
37,random,34.2721473308,stimulus,
37,random,34.2736140345,tap,b
37,random,34.9576454984,tap,b
38,random,35.0222459613,stimulus,
38,random,35.744590719,tap,e
39,random,35.7723569677,stimulus,
39,random,36.4685473718,tap,e
40,random,36.5224664649,stimulus,
40,random,37.2336004028,tap,b
41,random,37.2725656991,stimulus,
41,random,37.8815018756,tap,b
42,random,38.0226543684,stimulus,
42,random,38.7114777485,tap,b
43,random,38.7727475655,stimulus,
44,random,39.5228682312,stimulus,
44,random,39.6010810563,tap,b
44,random,40.2214562535,tap,b
45,random,40.2729870858,stimulus,
45,random,40.874417386,tap,b
46,random,41.0230914515,stimulus,
47,random,41.7732124191,stimulus,
47,random,41.9254091089,tap,b
48,random,42.5233291607,stimulus,
49,random,43.273458882,stimulus,
49,random,43.2873178581,tap,b
50,random,44.0235940367,stimulus,
50,random,44.0583246375,tap,b
50,random,44.7653675619,tap,b
51,random,44.7737080617,stimulus,
52,random,45.5238148422,stimulus,
52,random,45.5536681024,tap,b
53,random,46.2739400357,stimulus,
53,random,46.2882780525,tap,e
53,random,46.9212085228,tap,e
54,random,47.0240619088,stimulus,
55,random,47.7741786505,stimulus,
55,random,47.8452149208,tap,e
56,random,48.5243107866,stimulus,
56,random,48.5761990129,tap,e
57,random,49.2744492617,stimulus,
57,random,49.2881826669,tap,e
58,random,50.0246312036,stimulus,
58,random,50.0491516271,tap,e
59,random,50.7747536804,stimulus,
59,random,50.7880804897,tap,e
59,random,51.4491059266,tap,e
60,random,51.5248559331,stimulus,
60,random,52.2650317504,tap,e
61,random,52.2749515451,stimulus,
62,random,53.0250685885,stimulus,
62,random,53.15205663,tap,e
62,random,53.7680172274,tap,b
63,random,53.7751835191,stimulus,
63,random,54.4880567339,tap,b
64,random,54.5252875829,stimulus,
65,random,55.2754233413,stimulus,
65,random,55.4019966368,tap,b
65,random,56.0009399702,tap,b
66,random,56.0255449126,stimulus,
66,random,56.7449526408,tap,b
67,random,56.7756387134,stimulus,
67,random,57.4939144929,tap,b
68,random,57.5257418716,stimulus,
68,random,58.2468568803,tap,b
69,random,58.2758456336,stimulus,
70,random,59.0259593567,stimulus,
70,random,59.0948391893,tap,b
71,random,59.7760908891,stimulus,
71,random,59.9088388893,tap,b
72,random,60.5262109512,stimulus,
72,random,60.6227993785,tap,b
72,random,61.1547533846,tap,b
73,random,61.2763153168,stimulus,
73,random,61.9887336392,tap,e
74,random,62.0264214936,stimulus,
74,random,62.7597364944,tap,e
75,random,62.7765098611,stimulus,
75,random,63.3426804122,tap,e
76,random,63.5267023678,stimulus,
76,random,64.2717008903,tap,e
76,random,70.6091027994,probe,3
0,random,75.123874428,stimulus,
0,random,75.5413470672,tap,b
1,random,75.8739893585,stimulus,
1,random,76.0662555228,tap,b
2,random,76.6241048927,stimulus,
2,random,76.738258749,tap,b
2,random,77.3542597946,tap,b
3,random,77.3742195214,stimulus,
3,random,78.091240498,tap,b
4,random,78.1243072851,stimulus,
5,random,78.8744128582,stimulus,
5,random,78.8751868093,tap,b
5,random,79.6111647571,tap,b
6,random,79.624527185,stimulus,
6,random,80.3301779635,tap,b
7,random,80.3746164581,stimulus,
7,random,81.096096407,tap,b
8,random,81.1247096552,stimulus,
8,random,81.7891155436,tap,e
9,random,81.8748149264,stimulus,
9,random,82.6150975996,tap,e
10,random,82.6249165754,stimulus,
10,random,83.3710458391,tap,e
11,random,83.3750133947,stimulus,
11,random,84.0790063966,tap,e
12,random,84.1250987437,stimulus,
13,random,84.8752179001,stimulus,
13,random,84.9110698847,tap,e
13,random,85.5870077646,tap,e
14,random,85.6253255862,stimulus,
15,random,86.3756008006,stimulus,
15,random,86.431911475,tap,e
16,random,87.1257290127,stimulus,
16,random,87.1699459472,tap,e
16,random,87.8709644897,tap,e
17,random,87.8758517914,stimulus,
18,random,88.6259489126,stimulus,
18,random,88.7358556974,tap,e
18,random,89.3758948054,tap,b
19,random,89.3761227044,stimulus,
20,random,90.1262388424,stimulus,
20,random,90.1288106298,tap,b
20,random,90.8118182084,tap,e
21,random,90.8763546785,stimulus,
21,random,91.5618105866,tap,b
22,random,91.6264611571,stimulus,
22,random,92.3627276764,tap,e
23,random,92.3765706543,stimulus,
23,random,93.1187640569,tap,b
24,random,93.1266771329,stimulus,
24,random,93.7317015966,tap,e
25,random,93.8767736504,stimulus,
25,random,94.5657298458,tap,b
26,random,94.6268846568,stimulus,
27,random,95.3770113596,stimulus,
27,random,95.5116266223,tap,b
27,random,96.1246284567,tap,b
28,random,96.1271422884,stimulus,
29,random,96.8772490689,stimulus,
29,random,96.9716378935,tap,b
30,random,97.6273830161,stimulus,
30,random,97.6855796679,tap,b
31,random,98.3775205856,stimulus,
31,random,98.4395951427,tap,b
32,random,99.1276907552,stimulus,
32,random,99.3345509077,tap,b
33,random,99.8778204766,stimulus,
33,random,99.8875860243,tap,b
33,random,100.5845008755,tap,e
34,random,100.6279338978,stimulus,
35,random,101.3780533561,stimulus,
35,random,101.4654760176,tap,e
35,random,102.0854452226,tap,b
36,random,102.1281694941,stimulus,
36,random,102.8064008529,tap,e
37,random,102.8783055543,stimulus,
38,random,103.6288980163,stimulus,
38,random,103.6344125684,tap,b
38,random,104.2283831758,tap,e
39,random,104.3790401135,stimulus,
40,random,105.1291622885,stimulus,
40,random,105.1304122618,tap,b
41,random,105.8793146488,stimulus,
41,random,105.9573533047,tap,e
42,random,106.6294289757,stimulus,
42,random,106.6482956928,tap,b
43,random,107.3795541692,stimulus,
43,random,107.6762856145,tap,e
44,random,108.1296908331,stimulus,
44,random,108.2862764653,tap,b
44,random,108.7982197315,tap,e
45,random,108.8797915766,stimulus,
46,random,109.6299137515,stimulus,
46,random,109.7192311442,tap,b
47,random,110.3800609803,stimulus,
47,random,110.3822131921,tap,e
48,random,111.1302045869,stimulus,
48,random,111.1641609347,tap,b
49,random,111.880322536,stimulus,
49,random,111.9421344809,tap,b
50,random,112.6304459184,stimulus,
50,random,112.6871170052,tap,b
51,random,113.3805846953,stimulus,
51,random,113.3870944567,tap,b
51,random,114.0980506032,tap,b
52,random,114.1307092851,stimulus,
52,random,114.8621017842,tap,b
53,random,114.8808064063,stimulus,
53,random,115.5490093034,tap,b
54,random,115.6309047349,stimulus,
54,random,116.2640099781,tap,b
55,random,116.3810045728,stimulus,
56,random,117.1311176922,stimulus,
56,random,117.1429557625,tap,e
56,random,117.8379466028,tap,b
57,random,117.8812256801,stimulus,
58,random,118.631339705,stimulus,
58,random,118.6899574417,tap,e
58,random,119.2928900642,tap,e
59,random,119.3814709356,stimulus,
60,random,120.1316024681,stimulus,
60,random,120.449899498,tap,e
61,random,120.8820530591,stimulus,
61,random,121.0948283226,tap,e
62,random,121.6321873082,stimulus,
62,random,121.7047853659,tap,b
62,random,122.2977852141,tap,b
63,random,122.382297711,stimulus,
63,random,123.1107459361,tap,b
64,random,123.1323954359,stimulus,
64,random,123.7807934568,tap,e
65,random,123.8824880293,stimulus,
65,random,124.6037886776,tap,b
66,random,124.6325815282,stimulus,
66,random,125.1777041726,tap,e
67,random,125.382685592,stimulus,
67,random,125.9366896568,tap,b
68,random,126.1327935799,stimulus,
68,random,126.8796337074,tap,e
69,random,126.8828982475,stimulus,
70,random,127.6330149891,stimulus,
70,random,127.7256856666,tap,b
71,random,128.3831570864,stimulus,
71,random,128.4405695241,tap,b
72,random,129.13329043,stimulus,
72,random,129.1535891376,tap,e
73,random,129.8834216605,stimulus,
73,random,129.9305759264,tap,b
74,random,130.6335559097,stimulus,
74,random,130.7315225978,tap,e
75,random,131.3836961958,stimulus,
75,random,131.4145356097,tap,b
76,random,132.133828332,stimulus,
76,random,132.1474482405,tap,e
76,random,132.8234446799,tap,b
77,random,132.8839384329,stimulus,
78,random,133.6340563819,stimulus,
78,random,133.8804610865,tap,b
79,random,134.3841812736,stimulus,
79,random,134.4054326293,tap,b
79,random,135.0763612589,tap,b
79,random,141.9900584719,probe,3
0,alternating,146.5053028023,stimulus,
0,alternating,146.8000411124,tap,b
1,alternating,147.2554352403,stimulus,
1,alternating,147.360020357,tap,e
1,alternating,148.0009517425,tap,b
2,alternating,148.0055553023,stimulus,
2,alternating,148.7219568767,tap,e
3,alternating,148.7556611773,stimulus,
3,alternating,149.460118429,tap,b
4,alternating,149.5057655429,stimulus,
5,alternating,150.2560443796,stimulus,
5,alternating,150.2609500943,tap,e
5,alternating,150.9668474867,tap,b
6,alternating,151.0061650454,stimulus,
6,alternating,151.7318597676,tap,e
7,alternating,151.756263374,stimulus,
7,alternating,152.4988365077,tap,b
8,alternating,152.50635476,stimulus,
9,alternating,153.2564648608,stimulus,
9,alternating,153.354792867,tap,e
9,alternating,153.9987699491,tap,b
10,alternating,154.0065686228,stimulus,
10,alternating,154.7537649368,tap,e
11,alternating,154.756665744,stimulus,
11,alternating,155.4857578215,tap,b
12,alternating,155.5067692041,stimulus,
13,alternating,156.2568787013,stimulus,
