 'frameRate': 120.00431064131578, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,alternating,6.5199738835,stimulus,
0,alternating,7.2225584549,tap,e
1,alternating,7.2701540154,stimulus,
1,alternating,7.9985830935,tap,e
2,alternating,8.0202967172,stimulus,
2,alternating,8.7625579901,tap,b
3,alternating,8.7704041021,stimulus,
4,alternating,9.5205108832,stimulus,
4,alternating,9.5465063174,tap,b
5,alternating,10.27088873,stimulus,
5,alternating,10.2824932362,tap,e
6,alternating,11.0210308281,stimulus,
6,alternating,11.0934953006,tap,b
7,alternating,11.7711952635,stimulus,
7,alternating,11.8364755916,tap,e
8,alternating,12.5214085994,stimulus,
8,alternating,12.5874474886,tap,b
9,alternating,13.2715292659,stimulus,
9,alternating,13.327422815,tap,e
10,alternating,14.0216629121,stimulus,
10,alternating,14.0294088083,tap,b
11,alternating,14.7717884082,stimulus,
11,alternating,14.8028809627,tap,e
12,alternating,15.5219341286,stimulus,
12,alternating,15.5413723708,tap,b
13,alternating,16.2720623415,stimulus,
13,alternating,16.2743319878,tap,e
14,alternating,17.0221908562,stimulus,
14,alternating,17.0253558038,tap,b
15,alternating,17.772333558,stimulus,
15,alternating,17.8073281895,tap,e
16,alternating,18.5224666005,stimulus,
16,alternating,18.54030954,tap,b
17,alternating,19.2726044727,stimulus,
17,alternating,19.2913116225,tap,e
18,alternating,20.02273993,stimulus,
18,alternating,20.0272288129,tap,b
19,alternating,20.7728569742,stimulus,
19,alternating,20.8021876022,tap,e
19,alternating,21.5072283661,tap,b
20,alternating,21.522964661,stimulus,
21,alternating,22.2730720458,stimulus,
21,alternating,22.3361720766,tap,e
22,alternating,23.0231963345,stimulus,
22,alternating,23.0581637991,tap,b
22,alternating,23.7321234791,tap,e
23,alternating,23.773298286,stimulus,
23,alternating,24.5141719323,tap,b
24,alternating,24.5233938985,stimulus,
25,alternating,25.2734958499,stimulus,
25,alternating,25.2740892965,tap,e
25,alternating,26.0180817067,tap,b
26,alternating,26.0235950847,stimulus,
27,alternating,26.7737263161,stimulus,
27,alternating,26.8090747214,tap,e
28,alternating,27.5238681124,stimulus,
28,alternating,27.6020382444,tap,b
29,alternating,28.2739990419,stimulus,
29,alternating,28.3080280399,tap,e
29,alternating,29.0109851001,tap,b
30,alternating,29.0241166898,stimulus,
