 'frameRate': 120.00275295496935, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.5171319215,stimulus,
0,random,6.9776067953,tap,b
1,random,7.2675578349,stimulus,
1,random,7.6685913767,tap,b
2,random,8.0178880611,stimulus,
2,random,8.3695352684,tap,b
3,random,8.7680133298,stimulus,
3,random,9.0554671464,tap,e
4,random,9.5183631765,stimulus,
4,random,9.5884665306,tap,b
5,random,10.2684935766,stimulus,
5,random,10.2977041124,tap,e
5,random,11.0124049166,tap,e
6,random,11.0186224675,stimulus,
6,random,11.7484210113,tap,e
7,random,11.7690526068,stimulus,
7,random,12.4923930236,tap,e
8,random,12.5194347516,stimulus,
8,random,13.2193384608,tap,e
9,random,13.2695355703,stimulus,
9,random,13.970314047,tap,b
10,random,14.0198072372,stimulus,
10,random,14.6993024196,tap,b
11,random,14.769905641,stimulus,
11,random,15.4872343701,tap,e
12,random,15.5199916689,stimulus,
13,random,16.2700861486,stimulus,
13,random,16.2802350221,tap,e
13,random,16.9622313516,tap,b
14,random,17.0201899858,stimulus,
14,random,17.6922291179,tap,b
15,random,17.7702844655,stimulus,
15,random,18.440148149,tap,e
16,random,18.5203701915,stimulus,
16,random,19.2253244911,tap,e
17,random,19.2704619546,stimulus,
17,random,19.95709745,tap,b
18,random,20.0205606602,stimulus,
18,random,20.7131239284,tap,b
19,random,20.7706524233,stimulus,
19,random,21.4510649344,tap,b
20,random,21.5207420734,stimulus,
20,random,22.1760308251,tap,b
21,random,22.2708344401,stimulus,
21,random,22.9080114583,tap,b
22,random,23.0209313347,stimulus,
22,random,23.7559694284,tap,b
23,random,23.7710194755,stimulus,
24,random,24.5211284441,stimulus,
24,random,24.5484943614,tap,e
24,random,25.2529065345,tap,e
25,random,25.2712449591,stimulus,
25,random,25.937932856,tap,b
26,random,26.0213487962,stimulus,
26,random,26.7288546521,tap,b
27,random,26.7714462945,stimulus,
27,random,27.4858736205,tap,b
28,random,27.5215335297,stimulus,
28,random,28.2518672575,tap,e
29,random,28.2716280095,stimulus,
30,random,29.0217457318,stimulus,
30,random,29.0307774504,tap,e
30,random,29.7047583975,tap,b
31,random,29.7718598319,stimulus,
31,random,30.5047577938,tap,e
32,random,30.5219491802,stimulus,
32,random,31.2707462993,tap,e
