 'frameRate': 120.00394840259024, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.5199796791,stimulus,
1,random,7.2701451715,stimulus,
2,random,8.0202837987,stimulus,
2,random,8.0636788786,tap,b
3,random,8.7704178981,stimulus,
3,random,8.8016210256,tap,e
4,random,9.5205550161,stimulus,
4,random,9.5875763431,tap,e
5,random,10.2706867006,stimulus,
5,random,10.3635731386,tap,b
6,random,11.0208132536,stimulus,
6,random,11.1065351461,tap,b
7,random,11.7709455419,stimulus,
7,random,11.8575920185,tap,b
8,random,12.5210944322,stimulus,
8,random,12.6324894554,tap,b
9,random,13.271265358,stimulus,
9,random,13.3495099825,tap,e
10,random,14.0214009667,stimulus,
10,random,14.0754977374,tap,e
11,random,14.7715341606,stimulus,
11,random,14.7924216707,tap,e
12,random,15.5216631284,stimulus,
12,random,15.5925282861,tap,e
13,random,16.2717785128,stimulus,
13,random,16.3314019598,tap,b
14,random,17.0218905767,stimulus,
14,random,17.0974106515,tap,b
15,random,17.7720382596,stimulus,
15,random,17.884428803,tap,b
16,random,18.5221578699,stimulus,
16,random,18.6263684252,tap,b
17,random,19.2722998176,stimulus,
17,random,19.3663707374,tap,b
18,random,20.0224194279,stimulus,
18,random,20.0973155669,tap,b
19,random,20.77253119,stimulus,
19,random,20.8763294103,tap,b
20,random,21.5226649875,stimulus,
20,random,21.5913555767,tap,e
21,random,22.2728075389,stimulus,
21,random,22.3303176941,tap,b
22,random,23.02295492,stimulus,
22,random,23.0687959368,tap,b
23,random,23.7730718136,stimulus,
23,random,23.8562541939,tap,b
24,random,24.5231932351,stimulus,
24,random,24.6052678049,tap,b
25,random,25.2733252215,stimulus,
25,random,25.3811981921,tap,b
26,random,26.0234294372,stimulus,
26,random,26.1371970463,tap,b
27,random,26.7735556883,stimulus,
27,random,26.8611871201,tap,e
28,random,27.5237175584,stimulus,
28,random,27.6162133951,tap,e
29,random,28.2738438096,stimulus,
29,random,28.3761846705,tap,e
30,random,29.0239676459,stimulus,
30,random,29.059150741,tap,e
31,random,29.7740951045,stimulus,
31,random,29.938154593,tap,e
32,random,30.5242219593,stimulus,
32,random,30.6320756112,tap,e
33,random,31.2743439845,stimulus,
33,random,31.4201076961,tap,e
34,random,32.0244732542,stimulus,
34,random,32.0690908498,tap,e
35,random,32.7746112778,stimulus,
35,random,32.8520900943,tap,e
36,random,33.5247333029,stimulus,
36,random,33.6600425435,tap,e
37,random,34.2748378205,stimulus,
37,random,34.2979780798,tap,e
38,random,35.0249740329,stimulus,
38,random,35.0730016925,tap,e
39,random,35.7751011896,stimulus,
39,random,35.7899693948,tap,b
40,random,36.5252271389,stimulus,
40,random,36.6469749076,tap,b
41,random,37.2753579179,stimulus,
41,random,37.4849294005,tap,b
42,random,38.0255116379,stimulus,
42,random,38.1749054663,tap,b
43,random,38.7756339649,stimulus,
43,random,38.8719032999,tap,b
44,random,39.5257677625,stimulus,
44,random,39.5281871361,tap,e
44,random,40.2728941715,tap,e
45,random,40.2758912969,stimulus,
45,random,41.0018630535,tap,e
46,random,41.0259816272,stimulus,
47,random,41.7760891633,stimulus,
47,random,41.8558871374,tap,e
48,random,42.5262229609,stimulus,
48,random,42.6039022096,tap,e
49,random,43.276338949,stimulus,
49,random,43.3057807483,tap,e
50,random,44.0264642945,stimulus,
50,random,44.1658114591,tap,e
51,random,44.7766071478,stimulus,
51,random,44.8198075308,tap,e
52,random,45.5267340026,stimulus,
52,random,45.5817481129,tap,e
53,random,46.2768551222,stimulus,
53,random,46.3377327798,tap,e
53,random,47.0036913936,tap,e
54,random,47.0269557157,stimulus,
55,random,47.777068987,stimulus,
55,random,47.8887181727,tap,e
56,random,48.5272045957,stimulus,
56,random,48.862630896,tap,b
57,random,49.2774241203,stimulus,
57,random,49.412647332,tap,b
58,random,50.0275558048,stimulus,
58,random,50.1176609442,tap,b
59,random,50.7776717929,stimulus,
59,random,50.85560128,tap,b
60,random,51.5277763104,stimulus,
60,random,51.5713168848,tap,e
61,random,52.2780625451,stimulus,
61,random,52.3765825163,tap,e
62,random,53.0281981538,stimulus,
62,random,53.0666105014,tap,b
63,random,53.7783334606,stimulus,
63,random,53.8565620867,tap,b
64,random,54.5284515617,stimulus,
64,random,54.5965722472,tap,b
65,random,55.2785856611,stimulus,
65,random,55.3705435908,tap,b
65,random,55.9944745311,tap,e
66,random,56.0286986306,stimulus,
67,random,56.7788161279,stimulus,
67,random,56.8094946301,tap,e
68,random,57.5289414735,stimulus,
68,random,57.5594862536,tap,e
69,random,58.2790776859,stimulus,
69,random,58.3209758633,tap,e
70,random,59.0292066537,stimulus,
70,random,59.0954573431,tap,e
70,random,59.7463895792,tap,e
71,random,59.7793214344,stimulus,
72,random,60.5294440633,stimulus,
72,random,60.6344071448,tap,e
73,random,61.2795570328,stimulus,
73,random,61.3013495064,tap,e
74,random,62.0296923396,stimulus,
74,random,62.1044043466,tap,b
74,random,62.7764043007,tap,e
75,random,62.7798137611,stimulus,
75,random,63.5093169277,tap,e
76,random,63.5299107322,stimulus,
76,random,70.5621845419,probe,0
0,alternating,75.0770879134,stimulus,
1,alternating,75.8272247295,stimulus,
1,alternating,76.571063326,tap,e
2,alternating,76.577352188,stimulus,
3,alternating,77.3274772318,stimulus,
3,alternating,77.373053823,tap,b
4,alternating,78.0776194813,stimulus,
4,alternating,78.1390456107,tap,e
5,alternating,78.8277496566,stimulus,
5,alternating,78.8280044228,tap,b
6,alternating,79.5778725873,stimulus,
6,alternating,79.6609387532,tap,e
7,alternating,80.328006083,stimulus,
7,alternating,80.4309615221,tap,b
8,alternating,81.0781290137,stimulus,
8,alternating,81.1348917742,tap,e
9,alternating,81.8282350406,stimulus,
9,alternating,81.870940682,tap,b
10,alternating,82.5783652158,stimulus,
10,alternating,82.602100131,tap,e
11,alternating,83.3284917688,stimulus,
11,alternating,83.3878788629,tap,b
12,alternating,84.0786089643,stimulus,
12,alternating,84.1108643608,tap,e
12,alternating,84.7988246342,tap,b
13,alternating,84.8287095577,stimulus,
14,alternating,85.5788219235,stimulus,
14,alternating,85.600859504,tap,e
15,alternating,86.3289536081,stimulus,
15,alternating,86.386819953,tap,b
16,alternating,87.0790756333,stimulus,
16,alternating,87.1367563369,tap,e
17,alternating,87.829225731,stimulus,
17,alternating,87.8867968611,tap,b
18,alternating,88.5793368894,stimulus,
18,alternating,88.6887230628,tap,e
19,alternating,89.3294574053,stimulus,
19,alternating,89.3667486607,tap,b
20,alternating,90.0795842602,stimulus,
20,alternating,90.1126625153,tap,e
20,alternating,90.8247187233,tap,b
21,alternating,90.8296773072,stimulus,
22,alternating,91.5797794099,stimulus,
22,alternating,91.6246822591,tap,e
23,alternating,92.3299074722,stimulus,
23,alternating,92.350676353,tap,b
24,alternating,93.0800533439,stimulus,
24,alternating,93.0986838789,tap,e
25,alternating,93.8301811044,stimulus,
25,alternating,93.852628303,tap,b
26,alternating,94.5802928665,stimulus,
26,alternating,94.6196391556,tap,e
27,alternating,95.3304333048,stimulus,
27,alternating,95.3696491923,tap,b
28,alternating,96.0805891378,stimulus,
28,alternating,96.111606624,tap,e
29,alternating,96.8307229354,stimulus,
29,alternating,96.8335326084,tap,b
30,alternating,97.5808380179,stimulus,
30,alternating,97.6705235778,tap,e
31,alternating,98.3309690987,stimulus,
31,alternating,98.4155457506,tap,b
31,alternating,99.0804795642,tap,e
32,alternating,99.0810944443,stimulus,
32,alternating,99.8254691366,tap,b
33,alternating,99.8311850765,stimulus,
34,alternating,100.5812880848,stimulus,
34,alternating,100.6294781428,tap,e
