 'frameRate': 120.00068822870155, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.5191623821,stimulus,
1,random,7.2693349666,stimulus,
1,random,7.559791492,tap,b
1,random,7.7634933567,tap,e
2,random,8.0194381248,stimulus,
2,random,8.0344664794,tap,e
3,random,8.7695775054,stimulus,
3,random,8.8174990816,tap,b
3,random,8.946671935,tap,e
3,random,9.0554353007,tap,b
3,random,9.1924403335,tap,e
3,random,9.3284260087,tap,b
3,random,9.5064507492,tap,e
4,random,9.5197102453,stimulus,
4,random,9.7145158987,tap,e
4,random,10.2404099043,tap,b
5,random,10.2698218554,stimulus,
5,random,10.4533937482,tap,b
6,random,11.0199316544,stimulus,
6,random,11.0463896723,tap,b
6,random,11.7143951576,tap,e
7,random,11.7700408498,stimulus,
8,random,12.5201581951,stimulus,
8,random,12.5443695212,tap,e
8,random,12.6213272415,tap,b
8,random,13.2593203901,tap,b
9,random,13.2702685978,stimulus,
9,random,14.0133723891,tap,e
10,random,14.0203663227,stimulus,
11,random,14.7707915581,stimulus,
11,random,14.7822683105,tap,e
12,random,15.5209466351,stimulus,
12,random,15.5533046714,tap,e
13,random,16.2710754509,stimulus,
13,random,16.2882044004,tap,b
14,random,17.0216443683,stimulus,
14,random,17.3092163866,tap,b
15,random,17.7717698637,stimulus,
15,random,17.8113198492,tap,b
15,random,18.484182149,tap,e
16,random,18.5218709089,stimulus,
16,random,19.2281634268,tap,e
17,random,19.2722617331,stimulus,
18,random,20.0223694192,stimulus,
18,random,20.0331057261,tap,b
18,random,20.7561064104,tap,b
19,random,20.7724710681,stimulus,
19,random,21.5080774349,tap,e
20,random,21.5225642653,stimulus,
20,random,22.2370056063,tap,e
21,random,22.2726574624,stimulus,
22,random,23.0227793355,stimulus,
22,random,23.0740692891,tap,b
22,random,23.753058299,tap,e
23,random,23.7728981901,stimulus,
23,random,24.5230110077,tap,b
24,random,24.5232512826,stimulus,
24,random,25.250924953,tap,b
25,random,25.273356252,stimulus,
25,random,26.0159659099,tap,b
26,random,26.0234545806,stimulus,
27,random,26.7735849057,stimulus,
27,random,26.8079125327,tap,b
28,random,27.5237273048,stimulus,
28,random,27.5418852711,tap,b
28,random,28.2568337252,tap,b
29,random,28.2738352927,stimulus,
29,random,28.8608110609,tap,b
30,random,29.0239345269,stimulus,
30,random,29.7588348596,tap,b
31,random,29.7740394963,stimulus,
32,random,30.5241556342,stimulus,
32,random,30.5371111643,tap,e
32,random,31.2397379795,tap,b
33,random,31.2742729795,stimulus,
34,random,32.024381873,stimulus,
34,random,32.0307219931,tap,e
35,random,32.7745052554,stimulus,
35,random,32.7886694049,tap,e
36,random,33.5246331656,stimulus,
36,random,33.5846584428,tap,e
36,random,34.2456247164,tap,b
37,random,34.2747517184,stimulus,
37,random,35.0236538036,tap,e
38,random,35.0248859675,stimulus,
39,random,35.7750325926,stimulus,
39,random,35.8036606315,tap,e
40,random,36.5251789158,stimulus,
40,random,36.5856056574,tap,e
41,random,37.2753210131,stimulus,
41,random,37.3106094382,tap,e
42,random,38.0254259825,stimulus,
42,random,38.0424987873,tap,e
43,random,38.7755406111,stimulus,
43,random,38.7915853047,tap,b
44,random,39.5256703325,stimulus,
44,random,39.6145892792,tap,b
44,random,40.204440197,tap,e
45,random,40.2757943186,stimulus,
45,random,40.9535031699,tap,e
46,random,41.0259004954,stimulus,
46,random,41.7484154982,tap,b
