 'frameRate': 120.00231826910955, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.5158919128,stimulus,
0,random,7.0446255222,tap,e
1,random,7.2660615537,stimulus,
1,random,7.55352835,tap,b
2,random,8.0161961798,stimulus,
2,random,8.1655040327,tap,b
3,random,8.7663265799,stimulus,
3,random,8.851535522,tap,b
4,random,9.5164729782,stimulus,
4,random,9.6074666152,tap,b
5,random,10.2666118302,stimulus,
5,random,10.3224408973,tap,b
5,random,10.9814566178,tap,b
6,random,11.0167603415,stimulus,
7,random,11.7670105769,stimulus,
7,random,11.7984110502,tap,b
8,random,12.5171581826,stimulus,
8,random,12.5963895463,tap,b
9,random,13.2673024679,stimulus,
9,random,13.3143705779,tap,b
10,random,14.0174476588,stimulus,
10,random,14.0433429524,tap,e
11,random,14.7675717201,stimulus,
11,random,14.8802772814,tap,e
12,random,15.517686122,stimulus,
12,random,15.5672756031,tap,e
13,random,16.2678183333,stimulus,
13,random,16.2787701335,tap,b
14,random,17.0179357538,stimulus,
14,random,17.0282068774,tap,e
15,random,17.7680652484,stimulus,
15,random,17.7871589071,tap,b
15,random,18.4711794571,tap,b
16,random,18.5181775374,stimulus,
16,random,19.2311758953,tap,e
17,random,19.268280469,stimulus,
17,random,19.9601162735,tap,e
18,random,20.018396682,stimulus,
18,random,20.7650744971,tap,b
19,random,20.7684975007,stimulus,
20,random,21.5186327304,stimulus,
20,random,21.5640753664,tap,e
21,random,22.2687773176,stimulus,
21,random,22.3050185941,tap,b
22,random,23.0189369974,stimulus,
22,random,23.0500289778,tap,e
23,random,23.7690646809,stimulus,
23,random,23.7989712878,tap,b
23,random,24.4879714931,tap,e
24,random,24.5191751588,stimulus,
24,random,25.2150086933,tap,e
25,random,25.26929107,stimulus,
25,random,25.9309153969,tap,e
26,random,26.0194386757,stimulus,
26,random,26.7309153969,tap,b
27,random,26.7695723962,stimulus,
27,random,27.4908430127,tap,e
28,random,27.5196858926,stimulus,
28,random,28.2537840187,tap,b
29,random,28.2697906353,stimulus,
29,random,28.9817587718,tap,e
30,random,29.0198887373,stimulus,
30,random,29.727791227,tap,e
31,random,29.7699907633,stimulus,
31,random,30.4677166091,tap,b
32,random,30.5201003357,stimulus,
32,random,31.1687661491,tap,e
33,random,31.2702141339,stimulus,
33,random,31.9496866775,tap,e
34,random,32.0203185748,stimulus,
34,random,32.6906534496,tap,b
35,random,32.770428449,stimulus,
35,random,33.4446922315,tap,e
36,random,33.520548888,stimulus,
36,random,34.2575909782,tap,e
37,random,34.2706533288,stimulus,
37,random,34.93860659,tap,b
38,random,35.0207692401,stimulus,
38,random,35.6695739055,tap,e
39,random,35.770883642,stimulus,
39,random,36.471567639,tap,e
40,random,36.5209968366,stimulus,
40,random,37.2134933955,tap,b
41,random,37.2711142571,stimulus,
41,random,37.9994542513,tap,b
42,random,38.0212196035,stimulus,
42,random,38.6974683659,tap,e
43,random,38.7713276666,stimulus,
43,random,39.4689668808,tap,b
44,random,39.5215401705,stimulus,
45,random,40.2718559079,stimulus,
45,random,40.2801266572,tap,b
46,random,41.0219772524,stimulus,
46,random,41.030702893,tap,b
46,random,41.7653419381,tap,b
47,random,41.7721025211,stimulus,
47,random,42.502321545,tap,e
48,random,42.522216923,stimulus,
49,random,43.2723261935,stimulus,
49,random,43.2782944145,tap,b
50,random,44.0224445196,stimulus,
50,random,44.024105612,tap,e
51,random,44.7725924271,stimulus,
51,random,44.7898085654,tap,e
51,random,45.4982190722,tap,e
52,random,45.5227140736,stimulus,
52,random,46.2571943445,tap,b
53,random,46.2728266644,stimulus,
53,random,46.984141291,tap,e
54,random,47.0229682331,stimulus,
54,random,47.7071369926,tap,b
55,random,47.7730660332,stimulus,
55,random,48.5101226123,tap,e
56,random,48.5231774166,stimulus,
57,random,49.2732981575,stimulus,
57,random,49.290074799,tap,b
57,random,50.0080842047,tap,e
58,random,50.0234198039,stimulus,
59,random,50.7735311874,stimulus,
59,random,50.8090111927,tap,b
59,random,51.5090359446,tap,e
60,random,51.5236470986,stimulus,
61,random,52.2737611987,stimulus,
61,random,52.3039904856,tap,b
61,random,53.0229380479,tap,e
62,random,53.0238786192,stimulus,
62,random,53.7459434088,tap,b
63,random,53.7739875878,stimulus,
64,random,54.524101688,stimulus,
64,random,54.5249052184,tap,b
64,random,55.1748991814,tap,e
65,random,55.2742317862,stimulus,
66,random,56.0243597716,stimulus,
66,random,56.0578403081,tap,b
66,random,56.7498647702,tap,e
67,random,56.7744765883,stimulus,
67,random,57.4368126826,tap,e
68,random,57.5245903866,stimulus,
69,random,58.2747207867,stimulus,
69,random,58.2957665234,tap,b
70,random,59.0248403202,stimulus,
70,random,59.0777214991,tap,b
71,random,59.7749719277,stimulus,
71,random,59.7815568327,tap,e
72,random,60.5251684335,stimulus,
72,random,60.5366735288,tap,b
73,random,61.2753118133,stimulus,
73,random,61.3196680834,tap,e
74,random,62.025453382,stimulus,
74,random,62.0766568665,tap,e
74,random,62.7526083046,tap,b
75,random,62.7758445824,stimulus,
76,random,63.525980114,stimulus,
76,random,63.539621417,tap,e
77,random,64.2761222863,stimulus,
77,random,64.3035552148,tap,e
78,random,65.0266100794,stimulus,
78,random,65.0455452658,tap,e
79,random,65.776755874,stimulus,
79,random,65.810509285,tap,b
