 'frameRate': 120.01014309021154, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,alternating,6.5145628577,stimulus,
1,alternating,7.2647074449,stimulus,
1,alternating,7.4875489001,tap,b
1,alternating,7.7665291227,tap,e
2,alternating,8.0148167154,stimulus,
2,alternating,8.0875289778,tap,b
3,alternating,8.764958284,stimulus,
3,alternating,8.7765174108,tap,e
4,alternating,9.5150929101,stimulus,
4,alternating,9.5215353409,tap,b
4,alternating,10.1755164691,tap,e
5,alternating,10.2652314602,stimulus,
6,alternating,11.0153534085,stimulus,
6,alternating,11.031421603,tap,b
7,alternating,11.7655082587,stimulus,
7,alternating,11.7944266016,tap,e
8,alternating,12.5156347347,stimulus,
8,alternating,12.534382169,tap,b
9,alternating,13.2657672478,stimulus,
9,alternating,13.2937921084,tap,e
10,alternating,14.0158961387,stimulus,
10,alternating,14.1147038227,tap,b
11,alternating,14.7660244259,stimulus,
11,alternating,14.8512877013,tap,e
12,alternating,15.5161469779,stimulus,
12,alternating,15.5172568883,tap,b
13,alternating,16.2663009225,stimulus,
13,alternating,16.4692738644,tap,e
14,alternating,17.0164455096,stimulus,
14,alternating,17.1032443071,tap,b
15,alternating,17.7665526672,stimulus,
15,alternating,17.7991780566,tap,e
16,alternating,18.5166586173,stimulus,
16,alternating,18.5801758591,tap,b
17,alternating,19.2668976842,stimulus,
17,alternating,19.2886476419,tap,e
18,alternating,20.0170280843,stimulus,
18,alternating,20.0391161165,tap,b
19,alternating,20.7671639178,stimulus,
19,alternating,20.7790858709,tap,e
20,alternating,21.5175071237,stimulus,
20,alternating,21.543133467,tap,b
21,alternating,22.2676483905,stimulus,
21,alternating,22.2740461472,tap,e
22,alternating,23.0177851296,stimulus,
22,alternating,23.0560352322,tap,b
23,alternating,23.7681298447,stimulus,
23,alternating,23.7779611697,tap,e
24,alternating,24.5184350173,stimulus,
24,alternating,24.5530037309,tap,b
25,alternating,25.268553947,stimulus,
25,alternating,25.2789083818,tap,e
26,alternating,26.0186517471,stimulus,
26,alternating,26.0569042646,tap,b
27,alternating,26.7687869769,stimulus,
27,alternating,26.7849363696,tap,e
28,alternating,27.5189249233,stimulus,
28,alternating,27.5589082611,tap,b
29,alternating,28.2690498901,stimulus,
29,alternating,28.3168276545,tap,e
30,alternating,29.0191600662,stimulus,
30,alternating,29.1327883896,tap,b
31,alternating,29.7692928811,stimulus,
31,alternating,29.793760112,tap,e
32,alternating,30.5194410905,stimulus,
32,alternating,30.6427144961,tap,b
33,alternating,31.2695799425,stimulus,
33,alternating,31.3212093405,tap,e
34,alternating,32.019713663,stimulus,
34,alternating,32.0756882229,tap,b
35,alternating,32.769830178,stimulus,
35,alternating,32.85968221,tap,e
36,alternating,33.5199596726,stimulus,
36,alternating,33.5716530632,tap,b
37,alternating,34.2700734708,stimulus,
37,alternating,34.3336133515,tap,e
38,alternating,35.0201981358,stimulus,
38,alternating,35.2276004564,tap,b
39,alternating,35.7703321581,stimulus,
39,alternating,36.0015792905,tap,e
40,alternating,36.5204655768,stimulus,
40,alternating,36.6665997561,tap,b
41,alternating,37.2705854121,stimulus,
41,alternating,37.3465335297,tap,e
42,alternating,38.02069589,stimulus,
42,alternating,38.1014670015,tap,b
43,alternating,38.7708003308,stimulus,
43,alternating,38.9974445196,tap,e
44,alternating,39.5209301273,stimulus,
44,alternating,39.5684676173,tap,b
45,alternating,40.2710882978,stimulus,
45,alternating,40.3104066552,tap,e
46,alternating,41.0212265461,stimulus,
46,alternating,41.1463925648,tap,b
47,alternating,41.7713569462,stimulus,
47,alternating,41.951335394,tap,e
48,alternating,42.5214788945,stimulus,
48,alternating,42.5793192026,tap,b
49,alternating,43.2716074835,stimulus,
49,alternating,43.3212694091,tap,e
50,alternating,44.0217182633,stimulus,
50,alternating,44.1202539784,tap,b
51,alternating,44.7718450412,stimulus,
51,alternating,44.8162710391,tap,e
52,alternating,45.521965782,stimulus,
52,alternating,45.6452210765,tap,b
53,alternating,46.272082297,stimulus,
53,alternating,46.3372014682,tap,e
54,alternating,47.0223089879,stimulus,
54,alternating,47.0991614547,tap,b
55,alternating,47.7724348603,stimulus,
55,alternating,47.8211384053,tap,e
56,alternating,48.5225519789,stimulus,
56,alternating,48.578115718,tap,b
57,alternating,49.2729751757,stimulus,
57,alternating,49.3900929101,tap,e
58,alternating,50.0231046703,stimulus,
58,alternating,50.071081657,tap,b
59,alternating,50.7732368815,stimulus,
59,alternating,50.9280465939,tap,e
60,alternating,51.5237159209,stimulus,
60,alternating,51.5551013016,tap,b
61,alternating,52.2738375673,stimulus,
61,alternating,52.3959621236,tap,e
62,alternating,53.0239598174,stimulus,
62,alternating,53.2009792084,tap,b
63,alternating,53.7740850861,stimulus,
63,alternating,53.8779496994,tap,e
64,alternating,54.524213977,stimulus,
64,alternating,54.5941615754,tap,b
65,alternating,55.2743365289,stimulus,
65,alternating,55.3308809857,tap,e
66,alternating,56.0244488179,stimulus,
66,alternating,56.0578445341,tap,b
67,alternating,56.7745837459,stimulus,
67,alternating,56.8978640941,tap,e
68,alternating,57.5247216923,stimulus,
68,alternating,57.6128275096,tap,b
69,alternating,58.2748463572,stimulus,
69,alternating,58.4277746251,tap,e
70,alternating,59.0249655889,stimulus,
70,alternating,59.2287586632,tap,b
71,alternating,59.7750766705,stimulus,
71,alternating,60.0207541474,tap,e
72,alternating,60.5252022409,stimulus,
72,alternating,60.8157600034,tap,b
73,alternating,61.2753232837,stimulus,
73,alternating,61.4946919297,tap,e
74,alternating,62.0254413079,stimulus,
74,alternating,62.2496377774,tap,b
75,alternating,62.7755723117,stimulus,
75,alternating,62.9106088962,tap,e
76,alternating,63.5257078433,stimulus,
76,alternating,63.7336378015,tap,b
77,alternating,64.2758533361,stimulus,
77,alternating,64.3885570863,tap,e
78,alternating,65.0259713603,stimulus,
78,alternating,65.0655616865,tap,b
79,alternating,65.7760951197,stimulus,
79,alternating,65.9305106131,tap,e
80,alternating,66.5262381976,stimulus,
80,alternating,66.613506677,tap,b
81,alternating,67.2763719181,stimulus,
81,alternating,67.3774679433,tap,e
82,alternating,68.0264848108,stimulus,
82,alternating,68.082430091,tap,b
82,alternating,75.4553192389,probe,0
0,random,79.970669327,stimulus,
0,random,80.3780625921,tap,b
1,random,80.7208311198,stimulus,
1,random,80.9160256333,tap,b
1,random,81.4699518244,tap,e
2,random,81.4709581995,stimulus,
2,random,82.2059688247,tap,b
3,random,82.2210505663,stimulus,
4,random,82.9711598368,stimulus,
4,random,82.9768953297,tap,e
4,random,83.7148722562,tap,e
5,random,83.7212630702,stimulus,
6,random,84.4713705296,stimulus,
6,random,84.507862947,tap,e
7,random,85.2214897612,stimulus,
7,random,85.2568224626,tap,b
8,random,85.9716237835,stimulus,
8,random,86.0778150733,tap,b
9,random,86.7217550892,stimulus,
9,random,86.7708268938,tap,b
10,random,87.4718915264,stimulus,
10,random,87.4857631426,tap,b
10,random,88.1567469996,tap,e
11,random,88.222004721,stimulus,
12,random,88.9721016155,stimulus,
12,random,88.9887028809,tap,b
13,random,89.7222096786,stimulus,
13,random,89.7466889836,tap,e
14,random,90.4723195528,stimulus,
14,random,90.5119868513,tap,b
15,random,91.2224547825,stimulus,
15,random,91.3416649562,tap,e
16,random,91.9725706938,stimulus,
16,random,92.0195832629,tap,b
17,random,92.7226778513,stimulus,
17,random,92.7375697278,tap,e
18,random,93.4728396441,stimulus,
18,random,93.495579375,tap,b
19,random,94.2229679312,stimulus,
19,random,94.2915300283,tap,b
19,random,94.9264754534,tap,e
20,random,94.9730829369,stimulus,
21,random,95.7231919055,stimulus,
21,random,95.8386316438,tap,e
22,random,96.4733171742,stimulus,
22,random,96.6384623047,tap,e
23,random,97.2234306706,stimulus,
23,random,97.4555740021,tap,b
24,random,97.9735320929,stimulus,
24,random,98.0753646374,tap,b
25,random,98.7236416653,stimulus,
25,random,98.808353155,tap,b
26,random,99.4737611987,stimulus,
26,random,99.4853411533,tap,e
27,random,100.2238762044,stimulus,
27,random,100.326298568,tap,e
28,random,100.9739948323,stimulus,
28,random,101.0422825457,tap,b
29,random,101.7241351935,stimulus,
29,random,101.8552914684,tap,b
30,random,102.4742803844,stimulus,
30,random,102.5932312671,tap,b
31,random,103.2244107846,stimulus,
31,random,103.255208761,tap,e
31,random,103.9691736495,tap,e
32,random,103.9745100939,stimulus,
32,random,104.6911336964,tap,e
33,random,104.724601857,stimulus,
33,random,105.4431241095,tap,b
34,random,105.4746881867,stimulus,
35,random,106.224785685,stimulus,
35,random,106.3300620608,tap,b
35,random,106.8351078216,tap,e
36,random,106.9748976721,stimulus,
36,random,107.689051822,tap,b
37,random,107.7250015093,stimulus,
38,random,108.4751047427,stimulus,
38,random,108.4810032359,tap,b
39,random,109.2252303132,stimulus,
39,random,109.2569788221,tap,b
40,random,109.9753371689,stimulus,
40,random,110.0419480935,tap,b
40,random,110.6989619304,tap,e
41,random,110.7254606264,stimulus,
42,random,111.4755943469,stimulus,
42,random,111.5009583806,tap,e
43,random,112.2257368211,stimulus,
43,random,112.2279406438,tap,b
44,random,112.9760069788,stimulus,
44,random,113.0378601096,tap,b
44,random,113.6738161358,tap,e
45,random,113.7261177586,stimulus,
45,random,114.4238164377,tap,b
46,random,114.4762095216,stimulus,
47,random,115.2263100384,stimulus,
47,random,115.2481916037,tap,e
48,random,115.9765155997,stimulus,
48,random,115.9987624061,tap,b
49,random,116.726651735,stimulus,
49,random,116.7487928932,tap,b
49,random,117.4677184202,tap,e
50,random,117.4767733815,stimulus,
50,random,118.2086537997,tap,b
51,random,118.226864239,stimulus,
52,random,118.9769617372,stimulus,
52,random,119.0006293618,tap,e
53,random,119.7270737244,stimulus,
53,random,119.7865983676,tap,e
54,random,120.4771926541,stimulus,
54,random,120.5026019657,tap,e
55,random,121.2273414672,stimulus,
55,random,121.3335762237,tap,b
56,random,121.9774939026,stimulus,
56,random,122.0645574244,tap,e
57,random,122.7276194731,stimulus,
57,random,122.8575046485,tap,b
58,random,123.4777432325,stimulus,
58,random,123.5985369226,tap,e
59,random,124.2278618604,stimulus,
59,random,124.3124683055,tap,b
60,random,124.977964792,stimulus,
60,random,125.0724514622,tap,e
61,random,125.7280888532,stimulus,
61,random,125.8464426722,tap,b
62,random,126.4782104996,stimulus,
62,random,126.5374393277,tap,b
63,random,127.2283632368,stimulus,
63,random,127.323395052,tap,b
64,random,127.9784773369,stimulus,
64,random,127.9973104972,tap,e
65,random,128.72857725,stimulus,
65,random,128.7832746734,tap,e
66,random,129.4787025187,stimulus,
66,random,129.4902903214,tap,e
67,random,130.2288295984,stimulus,
67,random,130.3682683949,tap,b
68,random,130.9789642245,stimulus,
68,random,131.0164995412,tap,e
69,random,131.7290834561,stimulus,
69,random,131.8112602932,tap,b
70,random,132.4792005747,stimulus,
70,random,132.5401729009,tap,e
71,random,133.2293098452,stimulus,
71,random,133.2461211997,tap,b
72,random,133.9794345102,stimulus,
72,random,134.0511464345,tap,b
73,random,134.7295609862,stimulus,
73,random,134.8251050446,tap,e
74,random,135.4796871604,stimulus,
74,random,135.6000446741,tap,b
75,random,136.2297991476,stimulus,
75,random,136.345060793,tap,e
76,random,136.9799379996,stimulus,
76,random,136.9900186545,tap,b
76,random,137.7179855594,tap,e
77,random,137.7300572312,stimulus,
78,random,138.4801580498,stimulus,
78,random,138.5749568351,tap,b
79,random,139.2302975055,stimulus,
79,random,139.3299395088,tap,b
80,random,139.9804366593,stimulus,
80,random,140.1149250803,tap,b
80,random,140.7088732462,tap,e
81,random,140.7305555891,stimulus,
81,random,141.4108884113,tap,b
81,random,147.7203925286,probe,0
0,random,152.2351986791,stimulus,
0,random,152.565532105,tap,b
1,random,152.9853311922,stimulus,
1,random,153.1664240781,tap,b
2,random,153.7354543479,stimulus,
2,random,153.8284417184,tap,b
3,random,154.4855889739,stimulus,
3,random,154.5834210717,tap,b
4,random,155.2357178648,stimulus,
4,random,155.3013788607,tap,e
4,random,155.9643425056,tap,b
5,random,155.9858177779,stimulus,
6,random,156.7359195021,stimulus,
6,random,156.8813020695,tap,b
7,random,157.4860571467,stimulus,
7,random,157.5502846466,tap,b
8,random,158.2361972061,stimulus,
8,random,158.2523176209,tap,e
8,random,158.9582088696,tap,e
9,random,158.9863173432,stimulus,
10,random,159.7364272174,stimulus,
10,random,159.794248207,tap,e
10,random,159.9582085678,tap,e
11,random,160.4865633527,stimulus,
11,random,160.6641749777,tap,b
12,random,161.2367091473,stimulus,
12,random,161.4171931975,tap,e
13,random,161.9868664123,stimulus,
13,random,162.0621193644,tap,b
14,random,162.7370091884,stimulus,
14,random,162.7641040424,tap,b
15,random,163.4871293255,stimulus,
15,random,163.5750881408,tap,b
16,random,164.2372452368,stimulus,
16,random,164.2920504214,tap,e
17,random,164.9873602424,stimulus,
17,random,165.0260205622,tap,b
18,random,165.7374749463,stimulus,
18,random,165.793997066,tap,e
19,random,166.4875923668,stimulus,
19,random,166.7160238222,tap,b
20,random,167.237749028,stimulus,
20,random,167.3420090676,tap,b
21,random,167.987869467,stimulus,
21,random,168.0379171597,tap,b
22,random,168.7379844727,stimulus,
22,random,168.9439158678,tap,e
23,random,169.4880940451,stimulus,
23,random,169.5288742725,tap,e
23,random,170.1858642631,tap,b
24,random,170.2382005989,stimulus,
25,random,170.9883080582,stimulus,
25,random,171.1878857671,tap,b
26,random,171.7384275917,stimulus,
26,random,171.8907886793,tap,b
27,random,172.4885673493,stimulus,
27,random,172.5568037478,tap,b
28,random,173.2387176716,stimulus,
28,random,173.2538042428,tap,b
29,random,173.9888553162,stimulus,
29,random,174.0647352153,tap,e
30,random,174.738966096,stimulus,
30,random,174.8020824781,tap,b
31,random,175.4890750646,stimulus,
31,random,175.5516638091,tap,b
32,random,176.2391903721,stimulus,
32,random,176.2996667552,tap,b
33,random,176.989313226,stimulus,
33,random,177.0476524957,tap,b
33,random,177.6306295429,tap,e
34,random,177.7394206853,stimulus,
35,random,178.4895251262,stimulus,
35,random,178.6305398928,tap,b
36,random,179.239654017,stimulus,
36,random,179.3615437323,tap,e
37,random,179.9897729468,stimulus,
37,random,180.0234825892,tap,b
38,random,180.7398967062,stimulus,
38,random,180.8314886141,tap,b
39,random,181.4900252952,stimulus,
39,random,181.5965866557,tap,e
40,random,182.2401846732,stimulus,
40,random,182.3764944701,tap,b
41,random,182.9903138659,stimulus,
41,random,183.0643935186,tap,b
42,random,183.7406283958,stimulus,
42,random,183.8243769771,tap,e
42,random,184.4813660622,tap,e
43,random,184.4907391756,stimulus,
43,random,185.2102991959,tap,e
44,random,185.2408279201,stimulus,
45,random,185.9913220521,stimulus,
45,random,185.9972881601,tap,b
46,random,186.7414433967,stimulus,
46,random,186.8282880756,tap,b
47,random,187.4915822487,stimulus,
47,random,187.5732803482,tap,b
47,random,188.189217237,tap,e
48,random,188.2420419695,stimulus,
49,random,188.9921521456,stimulus,
49,random,189.0107399,tap,b
50,random,189.7422704716,stimulus,
50,random,189.8107818575,tap,b
51,random,190.4924715052,stimulus,
51,random,190.5031241699,tap,b
52,random,191.2427670184,stimulus,
52,random,191.3051785757,tap,b
53,random,191.992888363,stimulus,
53,random,192.0390792905,tap,e
54,random,192.7433341986,stimulus,
54,random,192.8130454469,tap,b
55,random,193.4934470914,stimulus,
55,random,193.6730400739,tap,b
56,random,194.2435811137,stimulus,
56,random,194.387038468,tap,b
57,random,194.9936934027,stimulus,
57,random,195.0729899664,tap,e
58,random,195.7438008621,stimulus,
58,random,195.8039373596,tap,e
58,random,196.4899181377,tap,e
59,random,196.4938953418,stimulus,
60,random,197.2440224216,stimulus,
60,random,197.247919333,tap,e
61,random,197.9941549347,stimulus,
61,random,198.0148191302,tap,e
62,random,198.7442642052,stimulus,
62,random,198.8058607616,tap,e
63,random,199.4943807201,stimulus,
63,random,199.6248288498,tap,b
64,random,200.2445071962,stimulus,
64,random,200.3087929536,tap,e
65,random,200.9946261259,stimulus,
65,random,201.1117933641,tap,e
65,random,201.7007205211,tap,b
66,random,201.7447363019,stimulus,
67,random,202.4948766632,stimulus,
67,random,202.5657769071,tap,e
68,random,203.2450161189,stimulus,
68,random,203.3617224288,tap,b
69,random,203.9951534616,stimulus,
69,random,204.2786931612,tap,e
70,random,204.7452739007,stimulus,
70,random,205.4905957958,tap,e
71,random,205.4953750211,stimulus,
72,random,206.2454755379,stimulus,
72,random,206.3235897467,tap,b
73,random,206.9955965806,stimulus,
73,random,207.0645495762,tap,b
74,random,207.7457336215,stimulus,
74,random,207.7755747265,tap,e
75,random,208.4958688513,stimulus,
75,random,208.5585170607,tap,b
76,random,209.2460031755,stimulus,
