 'frameRate': 119.99815268229995, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,alternating,6.5147547694,stimulus,
0,alternating,6.846913891,tap,e
1,alternating,7.2649211663,stimulus,
1,alternating,7.5415862603,tap,b
2,alternating,8.015038663,stimulus,
2,alternating,8.0765896909,tap,e
3,alternating,8.7651854394,stimulus,
3,alternating,8.8795787086,tap,b
4,alternating,9.5153165195,stimulus,
4,alternating,9.609900023,tap,e
5,alternating,10.2654472977,stimulus,
5,alternating,10.3605101452,tap,b
6,alternating,11.0155844148,stimulus,
6,alternating,11.0719960783,tap,e
7,alternating,11.7657230412,stimulus,
7,alternating,11.8034804358,tap,b
8,alternating,12.5158459712,stimulus,
8,alternating,12.5904645562,tap,e
9,alternating,13.2659827865,stimulus,
9,alternating,13.3564435695,tap,b
10,alternating,14.0161117536,stimulus,
10,alternating,14.1333913497,tap,e
11,alternating,14.7662521911,stimulus,
11,alternating,14.8534194462,tap,b
12,alternating,15.51637331,stimulus,
12,alternating,15.652369055,tap,e
13,alternating,16.2664950325,stimulus,
13,alternating,16.3193321422,tap,b
14,alternating,17.0166113218,stimulus,
14,alternating,17.0943142498,tap,e
15,alternating,17.7667384777,stimulus,
15,alternating,17.8303318491,tap,b
16,alternating,18.516875293,stimulus,
16,alternating,18.6432883843,tap,e
17,alternating,19.2669870544,stimulus,
17,alternating,19.3092432794,tap,b
18,alternating,20.0171048529,stimulus,
18,alternating,20.0462186612,tap,e
19,alternating,20.7672217458,stimulus,
19,alternating,20.8402021697,tap,b
20,alternating,21.5173522221,stimulus,
20,alternating,21.5912303595,tap,e
21,alternating,22.2674830003,stimulus,
21,alternating,22.3341670538,tap,b
22,alternating,23.0176074396,stimulus,
22,alternating,23.1061617134,tap,e
23,alternating,23.7677397271,stimulus,
23,alternating,23.8161078898,tap,b
24,alternating,24.5178584311,stimulus,
24,alternating,24.5530853845,tap,e
25,alternating,25.2679614388,stimulus,
25,alternating,25.3530597873,tap,b
26,alternating,26.0180647483,stimulus,
26,alternating,26.0670607671,tap,e
27,alternating,26.7681864708,stimulus,
27,alternating,26.8320536237,tap,b
28,alternating,27.5183187583,stimulus,
28,alternating,27.5720255091,tap,e
28,alternating,28.2430029512,tap,b
29,alternating,28.2684416883,stimulus,
30,alternating,29.0185422811,stimulus,
30,alternating,29.0579378368,tap,e
31,alternating,29.7686516277,stimulus,
31,alternating,29.8559501893,tap,b
32,alternating,30.5187787837,stimulus,
32,alternating,30.5859288995,tap,e
33,alternating,31.2689131841,stimulus,
33,alternating,31.3439278014,tap,b
34,alternating,32.019054829,stimulus,
34,alternating,32.0860334919,tap,e
35,alternating,32.7691850035,stimulus,
35,alternating,32.8728718168,tap,b
36,alternating,33.5193188003,stimulus,
36,alternating,33.5928365241,tap,e
37,alternating,34.2694459562,stimulus,
37,alternating,34.375813534,tap,b
38,alternating,35.0195709992,stimulus,
38,alternating,35.1168316449,tap,e
39,alternating,35.7696951366,stimulus,
39,alternating,35.8547632998,tap,b
40,alternating,36.519819274,stimulus,
40,alternating,36.5628186634,tap,e
41,alternating,37.2699542782,stimulus,
41,alternating,37.344843928,tap,b
42,alternating,38.0200732841,stimulus,
42,alternating,38.1087090584,tap,e
43,alternating,38.7702019493,stimulus,
43,alternating,38.8479293276,tap,b
44,alternating,39.520327596,stimulus,
44,alternating,39.6006853291,tap,e
45,alternating,40.2704601853,stimulus,
45,alternating,40.3346433792,tap,b
46,alternating,41.0205843227,stimulus,
46,alternating,41.0526086063,tap,e
47,alternating,41.7707160065,stimulus,
47,alternating,41.855620263,tap,b
48,alternating,42.5208377291,stimulus,
48,alternating,42.5665701036,tap,e
49,alternating,43.2709893352,stimulus,
49,alternating,43.3815786415,tap,b
50,alternating,44.0211032096,stimulus,
50,alternating,44.0795288423,tap,e
51,alternating,44.7712333841,stimulus,
51,alternating,44.8705282232,tap,b
52,alternating,45.5213496733,stimulus,
52,alternating,45.623486165,tap,e
53,alternating,46.2714901108,stimulus,
53,alternating,46.3574928136,tap,b
54,alternating,47.0216163612,stimulus,
54,alternating,47.0644228659,tap,e
55,alternating,47.7717341597,stimulus,
55,alternating,47.8344192527,tap,b
56,alternating,48.5218715787,stimulus,
56,alternating,48.6243727099,tap,e
57,alternating,49.2719893772,stimulus,
57,alternating,49.3783765754,tap,b
58,alternating,50.0221053645,stimulus,
58,alternating,50.0653405018,tap,e
59,alternating,50.7722222574,stimulus,
59,alternating,50.7982960951,tap,b
60,alternating,51.5223436782,stimulus,
60,alternating,51.5933333756,tap,e
61,alternating,52.2724729471,stimulus,
61,alternating,52.3302683089,tap,b
62,alternating,53.0225735399,stimulus,
62,alternating,53.0872689799,tap,e
63,alternating,53.7726955643,stimulus,
63,alternating,53.8402734072,tap,b
64,alternating,54.522821211,stimulus,
64,alternating,54.5652199111,tap,e
65,alternating,55.272944141,stimulus,
65,alternating,55.3076887319,tap,b
66,alternating,56.0230631469,stimulus,
66,alternating,56.0921750113,tap,e
67,alternating,56.7731996604,stimulus,
67,alternating,56.8322108896,tap,b
68,alternating,57.5233240996,stimulus,
68,alternating,57.6061555254,tap,e
68,alternating,58.2241047844,tap,b
69,alternating,58.2734479352,stimulus,
70,alternating,59.0235708652,stimulus,
70,alternating,59.0451193093,tap,e
71,alternating,59.7737001341,stimulus,
71,alternating,59.8070616304,tap,b
71,alternating,60.5120462344,tap,e
72,alternating,60.523804651,stimulus,
72,alternating,61.2309942977,tap,b
73,alternating,61.2739209402,stimulus,
73,alternating,61.9590076372,tap,e
74,alternating,62.0240375313,stimulus,
75,alternating,62.7741411427,stimulus,
75,alternating,62.9539829773,tap,b
76,alternating,63.5242589411,stimulus,
76,alternating,63.5535134133,tap,e
76,alternating,70.3150071796,probe,1
0,random,74.8297673823,stimulus,
0,random,75.1086628748,tap,e
1,random,75.5798933309,stimulus,
1,random,75.7135714417,tap,e
2,random,76.3300229017,stimulus,
2,random,76.384641553,tap,e
3,random,77.080155491,stimulus,
3,random,77.1255778616,tap,e
3,random,77.8175341495,tap,b
4,random,77.8302699691,stimulus,
5,random,78.5803805231,stimulus,
5,random,78.6152630611,tap,b
6,random,79.3305109994,stimulus,
6,random,79.3624924197,tap,e
7,random,80.0806242701,stimulus,
7,random,80.1294669471,tap,e
7,random,80.8154447168,tap,b
8,random,80.8307281833,stimulus,
8,random,81.5404826825,tap,b
9,random,81.5808302854,stimulus,
9,random,82.3303990116,tap,e
10,random,82.330933293,stimulus,
11,random,83.0810356969,stimulus,
11,random,83.1123687351,tap,e
12,random,83.831152288,stimulus,
12,random,83.8403754338,tap,e
13,random,84.581289707,stimulus,
13,random,84.5873750815,tap,e
13,random,85.3313426069,tap,b
14,random,85.3315828826,stimulus,
15,random,86.0816867958,stimulus,
15,random,86.0873073153,tap,b
16,random,86.8318184796,stimulus,
16,random,86.9052607399,tap,b
17,random,87.5819447299,stimulus,
17,random,87.6282657196,tap,b
17,random,88.3212461978,tap,e
18,random,88.3320631321,stimulus,
18,random,89.0632088095,tap,e
19,random,89.0821703657,stimulus,
19,random,89.8012168334,tap,e
20,random,89.8322649215,stimulus,
20,random,90.5381653501,tap,e
21,random,90.5823745699,stimulus,
21,random,91.3131302521,tap,e
22,random,91.3324655034,stimulus,
