 'frameRate': 120.00155758126193, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,alternating,6.52068191,stimulus,
0,alternating,7.0446386231,tap,b
1,alternating,7.2708433259,stimulus,
1,alternating,7.7356317225,tap,b
2,alternating,8.0209597657,stimulus,
2,alternating,8.3585560681,tap,e
3,alternating,8.7711872874,stimulus,
3,alternating,9.1635098378,tap,b
4,alternating,9.5213321014,stimulus,
4,alternating,9.8915031705,tap,b
5,alternating,10.2714630301,stimulus,
5,alternating,10.6354615076,tap,e
6,alternating,11.0215676976,stimulus,
6,alternating,11.4124247518,tap,e
7,alternating,11.7716784022,stimulus,
7,alternating,12.2474328158,tap,e
8,alternating,12.5217812586,stimulus,
8,alternating,13.0933619208,tap,e
9,alternating,13.2718919632,stimulus,
9,alternating,13.6713889554,tap,b
10,alternating,14.0220159493,stimulus,
10,alternating,14.3413619184,tap,b
11,alternating,14.7721414447,stimulus,
11,alternating,15.1503061846,tap,e
12,alternating,15.5222415844,stimulus,
12,alternating,15.9282857678,tap,b
13,alternating,16.2723414223,stimulus,
13,alternating,16.6352616809,tap,e
14,alternating,17.022449712,stimulus,
14,alternating,17.3562290835,tap,e
15,alternating,17.7725800371,stimulus,
15,alternating,18.1501948008,tap,b
16,alternating,18.5227124751,stimulus,
16,alternating,18.8882570435,tap,e
17,alternating,19.2728415927,stimulus,
17,alternating,19.6112299573,tap,b
18,alternating,20.0229510899,stimulus,
18,alternating,20.3261430946,tap,e
19,alternating,20.7730633037,stimulus,
19,alternating,21.1461258226,tap,e
20,alternating,21.5231646508,stimulus,
20,alternating,21.9523214155,tap,e
21,alternating,22.273288637,stimulus,
21,alternating,22.6571396834,tap,e
22,alternating,23.0233996434,stimulus,
22,alternating,23.401057874,tap,b
23,alternating,23.7735178943,stimulus,
23,alternating,24.0730638169,tap,e
24,alternating,24.52363041,stimulus,
24,alternating,24.8739860381,tap,b
25,alternating,25.2737371905,stimulus,
25,alternating,25.6299614443,tap,b
26,alternating,26.0238463858,stimulus,
26,alternating,26.3699416609,tap,e
27,alternating,26.7740253092,stimulus,
27,alternating,27.1419044086,tap,e
28,alternating,27.5241278637,stimulus,
28,alternating,27.8899591925,tap,b
29,alternating,28.2742325312,stimulus,
29,alternating,28.6359019111,tap,e
30,alternating,29.0246942908,stimulus,
30,alternating,29.3248894992,tap,b
31,alternating,29.7748433308,stimulus,
31,alternating,30.1118754699,tap,e
32,alternating,30.524964902,stimulus,
32,alternating,30.8527820733,tap,b
33,alternating,31.2754381321,stimulus,
