 'frameRate': 120.01057798569241, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.519852199,stimulus,
0,random,7.0938097676,tap,b
1,random,7.2713666132,stimulus,
1,random,7.7187379257,tap,e
2,random,8.0214804131,stimulus,
2,random,8.464750099,tap,e
3,random,8.7716201727,stimulus,
3,random,9.2806683225,tap,e
4,random,9.5217363875,stimulus,
4,random,10.015698653,tap,e
5,random,10.2718375094,stimulus,
5,random,10.7267057309,tap,b
6,random,11.0219796838,stimulus,
6,random,11.4957060907,tap,b
7,random,11.7721173304,stimulus,
7,random,12.2346158815,tap,e
8,random,12.5222329415,stimulus,
8,random,12.9486273376,tap,b
9,random,13.2723446284,stimulus,
9,random,13.7146148673,tap,e
10,random,14.0224563153,stimulus,
10,random,14.4685640564,tap,b
11,random,14.7725731338,stimulus,
11,random,15.1916067582,tap,b
12,random,15.522696895,stimulus,
12,random,15.9736325295,tap,b
13,random,16.272818845,stimulus,
13,random,16.6815715376,tap,e
14,random,17.0229356635,stimulus,
14,random,17.4315612745,tap,e
15,random,17.7730615377,stimulus,
15,random,18.1664817292,tap,b
16,random,18.5232085418,stimulus,
16,random,18.9075081381,tap,b
17,random,19.2733347178,stimulus,
17,random,19.6084905603,tap,e
18,random,20.0234717607,stimulus,
18,random,20.4325284228,tap,b
19,random,20.7736030683,stimulus,
19,random,21.1605260997,tap,e
20,random,21.5237407149,stimulus,
20,random,21.9674148885,tap,b
21,random,22.2739689184,stimulus,
21,random,22.6244104742,tap,e
22,random,23.0240926796,stimulus,
22,random,23.2024696695,tap,b
23,random,23.7742251946,stimulus,
23,random,23.8833879895,tap,e
24,random,24.5243676709,stimulus,
24,random,24.6274202857,tap,b
24,random,24.9953483907,tap,b
25,random,25.2744974692,stimulus,
25,random,25.3673597092,tap,e
26,random,26.0246357195,stimulus,
26,random,26.1248865019,tap,b
27,random,26.7747827237,stimulus,
27,random,26.7973839301,tap,e
28,random,27.5249176535,stimulus,
28,random,27.5973559782,tap,b
29,random,28.2750483574,stimulus,
29,random,28.3483140709,tap,b
30,random,29.0251700056,stimulus,
30,random,29.0863031992,tap,e
31,random,29.775280787,stimulus,
31,random,29.8432972152,tap,e
32,random,30.5254126983,stimulus,
32,random,30.5962922358,tap,b
33,random,31.2755651358,stimulus,
33,random,31.3663020038,tap,b
34,random,32.025699462,stimulus,
34,random,32.1292202563,tap,b
35,random,32.7758126582,stimulus,
35,random,32.8792217655,tap,b
36,random,33.5259312878,stimulus,
36,random,33.5782255182,tap,e
37,random,34.2760785938,stimulus,
37,random,34.3141861706,tap,e
