 'frameRate': 120.02329549795381, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.5162763657,stimulus,
0,random,6.9376661512,tap,e
1,random,7.2664429131,stimulus,
1,random,7.717586951,tap,b
2,random,8.0165599566,stimulus,
2,random,8.3925863699,tap,e
3,random,8.7667005446,stimulus,
3,random,9.2225190779,tap,e
4,random,9.5168172863,stimulus,
4,random,10.0085424395,tap,b
5,random,10.2669331224,stimulus,
5,random,10.6265523167,tap,e
6,random,11.0170435251,stimulus,
6,random,11.4474713926,tap,e
7,random,11.7671753594,stimulus,
7,random,12.077473889,tap,e
8,random,12.5173105141,stimulus,
8,random,13.0444671706,tap,b
9,random,13.2674203131,stimulus,
10,random,14.0175415825,stimulus,
10,random,14.0474002761,tap,e
11,random,14.7676613427,stimulus,
11,random,14.8223884963,tap,e
12,random,15.5177907622,stimulus,
12,random,15.5463714102,tap,b
13,random,16.2678999575,stimulus,
13,random,16.3277842693,tap,b
13,random,16.9963146769,tap,e
14,random,17.0179955694,stimulus,
14,random,17.7612647761,tap,b
15,random,17.7680824276,stimulus,
16,random,18.5181937359,stimulus,
16,random,18.5812662189,tap,b
16,random,19.2442461539,tap,e
17,random,19.2683005164,stimulus,
17,random,19.9601874024,tap,e
18,random,20.0184057876,stimulus,
19,random,20.7685216237,stimulus,
19,random,20.7902127792,tap,e
19,random,21.501145683,tap,b
20,random,21.5186284042,stimulus,
21,random,22.2687394106,stimulus,
21,random,22.295157282,tap,e
21,random,23.0091479566,tap,b
22,random,23.0188658116,stimulus,
23,random,23.768964442,stimulus,
23,random,23.7733434233,tap,b
23,random,24.5070345329,tap,e
24,random,24.5190576391,stimulus,
24,random,25.2369941359,tap,e
25,random,25.2691438936,stimulus,
26,random,26.019261239,stimulus,
26,random,26.0440367283,tap,b
27,random,26.7694036381,stimulus,
27,random,26.8399976938,tap,e
28,random,27.5195200779,stimulus,
28,random,27.5922663454,tap,e
29,random,28.2696404418,stimulus,
29,random,28.3059313206,tap,e
29,random,29.0049090351,tap,e
30,random,29.0197577871,stimulus,
31,random,29.7698763399,stimulus,
31,random,29.789884665,tap,e
32,random,30.5200190409,stimulus,
32,random,30.5349073357,tap,e
33,random,31.2701581196,stimulus,
33,random,31.2988374736,tap,b
33,random,32.0128574279,tap,e
34,random,32.0202627872,stimulus,
34,random,32.7557616943,tap,b
35,random,32.7703614176,stimulus,
36,random,33.5204826871,stimulus,
36,random,33.5317943258,tap,b
37,random,34.2706006361,stimulus,
37,random,34.3047157586,tap,b
37,random,35.0027465603,tap,e
38,random,35.0206974555,stimulus,
39,random,35.7708341194,stimulus,
39,random,35.8617087716,tap,b
40,random,36.5209692741,stimulus,
40,random,36.5446602056,tap,e
40,random,37.2366482124,tap,e
41,random,37.2710811861,stimulus,
41,random,37.9856058386,tap,e
42,random,38.0211813258,stimulus,
42,random,38.756604166,tap,b
