 'frameRate': 119.9959070131281, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,alternating,6.5204799704,stimulus,
1,alternating,7.2708149517,stimulus,
1,alternating,7.3616153481,tap,b
1,alternating,7.9456498608,tap,b
2,alternating,8.0209353156,stimulus,
2,alternating,8.6096180624,tap,e
3,alternating,8.7710420961,stimulus,
3,alternating,9.4546171583,tap,b
4,alternating,9.5211600452,stimulus,
4,alternating,10.2555366629,tap,e
5,alternating,10.2712553552,stimulus,
6,alternating,11.0213675691,stimulus,
6,alternating,11.0325017183,tap,b
7,alternating,11.7714809904,stimulus,
7,alternating,11.8044937458,tap,e
8,alternating,12.5216439155,stimulus,
8,alternating,12.5694516931,tap,b
9,alternating,13.2717739387,stimulus,
9,alternating,13.2934720368,tap,e
10,alternating,14.0219157341,stimulus,
10,alternating,14.0614645122,tap,b
11,alternating,14.7720511906,stimulus,
11,alternating,14.8873940458,tap,e
12,alternating,15.522160386,stimulus,
12,alternating,15.6193555378,tap,b
13,alternating,16.2722632424,stimulus,
13,alternating,16.4293291227,tap,b
14,alternating,17.0223763618,stimulus,
14,alternating,17.1573133998,tap,b
15,alternating,17.7724997442,stimulus,
15,alternating,17.8253098295,tap,e
16,alternating,18.5226394266,stimulus,
16,alternating,18.5473237563,tap,b
16,alternating,19.2712798053,tap,e
17,alternating,19.2727600924,stimulus,
17,alternating,19.9952068765,tap,b
18,alternating,20.0228538932,stimulus,
18,alternating,20.632196062,tap,e
19,alternating,20.7729413551,stimulus,
20,alternating,21.5230571912,stimulus,
20,alternating,21.5282092179,tap,b
20,alternating,22.1991312067,tap,e
21,alternating,22.2734742765,stimulus,
21,alternating,22.9431828164,tap,b
22,alternating,23.0235713977,stimulus,
22,alternating,23.7300878905,tap,b
23,alternating,23.7736591615,stimulus,
24,alternating,24.5237870717,stimulus,
24,alternating,24.5281325473,tap,e
24,alternating,25.2550229091,tap,b
25,alternating,25.2739349042,stimulus,
25,alternating,25.9720447914,tap,e
26,alternating,26.024026592,stimulus,
27,alternating,26.7741354855,stimulus,
27,alternating,26.8229828448,tap,b
28,alternating,27.5242603772,stimulus,
28,alternating,27.5539919906,tap,e
29,alternating,28.2743979467,stimulus,
29,alternating,28.3029668224,tap,b
29,alternating,29.0008928811,tap,e
30,alternating,29.0245056327,stimulus,
31,alternating,29.7746776135,stimulus,
31,alternating,29.7964584193,tap,b
32,alternating,30.5248043163,stimulus,
32,alternating,30.6258369251,tap,b
33,alternating,31.2749298116,stimulus,
33,alternating,31.2818703173,tap,e
33,alternating,31.9788289372,tap,e
34,alternating,32.0253465951,stimulus,
35,alternating,32.7754582053,stimulus,
35,alternating,32.7898155407,tap,b
36,alternating,33.5255954729,stimulus,
36,alternating,33.5517993306,tap,e
37,alternating,34.2757342498,stimulus,
37,alternating,34.3068181647,tap,b
38,alternating,35.0260139921,stimulus,
38,alternating,35.0517342812,tap,b
38,alternating,35.7276769907,tap,e
39,alternating,35.7761243948,stimulus,
39,alternating,36.4636851239,tap,e
40,alternating,36.526225742,stimulus,
40,alternating,37.0806608528,tap,b
41,alternating,37.2763397669,stimulus,
41,alternating,37.7966488885,tap,e
42,alternating,38.0264420196,stimulus,
43,alternating,38.7765702317,stimulus,
43,alternating,38.8246614492,tap,b
44,alternating,39.5267295346,stimulus,
44,alternating,39.6485543808,tap,e
45,alternating,40.2768746504,stimulus,
45,alternating,40.3625589406,tap,b
46,alternating,41.0270052773,stimulus,
46,alternating,41.1285724678,tap,b
47,alternating,41.7771295653,stimulus,
47,alternating,41.8294769099,tap,b
47,alternating,42.5265031449,tap,e
48,alternating,42.5272321198,stimulus,
49,alternating,43.2773696893,stimulus,
49,alternating,43.3354389591,tap,e
49,alternating,43.7704643495,tap,b
50,alternating,44.0274855254,stimulus,
51,alternating,44.7776083041,stimulus,
51,alternating,44.8284364227,tap,b
52,alternating,45.527744968,stimulus,
52,alternating,45.6223988196,tap,b
53,alternating,46.2778641245,stimulus,
53,alternating,46.4893761333,tap,b
54,alternating,47.0279823754,stimulus,
54,alternating,47.2044347637,tap,e
55,alternating,47.7781072671,stimulus,
55,alternating,47.9303317274,tap,e
56,alternating,48.5282499681,stimulus,
56,alternating,48.5673607575,tap,b
57,alternating,49.2783818024,stimulus,
57,alternating,49.4253377207,tap,b
58,alternating,50.0285042792,stimulus,
58,alternating,50.1032424746,tap,e
59,alternating,50.7786098523,stimulus,
59,alternating,50.7932147071,tap,b
60,alternating,51.5287356495,stimulus,
60,alternating,51.5592294418,tap,e
61,alternating,52.2788493726,stimulus,
61,alternating,52.2851641371,tap,e
62,alternating,53.028956455,stimulus,
62,alternating,53.0371620265,tap,b
63,alternating,53.7790979486,stimulus,
63,alternating,53.8741795259,tap,b
64,alternating,54.5292454792,stimulus,
64,alternating,54.5451561501,tap,e
65,alternating,55.2793839543,stimulus,
65,alternating,55.3630853722,tap,e
66,alternating,56.0294979792,stimulus,
66,alternating,56.1240325989,tap,b
67,alternating,56.7796252857,stimulus,
67,alternating,56.8600787655,tap,b
68,alternating,57.5300357303,stimulus,
68,alternating,57.6409718338,tap,b
69,alternating,58.2803196985,stimulus,
69,alternating,58.4039900739,tap,b
70,alternating,59.030447005,stimulus,
70,alternating,59.1120043612,tap,b
71,alternating,59.7805758208,stimulus,
71,alternating,59.7999692714,tap,e
72,alternating,60.5306928643,stimulus,
72,alternating,60.5319304615,tap,b
73,alternating,61.2808207745,stimulus,
73,alternating,61.3888965191,tap,e
73,alternating,62.0048601349,tap,b
74,alternating,62.030939931,stimulus,
75,alternating,62.7810618041,stimulus,
75,alternating,62.8718564653,tap,e
76,alternating,63.5311833754,stimulus,
76,alternating,63.6418007221,tap,e
77,alternating,64.2813127949,stimulus,
77,alternating,64.3688112214,tap,e
78,alternating,65.0314382902,stimulus,
78,alternating,65.0587532687,tap,b
78,alternating,71.9029521524,probe,1
0,random,76.4184101947,stimulus,
0,random,77.0394552037,tap,b
1,random,77.1685329734,stimulus,
1,random,77.5613415071,tap,b
2,random,77.9186285853,stimulus,
2,random,78.1163425923,tap,e
3,random,78.668769777,stimulus,
3,random,78.7803814275,tap,b
4,random,79.418933004,stimulus,
4,random,79.5393524227,tap,e
5,random,80.1690693661,stimulus,
5,random,80.3574597381,tap,e
6,random,80.9191906356,stimulus,
6,random,80.9722464292,tap,b
7,random,81.6693251865,stimulus,
7,random,81.804248943,tap,e
8,random,82.4194470597,stimulus,
8,random,82.5111789744,tap,b
9,random,83.169554142,stimulus,
9,random,83.3121700181,tap,b
10,random,83.9196745059,stimulus,
10,random,83.9721386676,tap,e
11,random,84.6697909457,stimulus,
11,random,84.6910905979,tap,b
12,random,85.4198959151,stimulus,
12,random,85.5540885836,tap,b
13,random,86.1700298623,stimulus,
13,random,86.2830792385,tap,e
14,random,86.9201604892,stimulus,
14,random,87.0260535348,tap,e
15,random,87.6702947383,stimulus,
15,random,87.739059565,tap,b
16,random,88.4204060466,stimulus,
16,random,88.4299962178,tap,e
17,random,89.170527316,stimulus,
17,random,89.1710250716,tap,b
18,random,89.9206872227,stimulus,
18,random,89.9609903313,tap,b
19,random,90.6708084921,stimulus,
19,random,90.7289387362,tap,b
20,random,91.4209499857,stimulus,
20,random,91.4679759641,tap,b
21,random,92.1710760848,stimulus,
21,random,92.1718735803,tap,e
22,random,92.921210032,stimulus,
22,random,92.9429214117,tap,b
23,random,93.671365109,stimulus,
23,random,93.705809855,tap,e
24,random,94.4214875858,stimulus,
24,random,94.5078133136,tap,e
24,random,95.1147931809,tap,b
25,random,95.171621835,stimulus,
25,random,95.9177523061,tap,e
26,random,95.921721371,stimulus,
27,random,96.6718363015,stimulus,
27,random,96.6907467873,tap,b
28,random,97.4219506283,stimulus,
28,random,97.4517006548,tap,b
29,random,98.1722279558,stimulus,
29,random,98.2087207742,tap,b
30,random,98.9225578056,stimulus,
30,random,98.9857857429,tap,e
31,random,99.6727089585,stimulus,
31,random,99.708692551,tap,e
32,random,100.4228528669,stimulus,
32,random,100.4266245199,tap,b
33,random,101.1729801734,stimulus,
33,random,101.184583704,tap,b
34,random,101.923107178,stimulus,
34,random,101.9656092857,tap,e
35,random,102.6732341827,stimulus,
35,random,102.7415244964,tap,e
36,random,103.4233596781,stimulus,
36,random,103.4725351515,tap,b
37,random,104.1734812493,stimulus,
37,random,104.2214650072,tap,e
38,random,104.923610367,stimulus,
38,random,104.9545270552,tap,b
39,random,105.6737639347,stimulus,
39,random,105.6954934255,tap,b
40,random,106.4238978819,stimulus,
40,random,106.5074441474,tap,e
41,random,107.1740128125,stimulus,
41,random,107.2313751426,tap,e
42,random,107.9241410245,stimulus,
42,random,107.9543906177,tap,e
43,random,108.6742665199,stimulus,
43,random,108.7133767056,tap,e
44,random,109.424398656,stimulus,
44,random,109.4788106751,tap,b
45,random,110.1745431681,stimulus,
45,random,110.2503396601,tap,e
46,random,110.9246692672,stimulus,
46,random,110.9942723396,tap,b
47,random,111.6750679396,stimulus,
47,random,111.6952380579,tap,b
48,random,112.4251961516,stimulus,
48,random,112.4552432014,tap,b
49,random,113.1753137988,stimulus,
49,random,113.2802146537,tap,b
50,random,113.9254558961,stimulus,
50,random,114.0102083661,tap,e
51,random,114.6756321028,stimulus,
51,random,114.6932322448,tap,e
51,random,115.4171161509,tap,e
52,random,115.4257416,stimulus,
53,random,116.1758405323,stimulus,
53,random,116.1941183342,tap,e
53,random,116.9210932149,tap,b
54,random,116.9259455017,stimulus,
55,random,117.6760595266,stimulus,
55,random,117.8380739848,tap,b
56,random,118.4261847201,stimulus,
56,random,118.5460266941,tap,e
57,random,119.1763081025,stimulus,
57,random,119.2700461322,tap,e
58,random,119.9264505017,stimulus,
58,random,120.0052187363,tap,e
59,random,120.6765711674,stimulus,
59,random,120.7209182006,tap,e
60,random,121.4266993795,stimulus,
60,random,121.4849926242,tap,b
61,random,122.1768233656,stimulus,
61,random,122.2599129275,tap,b
62,random,122.926969387,stimulus,
62,random,123.0419400574,tap,b
63,random,123.6771069565,stimulus,
63,random,123.7538702835,tap,b
64,random,124.4272276222,stimulus,
64,random,124.458833139,tap,e
65,random,125.1773636824,stimulus,
65,random,125.2159495495,tap,b
66,random,125.9274937056,stimulus,
66,random,125.9278018975,tap,e
67,random,126.6776309733,stimulus,
67,random,126.7037871381,tap,e
68,random,127.4277531483,stimulus,
68,random,127.5137486488,tap,e
68,random,128.103722119,tap,b
69,random,128.1778626454,stimulus,
70,random,128.9279953853,stimulus,
70,random,128.9460972069,tap,b
71,random,129.6781269177,stimulus,
71,random,129.7397405453,tap,b
72,random,130.4282569409,stimulus,
72,random,130.4877132252,tap,b
73,random,131.1783806251,stimulus,
73,random,131.1946191083,tap,b
73,random,138.3431594529,probe,0
0,random,142.8582884755,stimulus,
0,random,143.2072748984,tap,b
1,random,143.6084257431,stimulus,
1,random,143.8862895658,tap,b
2,random,144.358554257,stimulus,
2,random,144.5091728594,tap,b
2,random,145.108200108,tap,e
3,random,145.1086586227,stimulus,
4,random,145.8587521216,stimulus,
4,random,145.8701199051,tap,e
5,random,146.6088727874,stimulus,
5,random,146.6461621959,tap,b
6,random,147.3589850012,stimulus,
6,random,147.4290954885,tap,e
7,random,148.1091114022,stimulus,
7,random,148.2221200282,tap,e
8,random,148.8592411235,stimulus,
8,random,148.9180607998,tap,e
8,random,149.5579975797,tap,b
9,random,149.6093482058,stimulus,
9,random,150.2610403484,tap,e
10,random,150.3594528734,stimulus,
11,random,151.1095656909,stimulus,
11,random,151.1890303003,tap,b
12,random,151.8597092975,stimulus,
12,random,151.9129809159,tap,b
13,random,152.6098477725,stimulus,
13,random,152.6999834886,tap,b
14,random,153.3599684383,stimulus,
14,random,153.4108813775,tap,b
15,random,154.1100830669,stimulus,
15,random,154.2069009026,tap,b
16,random,154.8602203346,stimulus,
16,random,154.8618711685,tap,e
17,random,155.6103358688,stimulus,
17,random,155.6478420077,tap,e
18,random,156.3604580438,stimulus,
18,random,156.3738180569,tap,b
19,random,157.1105796151,stimulus,
19,random,157.2517804044,tap,b
20,random,157.8607011864,stimulus,
20,random,157.9137557726,tap,b
20,random,158.6057250645,tap,e
21,random,158.6108137021,stimulus,
22,random,159.3609310474,stimulus,
22,random,159.3807274717,tap,b
23,random,160.1110731447,stimulus,
23,random,160.1790939037,tap,b
23,random,160.8456529095,tap,b
24,random,160.8611986401,stimulus,
25,random,161.6113187021,stimulus,
25,random,161.658661928,tap,e
26,random,162.3614429901,stimulus,
26,random,162.4996011013,tap,e
27,random,163.1115709003,stimulus,
27,random,163.1886270247,tap,e
28,random,163.8618095905,stimulus,
28,random,163.9315786821,tap,b
29,random,164.6119269359,stimulus,
29,random,164.653606796,tap,e
30,random,165.3620916721,stimulus,
30,random,165.3815868472,tap,b
30,random,166.1035394979,tap,b
31,random,166.1122114323,stimulus,
32,random,166.8623354184,stimulus,
32,random,166.9815365585,tap,e
33,random,167.612460612,stimulus,
33,random,167.7124479039,tap,e
34,random,168.3625861073,stimulus,
34,random,168.4004502439,tap,e
35,random,169.1127125083,stimulus,
35,random,169.1164071888,tap,b
36,random,169.862863963,stimulus,
36,random,169.9114299953,tap,b
37,random,170.6129900621,stimulus,
37,random,170.6823444076,tap,e
