 'frameRate': 119.987106260807, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,alternating,6.514108872,stimulus,
0,alternating,6.8426040183,tap,e
0,alternating,7.2107076018,tap,b
1,alternating,7.264266137,stimulus,
1,alternating,7.9795298954,tap,e
2,alternating,8.0143714834,stimulus,
2,alternating,8.7585043829,tap,b
3,alternating,8.7644671706,stimulus,
4,alternating,9.5145743281,stimulus,
4,alternating,9.5904460771,tap,e
4,alternating,10.2524908841,tap,b
5,alternating,10.2646799763,stimulus,
5,alternating,11.0113855618,tap,e
6,alternating,11.0147792857,stimulus,
7,alternating,11.7649148173,stimulus,
7,alternating,11.772635592,tap,b
7,alternating,12.5093368912,tap,e
8,alternating,12.5150192582,stimulus,
9,alternating,13.2651406027,stimulus,
9,alternating,13.2743489049,tap,b
10,alternating,14.0152876047,stimulus,
10,alternating,14.0383415638,tap,e
10,alternating,14.737257009,tap,b
11,alternating,14.7654170993,stimulus,
11,alternating,15.4852916496,tap,e
12,alternating,15.5155191254,stimulus,
12,alternating,16.2331880418,tap,b
13,alternating,16.2656238681,stimulus,
13,alternating,17.0022020115,tap,e
14,alternating,17.0157104996,stimulus,
14,alternating,17.7471683248,tap,b
15,alternating,17.7657980368,stimulus,
16,alternating,18.5159006665,stimulus,
16,alternating,18.5201284079,tap,e
16,alternating,19.2281622033,tap,b
17,alternating,19.2660144648,stimulus,
17,alternating,20.0071436333,tap,e
18,alternating,20.0161131704,stimulus,
19,alternating,20.7662305909,stimulus,
19,alternating,20.7701072783,tap,b
20,alternating,21.5163667262,stimulus,
20,alternating,21.5200435875,tap,e
21,alternating,22.2664910893,stimulus,
21,alternating,22.2830280602,tap,b
22,alternating,23.0166242061,stimulus,
22,alternating,23.0279925624,tap,e
23,alternating,23.7667660766,stimulus,
23,alternating,23.7860145855,tap,b
23,alternating,24.4789132115,tap,e
24,alternating,24.5168841008,stimulus,
24,alternating,25.2129325542,tap,b
25,alternating,25.266990051,stimulus,
25,alternating,25.98288951,tap,e
26,alternating,26.017089964,stimulus,
26,alternating,26.730853819,tap,b
27,alternating,26.7671889715,stimulus,
27,alternating,27.5047976383,tap,e
28,alternating,27.5172903939,stimulus,
28,alternating,28.2358301538,tap,b
29,alternating,28.2673845717,stimulus,
29,alternating,28.9507639878,tap,e
30,alternating,29.0174893144,stimulus,
30,alternating,29.7587440535,tap,b
31,alternating,29.7675822849,stimulus,
32,alternating,30.5177003091,stimulus,
32,alternating,30.5277903214,tap,e
32,alternating,31.2386892975,tap,b
33,alternating,31.2678186351,stimulus,
33,alternating,32.0140159016,tap,e
34,alternating,32.0179140204,stimulus,
34,alternating,32.7406120958,tap,b
35,alternating,32.7680057835,stimulus,
35,alternating,33.4616216102,tap,e
