 'frameRate': 120.0137298437683, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.515709184,stimulus,
0,random,6.9596407467,tap,e
1,random,7.2658699961,stimulus,
1,random,7.6115958032,tap,e
2,random,8.0159867378,stimulus,
2,random,8.1295688845,tap,e
3,random,8.7661176665,stimulus,
3,random,8.7835430356,tap,b
4,random,9.5162371248,stimulus,
4,random,9.5735291232,tap,b
5,random,10.2663490368,stimulus,
5,random,10.3024763113,tap,e
5,random,10.9584472199,tap,b
6,random,11.0164636655,stimulus,
7,random,11.7665825201,stimulus,
7,random,11.7675264144,tap,e
8,random,12.516899994,stimulus,
8,random,12.5284356077,tap,b
8,random,13.263422874,tap,e
9,random,13.2670106986,stimulus,
10,random,14.0171189883,stimulus,
10,random,14.0463703537,tap,b
10,random,14.7573711744,tap,e
11,random,14.7672287874,stimulus,
12,random,15.5173379827,stimulus,
12,random,15.5262858107,tap,b
13,random,16.2674480836,stimulus,
13,random,16.2782432518,tap,b
13,random,17.015308776,tap,e
14,random,17.0175506381,stimulus,
15,random,17.7676703983,stimulus,
15,random,17.7802573659,tap,e
15,random,18.4832144083,tap,b
16,random,18.5177940825,stimulus,
16,random,19.2371728329,tap,e
17,random,19.2678939204,stimulus,
17,random,19.9781536921,tap,e
18,random,20.0179898342,stimulus,
19,random,20.7680996332,stimulus,
19,random,20.7691570242,tap,b
19,random,21.503127046,tap,e
20,random,21.5182076211,stimulus,
21,random,22.2683400591,stimulus,
21,random,22.2911127539,tap,b
22,random,23.0184724971,stimulus,
22,random,23.0230706236,tap,b
22,random,23.7500415802,tap,e
23,random,23.7685883332,stimulus,
24,random,24.5186824359,stimulus,
24,random,24.5220133836,tap,e
24,random,25.2669696466,tap,e
25,random,25.2687883108,stimulus,
25,random,25.956999533,tap,b
26,random,26.0191012569,stimulus,
26,random,26.68100901,tap,e
27,random,26.7692004911,stimulus,
27,random,27.4999355544,tap,b
28,random,27.5192958011,stimulus,
29,random,28.2694246169,stimulus,
