 'frameRate': 120.00275299491618, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,alternating,6.5194643133,stimulus,
0,alternating,7.0127132918,tap,b
1,alternating,7.2696215806,stimulus,
1,alternating,7.5866533528,tap,e
2,alternating,8.0197190802,stimulus,
2,alternating,8.2986091658,tap,b
3,alternating,8.7698534064,stimulus,
3,alternating,9.0285960773,tap,e
4,alternating,9.5199877326,stimulus,
4,alternating,9.8995922522,tap,b
5,alternating,10.2701148142,stimulus,
5,alternating,10.4225916074,tap,e
6,alternating,11.0202255955,stimulus,
6,alternating,11.1195825807,tap,b
7,alternating,11.7703587142,stimulus,
7,alternating,12.0046005955,tap,e
8,alternating,12.5204885125,stimulus,
8,alternating,12.726528843,tap,b
9,alternating,13.2706234424,stimulus,
9,alternating,13.3805816293,tap,e
10,alternating,14.0207574667,stimulus,
10,alternating,14.1767267401,tap,b
11,alternating,14.7708703611,stimulus,
11,alternating,14.9295207243,tap,e
12,alternating,15.520973596,stimulus,
12,alternating,15.6625011471,tap,b
13,alternating,16.2710843774,stimulus,
13,alternating,16.4114552141,tap,e
14,alternating,17.0212277592,stimulus,
14,alternating,17.1635905473,tap,b
15,alternating,17.7716394915,stimulus,
15,alternating,17.9034490732,tap,e
16,alternating,18.5217744214,stimulus,
16,alternating,18.6144443787,tap,b
17,alternating,19.2719033141,stimulus,
17,alternating,19.3554083032,tap,e
18,alternating,20.0221837389,stimulus,
18,alternating,20.0943878229,tap,b
19,alternating,20.7725015938,stimulus,
19,alternating,20.8574171585,tap,e
20,alternating,21.5227267788,stimulus,
20,alternating,21.580529891,tap,b
21,alternating,22.2731726209,stimulus,
21,alternating,22.4093805542,tap,e
22,alternating,23.0233009099,stimulus,
22,alternating,23.1173262031,tap,b
23,alternating,23.77342286,stimulus,
23,alternating,23.9143370385,tap,e
24,alternating,24.5235502434,stimulus,
24,alternating,24.6333155439,tap,b
25,alternating,25.2736643452,stimulus,
25,alternating,25.3652572784,tap,e
26,alternating,26.0237624486,stimulus,
26,alternating,26.1682792849,tap,b
27,alternating,26.7738723243,stimulus,
27,alternating,26.8462831801,tap,e
28,alternating,27.5239963874,stimulus,
28,alternating,27.6042398166,tap,b
29,alternating,28.2741089799,stimulus,
29,alternating,28.3792139173,tap,e
30,alternating,29.0242360615,stimulus,
30,alternating,29.1522467786,tap,b
31,alternating,29.7743510688,stimulus,
31,alternating,29.9242026158,tap,e
32,alternating,30.5244826783,stimulus,
32,alternating,30.6502143785,tap,b
33,alternating,31.2746212304,stimulus,
33,alternating,31.3781728141,tap,e
34,alternating,32.0247528399,stimulus,
34,alternating,32.1141835747,tap,b
35,alternating,32.7748741862,stimulus,
35,alternating,32.9271312279,tap,e
36,alternating,33.5250024752,stimulus,
37,alternating,34.2751274438,stimulus,
37,alternating,34.3460788232,tap,e
38,alternating,35.0252521106,stimulus,
38,alternating,35.0690934524,tap,b
39,alternating,35.7753674198,stimulus,
39,alternating,36.0080879441,tap,e
40,alternating,36.5254854457,stimulus,
40,alternating,36.6880463603,tap,b
41,alternating,37.2756239978,stimulus,
41,alternating,37.3900529819,tap,e
42,alternating,38.0257474572,stimulus,
42,alternating,38.1420111252,tap,b
43,alternating,38.7758636719,stimulus,
43,alternating,38.8780022651,tap,e
44,alternating,39.5259928665,stimulus,
44,alternating,39.6499744026,tap,b
45,alternating,40.276128702,stimulus,
45,alternating,40.4129931732,tap,e
46,alternating,41.0262672541,stimulus,
46,alternating,41.1130042212,tap,b
47,alternating,41.7764067118,stimulus,
47,alternating,41.8669567307,tap,e
48,alternating,42.5265464714,stimulus,
48,alternating,42.662972647,tap,b
49,alternating,43.2766786846,stimulus,
49,alternating,43.3879251951,tap,e
50,alternating,44.0268051625,stimulus,
50,alternating,44.1249040096,tap,b
51,alternating,44.7769425072,stimulus,
51,alternating,44.9338946255,tap,e
52,alternating,45.5270786445,stimulus,
52,alternating,45.6428635681,tap,b
53,alternating,46.2772033112,stimulus,
53,alternating,46.3888612522,tap,e
54,alternating,47.027447815,stimulus,
54,alternating,47.1288704045,tap,b
55,alternating,47.7775963285,stimulus,
55,alternating,47.8768129504,tap,e
56,alternating,48.5277412196,stimulus,
56,alternating,48.5738413539,tap,b
57,alternating,49.2778670938,stimulus,
57,alternating,49.3147877707,tap,e
58,alternating,50.0280862416,stimulus,
58,alternating,50.0807943174,tap,b
59,alternating,50.778232642,stimulus,
59,alternating,50.9328221292,tap,e
60,alternating,51.5283642515,stimulus,
60,alternating,51.6567951529,tap,b
61,alternating,52.2784855978,stimulus,
61,alternating,52.4387273487,tap,e
62,alternating,53.028598794,stimulus,
62,alternating,53.0957099545,tap,b
63,alternating,53.7787207441,stimulus,
63,alternating,53.9347144679,tap,e
64,alternating,54.5288544665,stimulus,
64,alternating,54.6158588784,tap,b
65,alternating,55.2789884908,stimulus,
65,alternating,55.3796718336,tap,e
66,alternating,56.0290926313,stimulus,
66,alternating,56.0993092919,tap,b
67,alternating,56.7792209203,stimulus,
67,alternating,56.9026464366,tap,e
68,alternating,57.5293621892,stimulus,
68,alternating,57.5856481705,tap,b
69,alternating,58.2794907801,stimulus,
69,alternating,58.4016077483,tap,e
70,alternating,59.0295964299,stimulus,
70,alternating,59.1035853916,tap,b
71,alternating,59.7797087205,stimulus,
71,alternating,59.8366017353,tap,e
72,alternating,60.5298451597,stimulus,
72,alternating,60.5885752734,tap,b
73,alternating,61.2799719394,stimulus,
73,alternating,61.4335369255,tap,e
74,alternating,62.0301050581,stimulus,
