 'frameRate': 119.99909444216765, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.516465727,stimulus,
0,random,7.0306928987,tap,e
1,random,7.2679746237,stimulus,
1,random,7.6446532005,tap,b
2,random,8.0180835178,stimulus,
2,random,8.1965856599,tap,e
3,random,8.7682174659,stimulus,
3,random,8.8996127505,tap,b
4,random,9.5183447731,stimulus,
4,random,9.6285595096,tap,b
5,random,10.2684663452,stimulus,
5,random,10.4275329618,tap,b
6,random,11.018577956,stimulus,
6,random,11.0654916264,tap,e
7,random,11.7687061688,stimulus,
7,random,11.8545461296,tap,b
8,random,12.518854304,stimulus,
8,random,12.5795171591,tap,e
9,random,13.2690130042,stimulus,
9,random,13.3965107395,tap,e
10,random,14.0191656673,stimulus,
10,random,14.1054321489,tap,e
11,random,14.7693008228,stimulus,
11,random,14.8554055102,tap,b
12,random,15.5194287337,stimulus,
12,random,15.5859877187,tap,e
13,random,16.2695291759,stimulus,
13,random,16.3243589887,tap,b
14,random,17.0196468238,stimulus,
14,random,17.1193512778,tap,e
15,random,17.7697783571,stimulus,
15,random,17.8983636753,tap,b
16,random,18.5199123051,stimulus,
16,random,18.6493542873,tap,b
17,random,19.2700278401,stimulus,
17,random,19.3332745723,tap,e
18,random,20.0201397527,stimulus,
18,random,20.1192818512,tap,e
18,random,20.7272699557,tap,b
19,random,20.7702480432,stimulus,
19,random,21.3972397189,tap,e
20,random,21.5203466742,stimulus,
21,random,22.2704730759,stimulus,
21,random,22.3473108208,tap,b
22,random,23.0206209093,stimulus,
22,random,23.0552448631,tap,b
23,random,23.7709054829,stimulus,
23,random,23.811212759,tap,b
24,random,24.5210448644,stimulus,
24,random,24.6991778381,tap,e
25,random,25.2711664364,stimulus,
25,random,25.4051419759,tap,b
26,random,26.0212726138,stimulus,
26,random,26.1071216303,tap,e
27,random,26.7713890543,stimulus,
27,random,26.9010963668,tap,e
28,random,27.5215130412,stimulus,
28,random,27.598089078,tap,b
29,random,28.271643367,stimulus,
29,random,28.3030438133,tap,e
30,random,29.0217589019,stimulus,
30,random,29.2100175951,tap,b
31,random,29.771876248,stimulus,
31,random,29.8919939351,tap,e
32,random,30.5220065738,stimulus,
32,random,30.5790218153,tap,e
32,random,31.1190343302,tap,b
33,random,31.2721272403,stimulus,
34,random,32.0222620939,stimulus,
34,random,32.0630073613,tap,e
35,random,32.7723996642,stimulus,
35,random,32.9099778408,tap,b
36,random,33.5225327067,stimulus,
36,random,33.6699685558,tap,e
37,random,34.2726449212,stimulus,
37,random,34.3688871006,tap,b
38,random,35.0227716248,stimulus,
38,random,35.1798909761,tap,b
39,random,35.7728947061,stimulus,
39,random,36.0228395421,tap,e
40,random,36.5230108447,stimulus,
40,random,36.6198377168,tap,b
41,random,37.2731363409,stimulus,
41,random,37.2988190534,tap,e
42,random,38.0232582148,stimulus,
42,random,38.1128209509,tap,b
43,random,38.7734018222,stimulus,
43,random,38.8510150321,tap,e
44,random,39.5235381851,stimulus,
44,random,39.591770955,tap,e
45,random,40.2736443625,stimulus,
45,random,40.3587378364,tap,e
46,random,41.0237710661,stimulus,
46,random,41.0707297129,tap,e
46,random,41.7617046465,tap,e
47,random,41.7738727157,stimulus,
48,random,42.5239985137,stimulus,
48,random,42.5337203514,tap,b
49,random,43.2741255191,stimulus,
49,random,43.3136464634,tap,e
50,random,44.0242642968,stimulus,
50,random,44.0876827844,tap,b
51,random,44.7743967356,stimulus,
51,random,44.8846522225,tap,b
52,random,45.5245107613,stimulus,
52,random,45.5376843088,tap,e
53,random,46.2746389741,stimulus,
53,random,46.298603831,tap,b
54,random,47.0247605461,stimulus,
54,random,47.0455607572,tap,e
55,random,47.774886646,stimulus,
55,random,47.7905942646,tap,b
56,random,48.5250510814,stimulus,
56,random,48.5255678568,tap,b
57,random,49.275192274,stimulus,
57,random,49.4075377975,tap,e
58,random,50.0253162608,stimulus,
58,random,50.1094833423,tap,b
59,random,50.7754308902,stimulus,
59,random,50.7884661882,tap,e
60,random,51.5255482362,stimulus,
60,random,51.5864619326,tap,e
61,random,52.2756592434,stimulus,
61,random,52.3284080691,tap,e
62,random,53.0257708542,stimulus,
62,random,53.1694265755,tap,b
63,random,53.7759195931,stimulus,
63,random,53.8864576161,tap,e
64,random,54.5260378447,stimulus,
64,random,54.6564004841,tap,b
65,random,55.2761699817,stimulus,
65,random,55.5733973547,tap,b
66,random,56.0262855166,stimulus,
66,random,56.0773415406,tap,e
66,random,56.7643413483,tap,b
67,random,56.7763826384,stimulus,
68,random,57.5265011919,stimulus,
68,random,57.5693183907,tap,e
69,random,58.2766082749,stimulus,
69,random,58.3153217576,tap,b
70,random,59.0267437322,stimulus,
