 'frameRate': 120.01430962449257, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,random,6.5198292951,stimulus,
0,random,7.1126497992,tap,b
1,random,7.2699928249,stimulus,
1,random,7.921609514,tap,e
2,random,8.0200953801,stimulus,
2,random,8.5835825396,tap,b
3,random,8.7702214799,stimulus,
3,random,9.1025500392,tap,e
4,random,9.5203584465,stimulus,
4,random,9.6885658305,tap,b
4,random,10.173519123,tap,e
5,random,10.2705044688,stimulus,
5,random,10.8414939277,tap,b
6,random,11.0206308705,stimulus,
6,random,11.6135168772,tap,b
7,random,11.7707403683,stimulus,
7,random,12.406513906,tap,b
8,random,12.5208957481,stimulus,
8,random,13.1454635298,tap,e
9,random,13.2710073589,stimulus,
9,random,13.9466604444,tap,e
10,random,14.0213456627,stimulus,
10,random,14.5703945031,tap,b
11,random,14.7714545568,stimulus,
11,random,15.3394179213,tap,e
12,random,15.521557112,stimulus,
12,random,15.9964070222,tap,e
13,random,16.2716488004,stimulus,
13,random,16.9463622119,tap,e
14,random,17.0217513556,stimulus,
14,random,17.6703639856,tap,b
15,random,17.7718557219,stimulus,
15,random,18.5162906512,tap,b
16,random,18.5219609937,stimulus,
17,random,19.2720837732,stimulus,
17,random,19.2943250391,tap,b
17,random,19.9416840661,tap,e
18,random,20.022205647,stimulus,
18,random,20.7362854532,tap,e
19,random,20.7723112208,stimulus,
20,random,21.5224373206,stimulus,
20,random,21.562245027,tap,b
21,random,22.2725818336,stimulus,
21,random,22.4472495141,tap,b
22,random,23.0227251392,stimulus,
22,random,23.0862027903,tap,b
22,random,23.7621782567,tap,b
23,random,23.772849126,stimulus,
23,random,24.4891300575,tap,e
24,random,24.5229393051,stimulus,
24,random,25.2003995954,tap,b
25,random,25.2730243527,stimulus,
25,random,25.9671515562,tap,e
26,random,26.0231133244,stimulus,
26,random,26.6871338313,tap,e
27,random,26.773208937,stimulus,
27,random,27.4680983238,tap,e
28,random,27.5233154162,stimulus,
28,random,28.2700607422,tap,e
29,random,28.2734116325,stimulus,
30,random,29.02353411,stimulus,
30,random,29.0880745919,tap,b
30,random,29.7150246117,tap,e
31,random,29.7736414949,stimulus,
31,random,30.4710341636,tap,e
32,random,30.5237377111,stimulus,
33,random,31.2738571702,stimulus,
33,random,31.3660065001,tap,b
34,random,32.0239823644,stimulus,
34,random,32.0289711188,tap,e
35,random,32.7741003142,stimulus,
35,random,32.7814275378,tap,b
35,random,33.4739482699,tap,e
36,random,33.524216151,stimulus,
36,random,34.2538801172,tap,e
37,random,34.2743199136,stimulus,
38,random,35.0244924991,stimulus,
38,random,35.0668623491,tap,e
39,random,35.7748114841,stimulus,
39,random,35.8568764487,tap,b
40,random,36.524954186,stimulus,
40,random,36.7058720721,tap,b
40,random,37.2098379915,tap,e
41,random,37.275063382,stimulus,
41,random,37.9887728123,tap,e
42,random,38.025168352,stimulus,
42,random,38.7387839055,tap,e
43,random,38.7752745294,stimulus,
44,random,39.5254036478,stimulus,
44,random,39.5917960089,tap,b
45,random,40.2755421237,stimulus,
45,random,40.3447538087,tap,b
45,random,40.9957791642,tap,b
46,random,41.0256504141,stimulus,
47,random,41.7757632323,stimulus,
47,random,41.7986942365,tap,b
48,random,42.5258893322,stimulus,
48,random,42.5286986949,tap,e
48,random,43.2736479848,tap,b
49,random,43.2760057727,stimulus,
50,random,44.0261342874,stimulus,
50,random,44.0806833751,tap,e
51,random,44.7762769892,stimulus,
51,random,44.9176159749,tap,b
51,random,45.5195872075,tap,e
52,random,45.5263967501,stimulus,
52,random,46.2666026936,tap,e
53,random,46.2764959849,stimulus,
54,random,47.0265915974,stimulus,
54,random,47.0435510079,tap,e
55,random,47.7767128676,stimulus,
55,random,47.851555654,tap,e
56,random,48.5268827364,stimulus,
56,random,48.5805648971,tap,e
56,random,49.2645392141,tap,e
57,random,49.2769991768,stimulus,
58,random,50.0271132025,stimulus,
58,random,50.1644987958,tap,b
59,random,50.7772468487,stimulus,
59,random,50.8165199703,tap,e
60,random,51.5273922673,stimulus,
60,random,51.5764795942,tap,b
61,random,52.2775138393,stimulus,
61,random,52.3554150187,tap,e
62,random,53.0276489948,stimulus,
62,random,53.1234429197,tap,b
63,random,53.7777956208,stimulus,
63,random,53.8083849832,tap,b
64,random,54.5279277577,stimulus,
64,random,54.6123794882,tap,b
65,random,55.2780547631,stimulus,
65,random,55.3355393889,tap,e
66,random,56.0281721092,stimulus,
66,random,56.0863543214,tap,e
67,random,56.7782891534,stimulus,
67,random,56.8623273428,tap,b
68,random,57.5284200829,stimulus,
68,random,57.7382647152,tap,b
69,random,58.2785522198,stimulus,
69,random,58.2898479286,tap,e
70,random,59.0287027699,stimulus,
70,random,59.0362757033,tap,b
71,random,59.7788361143,stimulus,
71,random,59.8062569068,tap,e
71,random,60.4962456808,tap,b
72,random,60.5289552715,stimulus,
73,random,61.279061147,stimulus,
73,random,61.4512158863,tap,b
74,random,62.0291824172,stimulus,
74,random,62.094180511,tap,b
75,random,62.7793051966,stimulus,
75,random,62.8311656637,tap,b
76,random,63.5294397484,stimulus,
76,random,63.5384652072,tap,e
76,random,64.224134137,tap,e
77,random,64.279564339,stimulus,
77,random,64.9860805693,tap,e
78,random,65.0296662905,stimulus,
78,random,72.4285360253,probe,0
0,alternating,76.9436437075,stimulus,
0,alternating,77.2848111793,tap,e
1,alternating,77.6937821834,stimulus,
1,alternating,77.8037653972,tap,b
1,alternating,78.4437356223,tap,e
2,alternating,78.4439263945,stimulus,
3,alternating,79.1940404202,stimulus,
3,alternating,79.217755945,tap,b
4,alternating,79.9441689349,stimulus,
4,alternating,79.987035336,tap,e
4,alternating,80.6277061661,tap,b
5,alternating,80.6943022792,stimulus,
5,alternating,81.3846831626,tap,e
6,alternating,81.4444193234,stimulus,
7,alternating,82.1945357639,stimulus,
7,alternating,82.2036717015,tap,b
7,alternating,82.8486065326,tap,e
8,alternating,82.9446395265,stimulus,
8,alternating,83.6506543759,tap,b
9,alternating,83.6947327242,stimulus,
9,alternating,84.4366296583,tap,e
10,alternating,84.444829846,stimulus,
10,alternating,85.1105772641,tap,b
11,alternating,85.1949200251,stimulus,
11,alternating,85.8638115629,tap,e
12,alternating,85.9450144302,stimulus,
